,source_sentence,gold,pred,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold,source_sent_list,new_pred_sentences,new_src_sentence
57,"Texas A&M University , often referred to as A&M or TAMU , is a coeducational public research university located in College Station , Texas . It is the flagship institution of the Texas A&M University System .","Texas A&M University is a public university in College Station , Texas .",It is the flagship institution of the Texas A&M University System .,57,0.277871908,0.999328434,-0.973355949,0.333621774,0.992463231,-1.462690353,"['Texas', 'A&M', 'University', ',', 'often', 'referred', 'to', 'as', 'A&M', 'or', 'TAMU', ',', 'is', 'a', 'coeducational', 'public', 'research', 'university', 'located', 'in', 'College', 'Station', ',', 'Texas', '.', 'It', 'is', 'the', 'flagship', 'institution', 'of', 'the', 'Texas', 'A&M', 'University', 'System', '.']",It is the flagship institution of the Texas A M University System,Texas A M University often referred to as A M or TAMU is a coeducational public research university located in College Station Texas It is the flagship institution of the Texas A M University System
60,Maquoketa -LRB- -RRB- is a city in Jackson county in the U.S. state of Iowa .,Maquoketa is a city of Iowa in the United States .,Maquoketa -LRB- -RRB- is a city in Jackson county in the U.S.,60,0.719436107,0.976977527,-0.537587047,0.540523246,0.419890583,-2.492396832,"['Maquoketa', '-LRB-', '-RRB-', 'is', 'a', 'city', 'in', 'Jackson', 'county', 'in', 'the', 'U.S.', 'state', 'of', 'Iowa', '.']",Maquoketa LRB RRB is a city in Jackson county in the U S,Maquoketa LRB RRB is a city in Jackson county in the U S state of Iowa
63,PERSON@1 -LRB- b. ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- d. LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous german composer and organist .,PERSON@1 -LRB- born ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist .,LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous german composer and organist .,63,0.508956386,0.99926883,-0.757342458,0.861390399,0.995329857,-1.631710052,"['PERSON@1', '-LRB-', 'b.', 'ORGANIZATION@1', 'NUMBER@1', 'November', 'NUMBER@2', '--', 'd.', 'LOCATION@1', 'NUMBER@3', 'July', 'NUMBER@4', '-RRB-', 'was', 'a', 'famous', 'german', 'composer', 'and', 'organist', '.']",LOCATION@1 NUMBER@3 July NUMBER@4 RRB was a famous german composer and organist,PERSON@1 LRB b ORGANIZATION@1 NUMBER@1 November NUMBER@2 d LOCATION@1 NUMBER@3 July NUMBER@4 RRB was a famous german composer and organist
64,Kluisbergen is a municipality located in the Belgian province of East Flanders .,"It is located at 50 46 North , 03 29 East .",Kluisbergen is a municipality in the Belgian province of East Flanders.,64,0.867486305,0.969049096,-0.291380316,0.742496029,0.000510076,-5.437754154,"['Kluisbergen', 'is', 'a', 'municipality', 'located', 'in', 'the', 'Belgian', 'province', 'of', 'East', 'Flanders', '.']",Kluisbergen is a municipality in the Belgian province of East Flanders,Kluisbergen is a municipality located in the Belgian province of East Flanders
65,"Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- is an English novelist and screenwriter , and one of Britain 's most highly regarded writers .","Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- , is an English novelist -LRB- sometimes nicknamed '' Ian Macabre '' because of the nature of his early work -RRB- .",Ian Russell McEwan CBE FRSA FRSL -LRB- born 21 June 1948 -RRB- is an English novelist and screenwriter .,65,0.55665785,0.999468803,-0.692209601,0.469892129,0.99949491,-2.79337883,"['Ian', 'Russell', 'McEwan', 'CBE', ',', 'FRSA', ',', 'FRSL', '-LRB-', 'born', '21', 'June', '1948', '-RRB-', 'is', 'an', 'English', 'novelist', 'and', 'screenwriter', ',', 'and', 'one', 'of', 'Britain', ""'s"", 'most', 'highly', 'regarded', 'writers', '.']",Ian Russell McEwan CBE FRSA FRSL LRB born 21 June 1948 RRB is an English novelist and screenwriter,Ian Russell McEwan CBE FRSA FRSL LRB born 21 June 1948 RRB is an English novelist and screenwriter and one of Britain s most highly regarded writers
80,he did his Phd in london . -RRB-,Department of Renewable Energy,he did his Phd in london .,80,0.77040169,0.990757644,-0.967956126,0.61101187,0.008526793,-5.06714201,"['he', 'did', 'his', 'Phd', 'in', 'london', '.', '-RRB-']",he did his Phd in london,he did his Phd in london RRB
81,"NUMBER@1 & ndash ; PERSON@1 , French painter and graphic artist -LRB- d. NUMBER@2 -RRB-","NUMBER@1 - PERSON@1 , painter and graphic artist -LRB- d. NUMBER@2 -RRB-","NUMBER@1 & ndash ; PERSON@1 , French painter and graphic artist -LRB- d.",81,0.751805848,0.983575106,-0.492395997,0.825710835,0.906741798,-1.402586579,"['NUMBER@1', '&', 'ndash', ';', 'PERSON@1', ',', 'French', 'painter', 'and', 'graphic', 'artist', '-LRB-', 'd.', 'NUMBER@2', '-RRB-']",NUMBER@1 ndash PERSON@1 French painter and graphic artist LRB d,NUMBER@1 ndash PERSON@1 French painter and graphic artist LRB d NUMBER@2 RRB
83,"He then attended the Methodist-affiliated Boston University , earning an A.B. in 1882 , and went on to graduate from Boston University School of Law in 1885 .","In 1902 , Bates was elected Governor , holding office from 1903 to 1905 .","in 1882 , and went on to graduate from Boston University School of Law in 1885 .",83,0.47620716,0.97996664,-1.129177809,0.357477712,0.000665477,-4.639742374,"['He', 'then', 'attended', 'the', 'Methodist-affiliated', 'Boston', 'University', ',', 'earning', 'an', 'A.B.', 'in', '1882', ',', 'and', 'went', 'on', 'to', 'graduate', 'from', 'Boston', 'University', 'School', 'of', 'Law', 'in', '1885', '.']",in 1882 and went on to graduate from Boston University School of Law in 1885,He then attended the Methodist affiliated Boston University earning an A B in 1882 and went on to graduate from Boston University School of Law in 1885
95,"PERSON@1 -LRB- February NUMBER@1 , NUMBER@2 â '' September NUMBER@3 , NUMBER@4 -RRB- was an American politician and jurist .","PERSON@2 -LRB- February NUMBER@1 , NUMBER@2 â '' September NUMBER@3 , NUMBER@4 -RRB- was an American judge and politician .","PERSON@1 -LRB- February NUMBER@1 , NUMBER@2 , NUMBER@3 , NUMBER@4 -RRB- was an American politician and jurist .",95,0.864821758,0.929892659,-0.476002365,0.956797112,0.999558628,-1.400359273,"['PERSON@1', '-LRB-', 'February', 'NUMBER@1', ',', 'NUMBER@2', 'â', ""''"", 'September', 'NUMBER@3', ',', 'NUMBER@4', '-RRB-', 'was', 'an', 'American', 'politician', 'and', 'jurist', '.']",PERSON@1 LRB February NUMBER@1 NUMBER@2 NUMBER@3 NUMBER@4 RRB was an American politician and jurist,PERSON@1 LRB February NUMBER@1 NUMBER@2 September NUMBER@3 NUMBER@4 RRB was an American politician and jurist
99,"Porter , Theodore M. -LRB-/O1995/O-RRB- : Trust in Numbers : The Pursuit of Objectivity in Science and Public Life , Princeton University Press , 1995 .","Porter , Theodore M. -LRB-/O1995/O-RRB- : Trust in Numbers : The Pursuit of Objectivity in Science and Public Life , Princeton University Press , 1995","-LRB-/O1995/O-RRB- : Trust in Numbers : The Pursuit of Objectivity in Science and Public Life , Princeton University Press , 1995 .",99,0.841187699,0.999803126,-0.499249011,0.972743271,0.999915063,-0.938252747,"['Porter', ',', 'Theodore', 'M.', '-LRB-/O1995/O-RRB-', ':', 'Trust', 'in', 'Numbers', ':', 'The', 'Pursuit', 'of', 'Objectivity', 'in', 'Science', 'and', 'Public', 'Life', ',', 'Princeton', 'University', 'Press', ',', '1995', '.']",LRB O1995 O RRB Trust in Numbers The Pursuit of Objectivity in Science and Public Life Princeton University Press 1995,Porter Theodore M LRB O1995 O RRB Trust in Numbers The Pursuit of Objectivity in Science and Public Life Princeton University Press 1995
101,"The Maya cities of the northern lowlands in Yucatán continued to flourish for centuries more ; some of the important sites in this era were Chichen Itza , Uxmal , Edzná , and Coba .","Some of the important sites in this era were Chichen Itza , Uxmal , Edzná , and Coba .","The Maya cities of the northern lowlands in Yucatn continued to flourish for centuries more ; some of the important sites in this era were Chichen Itza , Uxmal , Edzn , and Coba .",101,0.941223267,0.915066719,-0.945587337,0.878121299,0.999643862,-0.647160888,"['The', 'Maya', 'cities', 'of', 'the', 'northern', 'lowlands', 'in', 'Yucatán', 'continued', 'to', 'flourish', 'for', 'centuries', 'more', ';', 'some', 'of', 'the', 'important', 'sites', 'in', 'this', 'era', 'were', 'Chichen', 'Itza', ',', 'Uxmal', ',', 'Edzná', ',', 'and', 'Coba', '.']",The Maya cities of the northern lowlands in Yucatn continued to flourish for centuries more some of the important sites in this era were Chichen Itza Uxmal Edzn and Coba,The Maya cities of the northern lowlands in Yucat n continued to flourish for centuries more some of the important sites in this era were Chichen Itza Uxmal Edzn and Coba
103,"There is a lot of data/O. , that will take up a lot of space .","If there is a lot of data , it will take up a lot of space .",", that will take up a lot of space .",103,0.560770962,0.988240361,-1.368974328,0.905091763,0.837724924,-1.699118733,"['There', 'is', 'a', 'lot', 'of', 'data/O.', ',', 'that', 'will', 'take', 'up', 'a', 'lot', 'of', 'space', '.']",that will take up a lot of space,There is a lot of data O that will take up a lot of space
126,"Two years later , in NUMBER@1 , a combination of the physical standard from the ORGANIZATION@1 of LOCATION@1 and the ability standard from the ORGANIZATION@2 led to the English Springer Spaniel breed being officially recognized by the ORGANIZATION@3 .",The English Springer Spaniel is a dog breed used to help hunters get their animals . It is one of many spaniel breeds .,"Two years later , in NUMBER@1 , a combination of the physical standard from the ORGANIZATION@1 of LOCATION@1 and the ability standard from the ORGANIZATION@2 led to the English Springer Spaniel being officially recognized by the ORGANIZATION@3 .",126,0.857100231,0.999573529,-0.29077372,0.762298077,0.071461588,-2.822088242,"['Two', 'years', 'later', ',', 'in', 'NUMBER@1', ',', 'a', 'combination', 'of', 'the', 'physical', 'standard', 'from', 'the', 'ORGANIZATION@1', 'of', 'LOCATION@1', 'and', 'the', 'ability', 'standard', 'from', 'the', 'ORGANIZATION@2', 'led', 'to', 'the', 'English', 'Springer', 'Spaniel', 'breed', 'being', 'officially', 'recognized', 'by', 'the', 'ORGANIZATION@3', '.']",Two years later in NUMBER@1 a combination of the physical standard from the ORGANIZATION@1 of LOCATION@1 and the ability standard from the ORGANIZATION@2 led to the English Springer Spaniel being officially recognized by the ORGANIZATION@3,Two years later in NUMBER@1 a combination of the physical standard from the ORGANIZATION@1 of LOCATION@1 and the ability standard from the ORGANIZATION@2 led to the English Springer Spaniel breed being officially recognized by the ORGANIZATION@3
129,"Dracula is an epistolary novel , written as a collection of realistic , but completely fictional , diary entries , telegrams , letters , ship 's logs , and newspaper clippings , all of which added a level of detailed realism to his story , a skill he developed as a newspaper writer .","Dracula is an epistolary novel , written as collection of diary entries , telegrams , and letters from the characters , as well as fictional clippings from the LOCATION@1 and LOCATION@2 newspapers .","Dracula is an epistolary novel , written as a collection of realistic , but completely fictional , diary entries , telegrams , letters , ship 's logs , and newspaper clippings .",129,0.547653023,0.999703526,-0.576053441,0.546364304,0.999807954,-3.156964779,"['Dracula', 'is', 'an', 'epistolary', 'novel', ',', 'written', 'as', 'a', 'collection', 'of', 'realistic', ',', 'but', 'completely', 'fictional', ',', 'diary', 'entries', ',', 'telegrams', ',', 'letters', ',', 'ship', ""'s"", 'logs', ',', 'and', 'newspaper', 'clippings', ',', 'all', 'of', 'which', 'added', 'a', 'level', 'of', 'detailed', 'realism', 'to', 'his', 'story', ',', 'a', 'skill', 'he', 'developed', 'as', 'a', 'newspaper', 'writer', '.']",Dracula is an epistolary novel written as a collection of realistic but completely fictional diary entries telegrams letters ship s logs and newspaper clippings,Dracula is an epistolary novel written as a collection of realistic but completely fictional diary entries telegrams letters ship s logs and newspaper clippings all of which added a level of detailed realism to his story a skill he developed as a newspaper writer
141,"A few parties now appear to have a spambot capable of spamming wikis from several different wiki engines , analogous to the submitter scripts for guestbooks and blogs .",A few groups now appear to have a spambot capable of spamming wikis from several different wiki engines .,"A few parties now appear to have a spambot capable of spamming wikis from several different wiki engines , analogous to the scripts for guestbooks and blogs .",141,0.92228443,0.997824192,-0.809099138,0.9140599,0.890905082,-1.097354293,"['A', 'few', 'parties', 'now', 'appear', 'to', 'have', 'a', 'spambot', 'capable', 'of', 'spamming', 'wikis', 'from', 'several', 'different', 'wiki', 'engines', ',', 'analogous', 'to', 'the', 'submitter', 'scripts', 'for', 'guestbooks', 'and', 'blogs', '.']",A few parties now appear to have a spambot capable of spamming wikis from several different wiki engines analogous to the scripts for guestbooks and blogs,A few parties now appear to have a spambot capable of spamming wikis from several different wiki engines analogous to the submitter scripts for guestbooks and blogs
144,"Reigning as PERSON@1 , or PERSON@2 , under the regency of the Hereditary Prince of LOCATION@1 until he came of age in NUMBER@1 , the new duke also continued to use his British title , PERSON@3 of LOCATION@2 . As a result of PERSON@2 fighting for LOCATION@3 against the British in the First World War , he was stripped of his British titles in NUMBER@2 .","Until he came of age in NUMBER@1 , the Hereditary Prince of LOCATION@1 acted as Regent , PERSON@4 kept using his British title Duke of LOCATION@2 , but because he fought for LOCATION@3 in the First World War , he was stripped of his British titles in NUMBER@2 .","As a result of PERSON@2 fighting for LOCATION@3 against the British in the First World War , he was stripped of his British titles in NUMBER@2 .",144,0.328811921,0.999888361,-0.519156098,0.20917166,0.0,-1.937100649,"['Reigning', 'as', 'PERSON@1', ',', 'or', 'PERSON@2', ',', 'under', 'the', 'regency', 'of', 'the', 'Hereditary', 'Prince', 'of', 'LOCATION@1', 'until', 'he', 'came', 'of', 'age', 'in', 'NUMBER@1', ',', 'the', 'new', 'duke', 'also', 'continued', 'to', 'use', 'his', 'British', 'title', ',', 'PERSON@3', 'of', 'LOCATION@2', '.', 'As', 'a', 'result', 'of', 'PERSON@2', 'fighting', 'for', 'LOCATION@3', 'against', 'the', 'British', 'in', 'the', 'First', 'World', 'War', ',', 'he', 'was', 'stripped', 'of', 'his', 'British', 'titles', 'in', 'NUMBER@2', '.']",As a result of PERSON@2 fighting for LOCATION@3 against the British in the First World War he was stripped of his British titles in NUMBER@2,Reigning as PERSON@1 or PERSON@2 under the regency of the Hereditary Prince of LOCATION@1 until he came of age in NUMBER@1 the new duke also continued to use his British title PERSON@3 of LOCATION@2 As a result of PERSON@2 fighting for LOCATION@3 against the British in the First World War he was stripped of his British titles in NUMBER@2
147,"Designed as a ORGANIZATION@1 test track in NUMBER@1 by PERSON@1 , LOCATION@1 is one of few circuits in the world to have a '' figure NUMBER@2 '' layout , with the back straight passing over the front section by means of an overpass .","Designed as a ORGANIZATION@1 test track in NUMBER@1 by PERSON@1 , LOCATION@1 is one of few circuits in the world to have a figure NUMBER@2 layout .","LOCATION@1 is one of the few circuits in the world to have a '' figure NUMBER@2 '' layout , with the back straight passing over the front section by means of an overpass .",147,0.673446003,0.999716759,-0.559338808,0.643470784,0.980010986,-0.921692669,"['Designed', 'as', 'a', 'ORGANIZATION@1', 'test', 'track', 'in', 'NUMBER@1', 'by', 'PERSON@1', ',', 'LOCATION@1', 'is', 'one', 'of', 'few', 'circuits', 'in', 'the', 'world', 'to', 'have', 'a', ""''"", 'figure', 'NUMBER@2', ""''"", 'layout', ',', 'with', 'the', 'back', 'straight', 'passing', 'over', 'the', 'front', 'section', 'by', 'means', 'of', 'an', 'overpass', '.']",LOCATION@1 is one of the few circuits in the world to have a figure NUMBER@2 layout with the back straight passing over the front section by means of an overpass,Designed as a ORGANIZATION@1 test track in NUMBER@1 by PERSON@1 LOCATION@1 is one of few circuits in the world to have a figure NUMBER@2 layout with the back straight passing over the front section by means of an overpass
149,"In New Super Mario Bros. , PERSON@1 is the boss of the first world , which features a battle similar to that of Super Mario Bros. .","PERSON@1 's kids , called the Koopa Kids , were bosses in Super Mario Bros. NUMBER@1 and Super Mario World .",", PERSON@1 is the boss of the first world , which features a battle similar to that of Super Mario Bros.",149,0.729567273,0.997997522,-0.900914907,0.453759064,0.998562515,-3.796004772,"['In', 'New', 'Super', 'Mario', 'Bros.', ',', 'PERSON@1', 'is', 'the', 'boss', 'of', 'the', 'first', 'world', ',', 'which', 'features', 'a', 'battle', 'similar', 'to', 'that', 'of', 'Super', 'Mario', 'Bros.', '.']",PERSON@1 is the boss of the first world which features a battle similar to that of Super Mario Bros,In New Super Mario Bros PERSON@1 is the boss of the first world which features a battle similar to that of Super Mario Bros
154,Fumichon is a commune in the Calvados département in the LOCATION@1 region of LOCATION@2 .,It is found in the region Basse-Normandie in the Calvados department in the northwest of LOCATION@2 .,It is found in the region LOCATION@1 in the Calvados département in the LOCATION@2 region of LOCATION@2 .,154,0.835929036,0.364423126,-1.786591172,0.839727044,0.995940626,-2.903419256,"['Fumichon', 'is', 'a', 'commune', 'in', 'the', 'Calvados', 'département', 'in', 'the', 'LOCATION@1', 'region', 'of', 'LOCATION@2', '.']",It is found in the region LOCATION@1 in the Calvados d partement in the LOCATION@2 region of LOCATION@2,Fumichon is a commune in the Calvados d partement in the LOCATION@1 region of LOCATION@2
155,-LRB- See also Separation of church and state and Laïcité . -RRB-,Freedom of religion,-RRB- See also Separation of church and state and Lacité .,155,0.735496035,0.744283199,-1.937987447,0.689723501,0.9997347,-4.786223412,"['-LRB-', 'See', 'also', 'Separation', 'of', 'church', 'and', 'state', 'and', 'Laïcité', '.', '-RRB-']",RRB See also Separation of church and state and Lacit,LRB See also Separation of church and state and La cit RRB
172,"Duke Nukem NUMBER@1 -LRB- Xbox Live -RRB- . The game was released on September NUMBER@2 , NUMBER@3 for Xbox Live .","A Duke Nukem NUMBER@1 version has been sold for Xbox Live since September NUMBER@2 , NUMBER@3 .","The game was released on September NUMBER@2 , NUMBER@3 for Xbox Live .",172,0.524764898,0.998196304,-0.505804718,0.882459957,0.999768198,-2.36967063,"['Duke', 'Nukem', 'NUMBER@1', '-LRB-', 'Xbox', 'Live', '-RRB-', '.', 'The', 'game', 'was', 'released', 'on', 'September', 'NUMBER@2', ',', 'NUMBER@3', 'for', 'Xbox', 'Live', '.']",The game was released on September NUMBER@2 NUMBER@3 for Xbox Live,Duke Nukem NUMBER@1 LRB Xbox Live RRB The game was released on September NUMBER@2 NUMBER@3 for Xbox Live
174,"Within a year 's stretch , Linkin Park had performed at over 320 concerts .","In one year , they performed at 320 concerts .","Within a year , Linkin Park had performed at over 320 concerts .",174,0.786159312,0.990473211,-0.839532435,0.743133413,0.985846698,-3.145626783,"['Within', 'a', 'year', ""'s"", 'stretch', ',', 'Linkin', 'Park', 'had', 'performed', 'at', 'over', '320', 'concerts', '.']",Within a year Linkin Park had performed at over 320 concerts,Within a year s stretch Linkin Park had performed at over 320 concerts
