source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_score_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
"PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","PERSON@1 y Santib  ez PERSON@2 -LRB- LOCATION@1, NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1, NUMBER@3 September NUMBER@4 -RRB- was a politician and writer of the Baroque era.","PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , September NUMBER@1 , NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , September NUMBER@3 , NUMBER@4 -RRB- was a nobleman , politician and writer of the Spanish Golden Age .",17,0.879281602,0.953653455,-0.957458615,0.90112403,0.0,-1.256550193
He currently plays for the Japanese team Yokohama F. Marinos .,He plays for Yokohama F. Marinos.,Tetsuya Enomoto -LRB- born 2 May 1983 -RRB- is a Japanese football player .,18,0.498019721,0.992416739,-1.052134991,0.434431612,0.0010694,-4.625374317
More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1 .,More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1.,"There were NUMBER@1 American military people , but now there are about NUMBER@2 .",19,0.977097375,0.999911547,-0.541911125,0.810003154,0.000448974,-4.351177692
"In modern usage , sophism , sophist , and sophistry are derogatory terms , due to the influence of many past philosophers .","In modern usage, sophism, sophist, and sophistry are derogatory terms, due to the influence of many past philosophers.","In modern usage , sophism , sophist , and sophistry are derogatory terms , due the influence of many philosophers in the past -LRB- sophism and platonism were enemy schools -RRB- .",20,0.9092331,0.999926031,-0.808916509,0.93265272,0.771986604,-3.585757494
"Cadmium iodide , CdI2 , is a chemical compound of cadmium and iodine .","Cadmium iodide, CdI2, is a chemical compound.",Cadmium iodide is a chemical compound . Its chemical formula is CdI2 .,21,0.584040859,0.998191535,-0.922606647,0.588149812,0.99969548,-1.563486576
"In professional wrestling , a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .","In professional wrestling, a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB-.","In professional wrestling , a tag team is a team of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .",22,0.957314406,0.999939799,-0.594282985,0.978569377,0.996141553,-0.572063684
"One day , when the pianist failed to arrive by show time , PERSON@1 took his place .",One day PERSON@1 took his place.,"One day , when the pianist did not arrive in time for the show , PERSON@1 played instead .",23,0.327116489,0.988007367,-2.038743734,0.364045211,0.999858022,-2.205153465
His replacement was PERSON@1 leaving the band with the line-up they retain .,His replacement was PERSON@1 leaving the band with the line-up they keep.,PERSON@1 was his replacement .,24,0.930966681,0.868592083,-1.093942523,0.804654373,0.970143616,-3.209986448
"According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- , PERSON@1 could dribble the ball as many as six times a second .",According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- PERSON@1 could dribble the ball as many as six times a second.,"Instead , he started his own barnstorming team , the ORGANIZATION@2 .",25,0.650704079,0.971829116,-0.489842564,0.549414851,0.002853866,-4.119181156
He bled to death after about an hour .,He bled to death after about an hour.,Fechter bled to death after about an hour .,26,0.942648999,0.999802411,-1.667569041,0.953162645,0.906031251,-2.967683554
The first inhabitants settled in the territory of today 's Ain about 15000 B.C. .,The first inhabitants settled in the territory of todays Ain about 1500 B.C..,The first inhabitants of the Ain arrived around 15000 B.C. .,27,0.897269116,0.727187634,-2.214526176,0.889965713,0.997722447,-1.135902405
"Lost was the recipient of hundreds of US award nominations throughout its run , and won numerous industry awards , including the Emmy Award for US primetime Outstanding Drama Series in 2005 , Best American Import at the British Academy Television Awards in 2005 , the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series .","Lost has won many awards, including the Emmy Award for US primetime Outstanding Drama Series in 2005, Best American Import at the British Academy Television Awards in 2005, and the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006.",It won many awards including the Emmy Award for outstanding drama series in 2005 and best American import at the British Academy Television Awards also in 2005 .,28,0.556148366,0.999918938,-0.727646708,0.533175106,0.999532044,-2.112386942
"The trackâ s reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- , even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 's PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5 .","The track s reputation improved so much that the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB-, even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1's PERSON@1 of the NUMBER@4 drivers at the time won the NUMBER@5.",The 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- . None of the regular Indy drivers raced in Formula One .,29,0.953785749,0.0,-0.833556771,0.894246542,0.0,-0.836595297
The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,The animated series is produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,30,0.974585025,0.999939144,-0.462959468,0.936155744,0.928939044,-1.183229208
"Wartburgkreis is a PERSON@1 -LRB- district -RRB- in the west of LOCATION@1 , LOCATION@2 .","Wartburgkreis is a district in the west of LOCATION@1, LOCATION@2.","Wartburgkreis is a Landkreis -LRB- rural district -RRB- in the west of LOCATION@1 , LOCATION@2 .",31,0.682162116,0.595271349,-2.135848522,0.712776749,0.999497294,-2.409605265
"For example , many different things can be red .","For example, many different things can be red.","For example , many different things can be the color red .",32,0.896399533,0.999861479,-1.19320786,0.946053664,0.887124717,-2.110282183
"Afrodisiac is the fourth studio album by American singer Brandy , released by Atlantic Records on June 28 , 2004 on most international territories and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .","Afrodisiac is the fourth studio album by American singer Brandy, released by Atlantic Records on June 28, 2004 on most international territories and on June 29, 2004 in Canada and the United States.","Afrodisiac is the fourth studio album by American R&B \/O/ pop singer Brandy , released by Atlantic Records on June 28 , 2004 outside North America and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .",33,0.791367415,0.99943924,-0.842128575,0.831605734,0.989257634,-1.932198048
"Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 , at LOCATION@1 in LOCATION@2 , LOCATION@3 .","PERSON@1 was born on NUMBER@1 June NUMBER@2 at LOCATION@1 in LOCATION@2, LOCATION@3.","PERSON@2 was born in LOCATION@1 , LOCATION@4 , LOCATION@5 .",34,0.769794493,0.982410729,-0.669617355,0.746839776,0.553991437,-2.050712824
"The second place rider , PERSON@1 , became the race 's official winner .","The second place rider, PERSON@1, became the official winner.","As PERSON@2 forfeited his Tour title , the second place rider , PERSON@1 , became the race 's official winner .",35,0.789490606,0.992601514,-1.043079257,0.811640508,0.571451128,-2.572869062
"Northampton Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .","Northampton Town Football Club -LRB- -RRB- are an English football club that play in Northampton, Northamptonshire.",Northampton Town F.C. is an English football club .,36,0.398829853,0.998527527,-0.881474614,0.366586042,0.993404567,-2.058280945
"Rawson , E. : '' Cicero , a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin , thus translating Greek philosophical works for a larger audience .","Rawson, E. : Cicero, a portrait -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin, thus translating Greek philosophical works for a larger audience.",Works by Cicero,37,0.932069506,0.98344171,-0.842698574,0.754073565,0.467625052,-3.699230909
The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1 .,The importance of this industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1.,Companies such as LOCATION@1 and PERSON@1 are still based in the town .,38,0.968082847,0.974561095,-0.545814097,0.876345372,0.783322513,-1.562454462
"In February 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .","In February 2006, an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province, Indonesia.","In February of 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .",39,0.96032451,0.999951541,-0.516239822,0.985725386,0.964732826,-0.847971916
"A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich fluid seepage occurs , often in the form of a brine pool .","A cold seep is an area of the ocean floor where hydrogen sulfide, methane and other hydrocarbon-rich fluid seepage occurs, often in the form of a brine pool.","A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich liquids leak out of the Earth 's crust , often in the form of a brine pool .",40,0.732148973,0.999889731,-0.453476697,0.759586561,0.999907374,-1.154722095
"As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and hence decode the original data .","As long as enough values are received correctly, the receiver can deduce what the original polynomial was, and hence decode the original data.","As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and decode the original data .",41,0.917109171,0.933539748,-0.689925849,0.940689143,0.994577587,-0.821546972
"The Retezat Mountains have many glacial lakes , including the largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- , which covers 8.9 ha and is situated at an altitude of 2030 metres .","The Retezat Mountains have many glacial lakes, including the largest glacial lake in Romania, Bucura Lake -LRB- lacul Bucura -RRB-, which covers 8.9 ha and is situated at an altitude of 2030 metres.","The Retezat Mountains have many glacial lakes . The largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- is in these mountains .",42,0.955339801,0.999935627,-0.5807935,0.912024451,0.953088641,-1.129411697
They were at first inspired by The Beatles and other sixties pop groups like The Kinks .,They were first influenced by The Beatles and other sixties pop groups like The Kinks.,They were at first inspired by The Beatles and other typical sixties pop groups like The Kinks .,43,0.947253185,0.782467842,-0.857505322,0.974747998,0.90898329,-1.273530841
The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s .,The idea of holding a Pan American Games started with the Central American Games which were first organized in the 1920s.,"From that time , the Games are held every four years .",44,0.974370837,0.877494276,-0.878497064,0.856195748,0.001162919,-3.61717248
The actual confidence interval is calculated by entering the measured masses in the formula .,The actual confidence interval is calculated by entering the measured masses in the formula.,The actual confidence interval is calculated by entering the measured weights in the formula .,45,0.963938662,0.999902308,-0.870260358,0.975240182,0.60090822,-1.409884453
"If the lock does n't open , it means they 've counted wrong and they can go back and correct their mistakes .","If the lock doesn't open, it means they've counted wrong and they can go back and correct their mistakes.","If the lock does n't open , it means they 've counted wrong and they can go back and fix their mistakes .",46,0.917021408,0.999890864,-0.82040602,0.960330947,0.819880247,-1.080959439
"In addition to writing all six Rocky films , PERSON@1 also wrote Cobra , Driven and Rambo .","In addition to writing all six Rocky movies, PERSON@1 also wrote Cobra, Driven and Rambo.","PERSON@1 wrote all six Rocky films , He also wrote Cobra , Driven and Rambo .",47,0.941270639,0.99626112,-0.68723464,0.942043393,0.878669262,-1.459582925
"Edinho , real name Edino Nazareth Filho , -LRB- born June 5 , 1955 in Rio de Janeiro -RRB- was a football -LRB- soccer -RRB- player from Brazil .","Edinho, real name Nazareth Filho -LRB- born 5 June 1955 -RRB- was a Brazilian football player.","Edino Nazareth Filho -LRB- born 5 June , 1955 -RRB- is a former Brazilian football player .",48,0.585451487,0.999887407,-1.650007486,0.578680594,0.999929965,-1.664640188
PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2 .,PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2.,PERSON@3 -- the youngest daughter of Mr. and Mrs. PERSON@2 .,49,0.962275548,0.999889314,-1.001012802,0.921652839,0.854435325,-1.962599158
He has reported for Independent Television News -LRB- ITN -RRB- .,He has reported for Independent Television News -LRB- ITN -RRB-.,He has reported for Independent Television News .,50,0.955231065,0.999740303,-1.138694882,0.856301645,0.990297496,-2.189986944
LOCATION@1 is a chemical element with the symbol Sg and atomic number NUMBER@1 .,It has the atomic number NUMBER@1.,It has the symbol ORGANIZATION@1 . It has the atomic number NUMBER@1 .,51,0.354513833,0.618364215,-1.300638318,0.367688131,0.428269327,-2.247334242
'' There is her little Balochi-style face with pouting lips and insolent look in the eyes .,'' There is her little Balochi-style face with pouting lips and insolent look in the eyes.,'' There is her ... pouting lips and insolent look in the eyes .,52,0.971382804,0.999919295,-0.899599075,0.910487463,0.988232136,-2.184520483
"For example , if the frequency of an allele is 20 % in a given population , then among population members , one in five chromosomes will carry that allele .","For example, if the frequency of an allele is 20 % in a population, then among population members, one in five chromosomes will carry that allele.",Allele frequencies may be used to describe genetic diversity in a population . If the frequency of any allele is above 1 % it is probable that natural selection is maintaining it at this level .,53,0.885743976,0.997808814,-0.659934878,0.809833669,0.655936122,-3.306137085
"A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work , while varying pressure , temperature , and other state variables , eventually returning a system to its initial state .","A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work, while changing pressure, temperature, and other state variables, eventually returning a system to its original state.",A thermodynamic cycle is a series of thermodynamic processes which returns a system to its initial state .,54,0.937781966,0.999402821,-0.975760818,0.8854441,0.998562753,-1.586438417
"Her real name was Maria Jansson , but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place were she worked .","Her real name was Maria Jansson, but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place where she worked.","Her real name was Maria Jansson , but she was always called Kisamor .",55,0.966703922,0.999939978,-0.426106691,0.874874064,0.999736428,-1.543299556
She later held the title of Duchess of Teck by marriage .,She later held the title of Duchess of Teck by marriage.,She later married the Duke of Teck .,56,0.955240107,0.999902487,-0.781828761,0.898909912,0.868303597,-2.673134327
"Texas A&M University , often referred to as A&M or TAMU , is a coeducational public research university located in College Station , Texas . It is the flagship institution of the Texas A&M University System .","Texas A&M University is a public research university in College Station, Texas.","Texas A&M University is a public university in College Station , Texas .",57,0.329734235,0.994889975,-0.636995673,0.333621774,0.992463231,-1.462690353
"Dikes are mostly built using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water , making the barrier potentially unstable in very dry seasons .","Dikes are mostly made using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water, making the barrier potentially unstable in very dry seasons.","Availability of sand ,",58,0.975218894,0.999855816,-0.793454051,0.765283457,0.659072101,-6.872545242
Italy purchased the city in 1905 and made Mogadishu the capital of Italian Somaliland .,Italy bought the city in 1905 and made Mogadishu the capital of Italian Somaliland.,Italy bought the city in 1905 . They made Mogadiscio -LRB- Italian for Mogadishu -RRB- the capital of Italian Somaliland .,59,0.934193475,0.998775065,-0.57317096,0.917619892,0.996852696,-3.914541483
Maquoketa -LRB- -RRB- is a city in Jackson county in the U.S. state of Iowa .,Maquoketa is a city in the U.S. state of Iowa.,Maquoketa is a city of Iowa in the United States .,60,0.541993784,0.974280715,-1.264315963,0.540523246,0.419890583,-2.492396832
"Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3 , LOCATION@4 and other cities of LOCATION@5 , LOCATION@6 , and LOCATION@7 , as well as LOCATION@8 .","Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3, LOCATION@4 and other cities of LOCATION@5, LOCATION@6, and LOCATION@7, as well as LOCATION@8.","Many civilians and military officers in LOCATION@1 and the LOCATION@9 moved to LOCATION@4 and other surrounding areas of LOCATION@5 , LOCATION@6 , and LOCATION@7 .",61,0.941899713,0.999939442,-0.522774756,0.922520098,0.998697758,-1.563711762
"Billericay -LRB- -RRB- is a small commuter town in Essex , England with a population of 40,000 .","Billericay is a small town in Essex, England.",The,62,0.412375722,0.951339722,-2.316456795,0.345801702,0.0,-5.380001068
PERSON@1 -LRB- b. ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- d. LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous german composer and organist .,PERSON@1 -LRB- born NUMBER@1 November NUMBER@1 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist.,PERSON@1 -LRB- born ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist .,63,0.833766197,0.994637966,-2.078715563,0.861390399,0.995329857,-1.631710052
Kluisbergen is a municipality located in the Belgian province of East Flanders .,Kluisbergen is a municipality located in the Belgian province of East Flanders.,"It is located at 50 46 North , 03 29 East .",64,0.964078417,0.999901116,-1.088036418,0.742496029,0.000510076,-5.437754154
"Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- is an English novelist and screenwriter , and one of Britain 's most highly regarded writers .","Ian Russell McEwan CBE, FRSA -LRB- born 21 June 1948 -RRB- is an English writer.","Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- , is an English novelist -LRB- sometimes nicknamed '' Ian Macabre '' because of the nature of his early work -RRB- .",65,0.455334823,0.991377354,-1.507849455,0.469892129,0.99949491,-2.79337883
Ultratop is the official Belgian record charts .,Ultratop is the official Belgian record chart.,Ultratop is the name of the official Belgian record charts .,66,0.917477796,0.056424737,-2.290390491,0.942797589,0.59935528,-3.064779758
The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Do n't Like You -RRB- '' .,The album also has two bonus songs : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Don't Like You -RRB-.,The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Dont Like You -RRB- '' .,67,0.746217757,0.999908805,-1.172781587,0.782020602,0.99982059,-0.731103897
This warning was discontinued within NUMBER@1 hours .,This warning was discontinued within NUMBER@1 hours.,This warning was removed within NUMBER@1 hours .,68,0.948083432,0.999785542,-1.238672137,0.954383018,0.340440571,-2.052031994
"It is the home of the Earl and Countess of Strathmore and Kinghorne , and is open to the public .",It is the home of the Earl and Countess of Strathmore and Kinghorne and is open to the public.,It is the home of the Earl and Countess of Strathmore and Kinghorne .,69,0.938517644,0.99704814,-0.505290329,0.931756638,0.99755162,-0.803741813
Electronic gear used by audiophiles can be bought at specialist shops and websites .,Electronic gear used by audiophiles can be bought online.,Other websites,70,0.638464276,0.924572647,-1.496258974,0.555711499,0.000608865,-7.3359828
"The Rocker is a 2008 comedy starring Rainn Wilson , Josh Gad , Teddy Geiger , Emma Stone , Christina Applegate and Jason Sudeikis .","The Rocker is a 2008 movie starring Rainn Wilson, Josh Gad, Teddy Geiger, Emma Stone and Jason Sudeikis.",Cast,71,0.732959434,0.999415398,-0.823088467,0.547682012,0.0,-7.186322689
To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3 .,To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3.,"There is a mineral spring at LOCATION@1 , South of LOCATION@1 are the LOCATION@2 and the You LOCATION@3 .",72,0.951853024,0.999896169,-0.571205556,0.940665308,0.641026199,-2.066406727
"After the death of the child-king Baldwin V , his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort .","After the death of the child king Baldwin V, his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort.",Baldwin V of Jerusalem -LRB- b. 1177 -RRB-,73,0.964845811,0.943556607,-0.433416039,0.757249974,0.004732346,-4.79997921
"Most commonly , nihilism is presented in the form of existential nihilism which argues that life is without objective meaning , purpose , or intrinsic value .","Most commonly, nihilism is presented in the form of existential nihilism which argues that life is without objective meaning, purpose, or intrinsic value.","Nihilism is the belief that values are falsely invented . The term nihilism can also be used to describe the idea that life , or the world , has no distinct meaning or purpose .",74,0.933188192,0.999935031,-0.70642972,0.869994979,0.999875188,-2.789824247
