,source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_score_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold,new_pred_sentences,new_src_sentence
13,"It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .","It is part of the German Spitz breed, and in many countries they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB-, or Toy German PERSON@1.",The Pomeranian is a dog from LOCATION@1 -LRB- in LOCATION@2 and LOCATION@3 -RRB- .,13,0.68191878,0.996681869,-0.760204256,0.599540273,0.077601641,-3.130821705,It is part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON@1,It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON@1
14,"Henryk started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .","He started piano and harmony training with his mother when he was 5, and at age 7 turned to the violin, getting instruction from Maurice Frenkel.",Henryk started to learn the piano from his mother when he was five .,14,0.8939583,0.975522339,-0.788478494,0.840130383,0.999315143,-3.533702374,He started piano and harmony training with his mother when he was 5 and at age 7 turned to the violin getting instruction from Maurice Frenkel,Henryk started piano and harmony training with his mother when he was 5 and at age 7 turned to the violin receiving instruction from Maurice Frenkel
15,a.k.a. Pro Player Park -LRB- -RRB-,A.k.a. Pro Player Park -LRB- -RRB-,"The ORGANIZATION@1 are a ORGANIZATION@2 team in LOCATION@1 , LOCATION@2 .",15,0.998904467,0.997136891,-1.672189474,0.814329445,0.003990107,-4.749712944,A k a Pro Player Park LRB RRB,a k a Pro Player Park LRB RRB
17,"PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","PERSON@1 y Santib  ez PERSON@2 -LRB- LOCATION@1, NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1, NUMBER@3 September NUMBER@4 -RRB- was a politician and writer of the Baroque era.","PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , September NUMBER@1 , NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , September NUMBER@3 , NUMBER@4 -RRB- was a nobleman , politician and writer of the Spanish Golden Age .",17,0.879281602,0.953653455,-0.957458615,0.90112403,0.0,-1.256550193,PERSON@1 y Santib ez PERSON@2 LRB LOCATION@1 NUMBER@1 September NUMBER@2 Villanueva de los ORGANIZATION@1 NUMBER@3 September NUMBER@4 RRB was a politician and writer of the Baroque era,PERSON@1 y Santib ez PERSON@2 LRB LOCATION@1 NUMBER@1 September NUMBER@2 Villanueva de los ORGANIZATION@1 NUMBER@3 September NUMBER@4 RRB was a nobleman politician and writer of the Baroque era
18,He currently plays for the Japanese team Yokohama F. Marinos .,He plays for Yokohama F. Marinos.,Tetsuya Enomoto -LRB- born 2 May 1983 -RRB- is a Japanese football player .,18,0.498019721,0.992416739,-1.052134991,0.434431612,0.0010694,-4.625374317,He plays for Yokohama F Marinos,He currently plays for the Japanese team Yokohama F Marinos
21,"Cadmium iodide , CdI2 , is a chemical compound of cadmium and iodine .","Cadmium iodide, CdI2, is a chemical compound.",Cadmium iodide is a chemical compound . Its chemical formula is CdI2 .,21,0.584040859,0.998191535,-0.922606647,0.588149812,0.99969548,-1.563486576,Cadmium iodide CdI2 is a chemical compound,Cadmium iodide CdI2 is a chemical compound of cadmium and iodine
23,"One day , when the pianist failed to arrive by show time , PERSON@1 took his place .",One day PERSON@1 took his place.,"One day , when the pianist did not arrive in time for the show , PERSON@1 played instead .",23,0.327116489,0.988007367,-2.038743734,0.364045211,0.999858022,-2.205153465,One day PERSON@1 took his place,One day when the pianist failed to arrive by show time PERSON@1 took his place
24,His replacement was PERSON@1 leaving the band with the line-up they retain .,His replacement was PERSON@1 leaving the band with the line-up they keep.,PERSON@1 was his replacement .,24,0.930966681,0.868592083,-1.093942523,0.804654373,0.970143616,-3.209986448,His replacement was PERSON@1 leaving the band with the line up they keep,His replacement was PERSON@1 leaving the band with the line up they retain
25,"According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- , PERSON@1 could dribble the ball as many as six times a second .",According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- PERSON@1 could dribble the ball as many as six times a second.,"Instead , he started his own barnstorming team , the ORGANIZATION@2 .",25,0.650704079,0.971829116,-0.489842564,0.549414851,0.002853866,-4.119181156,According to the movie ORGANIZATION@1 Six Decades of Magic LRB O1988 O RRB PERSON@1 could dribble the ball as many as six times a second,According to the movie ORGANIZATION@1 Six Decades of Magic LRB O1988 O RRB ORGANIZATION@1 Six Decades of Magic LRB O1988 O RRB PERSON@1 could dribble the ball as many as six times a second
27,The first inhabitants settled in the territory of today 's Ain about 15000 B.C. .,The first inhabitants settled in the territory of todays Ain about 1500 B.C..,The first inhabitants of the Ain arrived around 15000 B.C. .,27,0.897269116,0.727187634,-2.214526176,0.889965713,0.997722447,-1.135902405,The first inhabitants settled in the territory of todays Ain about 1500 B C,The first inhabitants settled in the territory of today s Ain about 15000 B C
28,"Lost was the recipient of hundreds of US award nominations throughout its run , and won numerous industry awards , including the Emmy Award for US primetime Outstanding Drama Series in 2005 , Best American Import at the British Academy Television Awards in 2005 , the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series .","Lost has won many awards, including the Emmy Award for US primetime Outstanding Drama Series in 2005, Best American Import at the British Academy Television Awards in 2005, and the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006.",It won many awards including the Emmy Award for outstanding drama series in 2005 and best American import at the British Academy Television Awards also in 2005 .,28,0.556148366,0.999918938,-0.727646708,0.533175106,0.999532044,-2.112386942,Lost has won many awards including the Emmy Award for US primetime Outstanding Drama Series in 2005 Best American Import at the British Academy Television Awards in 2005 and the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006,Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in 2005 Best American Import at the British Academy Television Awards in 2005 the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series
29,"The trackâ s reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- , even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 's PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5 .","The track s reputation improved so much that the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB-, even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1's PERSON@1 of the NUMBER@4 drivers at the time won the NUMBER@5.",The 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- . None of the regular Indy drivers raced in Formula One .,29,0.953785749,0.0,-0.833556771,0.894246542,0.0,-0.836595297,The track s reputation improved so much that the 500 Mile Race became part of the Formula One World Championship for NUMBER@1 years LRB NUMBER@2 NUMBER@3 RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 s PERSON@1 of the NUMBER@4 drivers at the time won the NUMBER@5,The track s reputation improved so much the 500 Mile Race became part of the Formula One World Championship for NUMBER@1 years LRB NUMBER@2 NUMBER@3 RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 s PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5
31,"Wartburgkreis is a PERSON@1 -LRB- district -RRB- in the west of LOCATION@1 , LOCATION@2 .","Wartburgkreis is a district in the west of LOCATION@1, LOCATION@2.","Wartburgkreis is a Landkreis -LRB- rural district -RRB- in the west of LOCATION@1 , LOCATION@2 .",31,0.682162116,0.595271349,-2.135848522,0.712776749,0.999497294,-2.409605265,Wartburgkreis is a district in the west of LOCATION@1 LOCATION@2,Wartburgkreis is a PERSON@1 LRB district RRB in the west of LOCATION@1 LOCATION@2
33,"Afrodisiac is the fourth studio album by American singer Brandy , released by Atlantic Records on June 28 , 2004 on most international territories and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .","Afrodisiac is the fourth studio album by American singer Brandy, released by Atlantic Records on June 28, 2004 on most international territories and on June 29, 2004 in Canada and the United States.","Afrodisiac is the fourth studio album by American R&B \/O/ pop singer Brandy , released by Atlantic Records on June 28 , 2004 outside North America and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .",33,0.791367415,0.99943924,-0.842128575,0.831605734,0.989257634,-1.932198048,Afrodisiac is the fourth studio album by American singer Brandy released by Atlantic Records on June 28 2004 on most international territories and on June 29 2004 in Canada and the United States,Afrodisiac is the fourth studio album by American singer Brandy released by Atlantic Records on June 28 2004 on most international territories and on June 29 2004 LRB see 2004 in music RRB in Canada and the United States
34,"Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 , at LOCATION@1 in LOCATION@2 , LOCATION@3 .","PERSON@1 was born on NUMBER@1 June NUMBER@2 at LOCATION@1 in LOCATION@2, LOCATION@3.","PERSON@2 was born in LOCATION@1 , LOCATION@4 , LOCATION@5 .",34,0.769794493,0.982410729,-0.669617355,0.746839776,0.553991437,-2.050712824,PERSON@1 was born on NUMBER@1 June NUMBER@2 at LOCATION@1 in LOCATION@2 LOCATION@3,Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 at LOCATION@1 in LOCATION@2 LOCATION@3
35,"The second place rider , PERSON@1 , became the race 's official winner .","The second place rider, PERSON@1, became the official winner.","As PERSON@2 forfeited his Tour title , the second place rider , PERSON@1 , became the race 's official winner .",35,0.789490606,0.992601514,-1.043079257,0.811640508,0.571451128,-2.572869062,The second place rider PERSON@1 became the official winner,The second place rider PERSON@1 became the race s official winner
36,"Northampton Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .","Northampton Town Football Club -LRB- -RRB- are an English football club that play in Northampton, Northamptonshire.",Northampton Town F.C. is an English football club .,36,0.398829853,0.998527527,-0.881474614,0.366586042,0.993404567,-2.058280945,Northampton Town Football Club LRB RRB are an English football club that play in Northampton Northamptonshire,Northampton Town Football Club LRB RRB LRB often simply known as Northampton or by their nickname The Cobblers after the local shoemaking industry RRB are an English professional football club based in Northampton Northamptonshire
38,The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1 .,The importance of this industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1.,Companies such as LOCATION@1 and PERSON@1 are still based in the town .,38,0.968082847,0.974561095,-0.545814097,0.876345372,0.783322513,-1.562454462,The importance of this industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1,The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1
40,"A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich fluid seepage occurs , often in the form of a brine pool .","A cold seep is an area of the ocean floor where hydrogen sulfide, methane and other hydrocarbon-rich fluid seepage occurs, often in the form of a brine pool.","A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich liquids leak out of the Earth 's crust , often in the form of a brine pool .",40,0.732148973,0.999889731,-0.453476697,0.759586561,0.999907374,-1.154722095,A cold seep is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich fluid seepage occurs often in the form of a brine pool,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich fluid seepage occurs often in the form of a brine pool
41,"As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and hence decode the original data .","As long as enough values are received correctly, the receiver can deduce what the original polynomial was, and hence decode the original data.","As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and decode the original data .",41,0.917109171,0.933539748,-0.689925849,0.940689143,0.994577587,-0.821546972,As long as enough values are received correctly the receiver can deduce what the original polynomial was and hence decode the original data,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and hence decode the original data
43,They were at first inspired by The Beatles and other sixties pop groups like The Kinks .,They were first influenced by The Beatles and other sixties pop groups like The Kinks.,They were at first inspired by The Beatles and other typical sixties pop groups like The Kinks .,43,0.947253185,0.782467842,-0.857505322,0.974747998,0.90898329,-1.273530841,They were first influenced by The Beatles and other sixties pop groups like The Kinks,They were at first inspired by The Beatles and other sixties pop groups like The Kinks
44,The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s .,The idea of holding a Pan American Games started with the Central American Games which were first organized in the 1920s.,"From that time , the Games are held every four years .",44,0.974370837,0.877494276,-0.878497064,0.856195748,0.001162919,-3.61717248,The idea of holding a Pan American Games started with the Central American Games which were first organized in the 1920s,The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s
46,"If the lock does n't open , it means they 've counted wrong and they can go back and correct their mistakes .","If the lock doesn't open, it means they've counted wrong and they can go back and correct their mistakes.","If the lock does n't open , it means they 've counted wrong and they can go back and fix their mistakes .",46,0.917021408,0.999890864,-0.82040602,0.960330947,0.819880247,-1.080959439,If the lock doesn t open it means they ve counted wrong and they can go back and correct their mistakes,If the lock does n t open it means they ve counted wrong and they can go back and correct their mistakes
47,"In addition to writing all six Rocky films , PERSON@1 also wrote Cobra , Driven and Rambo .","In addition to writing all six Rocky movies, PERSON@1 also wrote Cobra, Driven and Rambo.","PERSON@1 wrote all six Rocky films , He also wrote Cobra , Driven and Rambo .",47,0.941270639,0.99626112,-0.68723464,0.942043393,0.878669262,-1.459582925,In addition to writing all six Rocky movies PERSON@1 also wrote Cobra Driven and Rambo,In addition to writing all six Rocky films PERSON@1 also wrote Cobra Driven and Rambo
48,"Edinho , real name Edino Nazareth Filho , -LRB- born June 5 , 1955 in Rio de Janeiro -RRB- was a football -LRB- soccer -RRB- player from Brazil .","Edinho, real name Nazareth Filho -LRB- born 5 June 1955 -RRB- was a Brazilian football player.","Edino Nazareth Filho -LRB- born 5 June , 1955 -RRB- is a former Brazilian football player .",48,0.585451487,0.999887407,-1.650007486,0.578680594,0.999929965,-1.664640188,Edinho real name Nazareth Filho LRB born 5 June 1955 RRB was a Brazilian football player,Edinho real name Edino Nazareth Filho LRB born June 5 1955 in Rio de Janeiro RRB was a football LRB soccer RRB player from Brazil
51,LOCATION@1 is a chemical element with the symbol Sg and atomic number NUMBER@1 .,It has the atomic number NUMBER@1.,It has the symbol ORGANIZATION@1 . It has the atomic number NUMBER@1 .,51,0.354513833,0.618364215,-1.300638318,0.367688131,0.428269327,-2.247334242,It has the atomic number NUMBER@1,LOCATION@1 is a chemical element with the symbol Sg and atomic number NUMBER@1
53,"For example , if the frequency of an allele is 20 % in a given population , then among population members , one in five chromosomes will carry that allele .","For example, if the frequency of an allele is 20 % in a population, then among population members, one in five chromosomes will carry that allele.",Allele frequencies may be used to describe genetic diversity in a population . If the frequency of any allele is above 1 % it is probable that natural selection is maintaining it at this level .,53,0.885743976,0.997808814,-0.659934878,0.809833669,0.655936122,-3.306137085,For example if the frequency of an allele is 20 in a population then among population members one in five chromosomes will carry that allele,For example if the frequency of an allele is 20 in a given population then among population members one in five chromosomes will carry that allele
54,"A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work , while varying pressure , temperature , and other state variables , eventually returning a system to its initial state .","A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work, while changing pressure, temperature, and other state variables, eventually returning a system to its original state.",A thermodynamic cycle is a series of thermodynamic processes which returns a system to its initial state .,54,0.937781966,0.999402821,-0.975760818,0.8854441,0.998562753,-1.586438417,A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work while changing pressure temperature and other state variables eventually returning a system to its original state,A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work while varying pressure temperature and other state variables eventually returning a system to its initial state
55,"Her real name was Maria Jansson , but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place were she worked .","Her real name was Maria Jansson, but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place where she worked.","Her real name was Maria Jansson , but she was always called Kisamor .",55,0.966703922,0.999939978,-0.426106691,0.874874064,0.999736428,-1.543299556,Her real name was Maria Jansson but she is known in history as Kisamor LRB The Mother in Kisa RRB after the place where she worked,Her real name was Maria Jansson but she is known in history as Kisamor LRB The Mother in Kisa RRB after the place were she worked
57,"Texas A&M University , often referred to as A&M or TAMU , is a coeducational public research university located in College Station , Texas . It is the flagship institution of the Texas A&M University System .","Texas A&M University is a public research university in College Station, Texas.","Texas A&M University is a public university in College Station , Texas .",57,0.329734235,0.994889975,-0.636995673,0.333621774,0.992463231,-1.462690353,Texas A M University is a public research university in College Station Texas,Texas A M University often referred to as A M or TAMU is a coeducational public research university located in College Station Texas It is the flagship institution of the Texas A M University System
58,"Dikes are mostly built using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water , making the barrier potentially unstable in very dry seasons .","Dikes are mostly made using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water, making the barrier potentially unstable in very dry seasons.","Availability of sand ,",58,0.975218894,0.999855816,-0.793454051,0.765283457,0.659072101,-6.872545242,Dikes are mostly made using locally available materials and each has its own risk factor sand is prone to collapse due to oversaturation by water while dry peat is lighter than water making the barrier potentially unstable in very dry seasons,Dikes are mostly built using locally available materials and each has its own risk factor sand is prone to collapse due to oversaturation by water while dry peat is lighter than water making the barrier potentially unstable in very dry seasons
59,Italy purchased the city in 1905 and made Mogadishu the capital of Italian Somaliland .,Italy bought the city in 1905 and made Mogadishu the capital of Italian Somaliland.,Italy bought the city in 1905 . They made Mogadiscio -LRB- Italian for Mogadishu -RRB- the capital of Italian Somaliland .,59,0.934193475,0.998775065,-0.57317096,0.917619892,0.996852696,-3.914541483,Italy bought the city in 1905 and made Mogadishu the capital of Italian Somaliland,Italy purchased the city in 1905 and made Mogadishu the capital of Italian Somaliland
60,Maquoketa -LRB- -RRB- is a city in Jackson county in the U.S. state of Iowa .,Maquoketa is a city in the U.S. state of Iowa.,Maquoketa is a city of Iowa in the United States .,60,0.541993784,0.974280715,-1.264315963,0.540523246,0.419890583,-2.492396832,Maquoketa is a city in the U S state of Iowa,Maquoketa LRB RRB is a city in Jackson county in the U S state of Iowa
62,"Billericay -LRB- -RRB- is a small commuter town in Essex , England with a population of 40,000 .","Billericay is a small town in Essex, England.",The,62,0.412375722,0.951339722,-2.316456795,0.345801702,0.0,-5.380001068,Billericay is a small town in Essex England,Billericay LRB RRB is a small commuter town in Essex England with a population of 40 000
63,PERSON@1 -LRB- b. ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- d. LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous german composer and organist .,PERSON@1 -LRB- born NUMBER@1 November NUMBER@1 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist.,PERSON@1 -LRB- born ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist .,63,0.833766197,0.994637966,-2.078715563,0.861390399,0.995329857,-1.631710052,PERSON@1 LRB born NUMBER@1 November NUMBER@1 died LOCATION@1 NUMBER@3 July NUMBER@4 RRB was a famous German composer and organist,PERSON@1 LRB b ORGANIZATION@1 NUMBER@1 November NUMBER@2 d LOCATION@1 NUMBER@3 July NUMBER@4 RRB was a famous german composer and organist
65,"Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- is an English novelist and screenwriter , and one of Britain 's most highly regarded writers .","Ian Russell McEwan CBE, FRSA -LRB- born 21 June 1948 -RRB- is an English writer.","Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- , is an English novelist -LRB- sometimes nicknamed '' Ian Macabre '' because of the nature of his early work -RRB- .",65,0.455334823,0.991377354,-1.507849455,0.469892129,0.99949491,-2.79337883,Ian Russell McEwan CBE FRSA LRB born 21 June 1948 RRB is an English writer,Ian Russell McEwan CBE FRSA FRSL LRB born 21 June 1948 RRB is an English novelist and screenwriter and one of Britain s most highly regarded writers
