,source_sentence,pred,gold,bart_score_pred
28,Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in he won an emmy award for best original play in the united kingdom and won an academy award in television drama in and in two other awards.,It won many awards including the Emmy Award for outstanding drama series in and best American import at the British Academy Television Awards also in.,-4.13784646987915
29,The track s reputation improved so much the Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION s PERSON of the NUMBER drivers at the time raced in the NUMBER.,the number championship was the first race of the number formula one championship. the race was held between number and number at number.,The Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB. None of the regular Indy drivers raced in Formula One.,-4.630746841430664
30,The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,the game is made by chocolate factory and is produced by cookie jar. it is the first game made by organization.,The animated series is produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,-4.370031833648682
31,Wartburgkreis is a PERSON LRB district RRB in the west of LOCATION LOCATION.,location is a district of location in the north west of location lrb modern location rrb.,Wartburgkreis is a Landkreis LRB rural district RRB in the west of LOCATION LOCATION.,-4.6570916175842285
32,For example many different things can be red.,the color of colors can be different from red or red.,For example many different things can be the color red.,-3.4236199855804443
33,Afrodisiac is the fourth studio album by American singer Brandy released by Atlantic Records on June on most international territories and on June LRB see in music RRB in Canada and the United States.,the album was released on june in canada on the united states and canada on june and in the united kingdom.,Afrodisiac is the fourth studio album by American R B O pop singer Brandy released by Atlantic Records on June outside North America and on June LRB see in music RRB in Canada and the United States.,-4.240344524383545
34,Early life PERSON was born on NUMBER June NUMBER at LOCATION in LOCATION LOCATION.,person was born in location location. he was born location in location.,PERSON was born in LOCATION LOCATION LOCATION.,-3.6610960960388184
35,The second place rider PERSON became the race s official winner.,person s team won the race and person s first time the race was in number.,As PERSON forfeited his Tour title the second place rider PERSON became the race s official winner.,-4.67911958694458
36,Northampton Town Football Club LRB RRB LRB often simply known as Northampton or by their nickname The Cobblers after the local shoemaking industry RRB are an English professional football club based in Northampton Northamptonshire.,f. f. c. is a football club that plays in england.,Northampton Town F.C. is an English football club.,-3.65378999710083
37,Rawson E. Cicero a portrait LRB O O RRB p. Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin thus translating Greek philosophical works for a larger audience.,history of trojans by shakespeare and others are known by the romans.,Works by Cicero,-4.779529094696045
38,The importance of such industry is still seen in the town in the present day in companies such as LOCATION and PERSON.,the town of location was founded in number by person in location.,Companies such as LOCATION and PERSON are still based in the town.,-4.7522969245910645
39,In February an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,in the early days of the unsciences a group of people living in the kara karakorum region of the u. s. territory were found by a team of tibetans in an expedition to find the missing whales.,In February of an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,-4.497903823852539
40,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich fluid seepage occurs often in the form of a brine pool.,the deep water is a part of the deep ocean that is mostly filled with water lrb water rrb that is found in the deepest parts of the ocean.,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich liquids leak out of the Earth s crust often in the form of a brine pool.,-3.641679048538208
41,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and hence decode the original data.,however the algorithm is now known as the correct algorithm because the original algorithm was used to correct the errors and therefore the resulting result could not be correct.,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and decode the original data.,-3.4905760288238525
42,The Retezat Mountains have many glacial lakes including the largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB which covers. ha and is situated at an altitude of metres.,the lake is the largest lake in the region of suceava. there are four lake lakes in the province of laci lac cucucururu lacu laca.,The Retezat Mountains have many glacial lakes. The largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB is in these mountains.,-5.26279878616333
43,They were at first inspired by The Beatles and other sixties pop groups like The Kinks.,they were influenced by the beatles and the beatles. they were inspired by the music of the beatles who were also from the bands.,They were at first inspired by The Beatles and other typical sixties pop groups like The Kinks.,-3.436971426010132
44,The idea of holding a Pan American Games grew from the Central American Games which were first organized in the s.,the games are held every year from to.,From that time the Games are held every four years.,-3.3645431995391846
45,The actual confidence interval is calculated by entering the measured masses in the formula.,the formula is calculated from the confidence in the confidence intervals. the confidence is calculated by weighing the weight of the weights.,The actual confidence interval is calculated by entering the measured weights in the formula.,-3.484233856201172
46,If the lock does n t open it means they ve counted wrong and they can go back and correct their mistakes.,they do not get it back because they have to lose it because they lost it all time they get back and they lose it again again.,If the lock does n t open it means they ve counted wrong and they can go back and fix their mistakes.,-4.127804279327393
47,In addition to writing all six Rocky films PERSON also wrote Cobra Driven and Rambo.,he is best known for directing the rocky horror and rocky jones movie rocky.,PERSON wrote all six Rocky films He also wrote Cobra Driven and Rambo.,-6.078369617462158
48,Edinho real name Edino Nazareth Filho LRB born June in Rio de Janeiro RRB was a football LRB soccer RRB player from Brazil.,stefani lrb born july rrb is a former brazilian football player.,Edino Nazareth Filho LRB born June RRB is a former Brazilian football player.,-5.0318474769592285
49,PERSON the sensible and reserved eldest daughter of Mr. and Mrs. PERSON.,person is the oldest daughter of person and his second wife person.,PERSON the youngest daughter of Mr. and Mrs. PERSON.,-3.472120761871338
50,He has reported for Independent Television News LRB ITN RRB.,he has been a commentator for bbc two news for the bbc.,He has reported for Independent Television News.,-5.175325870513916
51,LOCATION is a chemical element with the symbol Sg and atomic number NUMBER.,it has the atomic number number. it has number atomic number.,It has the symbol ORGANIZATION. It has the atomic number NUMBER.,-4.006499767303467
52, There is her little Balochi style face with pouting lips and insolent look in the eyes.,she is noted for her fearlessness in acting at the end of the film., There is her... pouting lips and insolent look in the eyes.,-3.551791191101074
53,For example if the frequency of an allele is in a given population then among population members one in five chromosomes will carry that allele.,at this point it is possible that the genetic diversity of a species is not possible to be observed at all. at the same time it is not likely that the population should be stable.,Allele frequencies may be used to describe genetic diversity in a population. If the frequency of any allele is above it is probable that natural selection is maintaining it at this level.,-3.03521990776062
54,A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work while varying pressure temperature and other state variables eventually returning a system to its initial state.,thermodynamic equilibrium is a process where the system is stored at a specific time as the current of a system is controlled by a system of chemical reactions.,A thermodynamic cycle is a series of thermodynamic processes which returns a system to its initial state.,-3.1168644428253174
55,Her real name was Maria Jansson but she is known in history as Kisamor LRB The Mother in Kisa RRB after the place were she worked.,she is the name of another swedish actress. she was one of the most popular members of the rucker dynasty.,Her real name was Maria Jansson but she was always called Kisamor.,-3.583446979522705
56,She later held the title of Duchess of Teck by marriage.,the duke of duke duke duke teck was given the title duke of tortow.,She later married the Duke of Teck.,-4.8119635581970215
57,Texas A M University often referred to as A M or TAMU is a coeducational public research university located in College Station Texas. It is the flagship institution of the Texas A M University System.,university of texas is a public university in texas in the united states.,Texas A M University is a public university in College Station Texas.,-3.6970338821411133
58,Dikes are mostly built using locally available materials and each has its own risk factor sand is prone to collapse due to oversaturation by water while dry peat is lighter than water making the barrier potentially unstable in very dry seasons.,location sandboxes are likely to be used for sand storage.,Availability of sand ,-4.84624719619751
59,Italy purchased the city in and made Mogadishu the capital of Italian Somaliland.,the city became the capital of the somalimachist dynasty in italy after the fall of mozzara in.,Italy bought the city in. They made Mogadiscio LRB Italian for Mogadishu RRB the capital of Italian Somaliland.,-5.271294593811035
60,Maquoketa LRB RRB is a city in Jackson county in the U.S. state of Iowa.,iowa is a city of iowa in the united states. it is the capital of the iowa country.,Maquoketa is a city of Iowa in the United States.,-3.2886791229248047
61,Many civilians and military officers living or stationed in LOCATION and the LOCATION moved to LOCATION LOCATION and other cities of LOCATION LOCATION and LOCATION as well as LOCATION.,many parts of location and other parts of the location including location and location were taken to the location and the location.,Many civilians and military officers in LOCATION and the LOCATION moved to LOCATION and other surrounding areas of LOCATION LOCATION and LOCATION.,-3.3953745365142822
62,Billericay LRB RRB is a small commuter town in Essex England with a population of.,the town is located in the province of location.,The,-4.231534004211426
63,PERSON LRB b. ORGANIZATION NUMBER November NUMBER d. LOCATION NUMBER July NUMBER RRB was a famous german composer and organist.,person lrb born person november number number died location number december number number rrb was a german organist and organist.,PERSON LRB born ORGANIZATION NUMBER November NUMBER died LOCATION NUMBER July NUMBER RRB was a famous German composer and organist.,-5.280373573303223
64,Kluisbergen is a municipality located in the Belgian province of East Flanders.,it is located at the north east of the city of location.,It is located at North East.,-3.4776670932769775
65,Ian Russell McEwan CBE FRSA FRSL LRB born June RRB is an English novelist and screenwriter and one of Britain s most highly regarded writers.,james mcneill lrb born july rrb is a british writer who is best known for his books about the family and the history of the scottish family.,Ian Russell McEwan CBE FRSA FRSL LRB born June RRB is an English novelist LRB sometimes nicknamed Ian Macabre because of the nature of his early work RRB.,-3.7354531288146973
66,Ultratop is the official Belgian record charts.,the ultratop chart is the official chart of the belgian language country chart.,Ultratop is the name of the official Belgian record charts.,-3.749892473220825
67,The Best Buy version of the album contains two bonus tracks Hold On and an acoustic demo of Hate LRB I Really Do n t Like You RRB.,the album also has a cover of the song lrb o rrb lrb rrb and a cover rrb.,The Best Buy version of the album contains two bonus tracks Hold On and an acoustic demo of Hate LRB I Really Dont Like You RRB.,-4.2663774490356445
68,This warning was discontinued within NUMBER hours.,pred,gold,-7.304527282714844
69,It is the home of the Earl and Countess of Strathmore and Kinghorne and is open to the public.,the earl of earldon is the name and the seat of the earl s earl of location and the earldom of location.,It is the home of the Earl and Countess of Strathmore and Kinghorne.,-4.604740619659424
70,Electronic gear used by audiophiles can be bought at specialist shops and websites.,websites websites websites website websites websites of websites,Other websites,-5.761169910430908
71,The Rocker is a comedy starring Rainn Wilson Josh Gad Teddy Geiger Emma Stone Christina Applegate and Jason Sudeikis.,the cast was cast by person.,Cast,-5.30844259262085
72,To the south of LOCATION are the LOCATION and the You LOCATION.,the location and location are located in location location location. there are two springs near location.,There is a mineral spring at LOCATION South of LOCATION are the LOCATION and the You LOCATION.,-4.360378742218018
73,After the death of the child king Baldwin V his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort.,david i of jerusalem lrb died rrb,Baldwin V of Jerusalem LRB b. RRB ,-8.656477928161621
74,Most commonly nihilism is presented in the form of existential nihilism which argues that life is without objective meaning purpose or intrinsic value.,the word god is also used to mean something that is not thought of as spiritual or spiritually as an idea of god or god or something else else than spiritualism.,Nihilism is the belief that values are falsely invented. The term nihilism can also be used to describe the idea that life or the world has no distinct meaning or purpose.,-4.231895446777344
75,Marie Antoinette LRB pronounced RRB LRB Vienna November Paris October RRB was an Archduchess of Austria and Queen of France and of Navarre.,joan of austria lrb born april rrb was a french empress of the netherlands and queen consort of france.,Marie Antoinette LRB born Maria Antonia Josepha Archduchess of Bavaria RRB LRB November in Vienna October in Paris RRB was an Archduchess of Austria and a Queen of France and Navarre.,-4.4651641845703125
76,The ORGANIZATION is open to the public.,the hall is kept in the house.,The house is open to the public.,-5.386544704437256
77,Cheese is produced throughout the world in wide ranging flavors textures and forms.,variety of cheeses include cheese variety cheese and cheese.,Different types of cheese include ,-4.182884693145752
78,Outward appearance Throughout the series Harry is described as sporting his father s perpetually untidy black hair his mother s bright green eyes and a lightning bolt shaped scar on his forehead.,he is best known for his appearance in the dark lord s dark lord and his short haircut in his best friend harry potter and his first appearance in his own book dark days in the series.,Throughout the entire series Harry sports his father s perpetually untidy black hair his mother s green eyes and a lightning bolt shaped scar on his forehead because of his encounter with Lord Voldemort and round thick eyeglasses.,-4.595227241516113
79,Billboard LRB Positive RRB link,the album was released in may and was released june in the united states on june in may.,This studio album was released June in the United States June in Australia and on May in Europe.,-5.340056896209717
80,he did his Phd in london. RRB ,the department of environment lrb renewable energy department of energy rrb,Department of Renewable Energy,-7.128106117248535
81,NUMBER ndash PERSON French painter and graphic artist LRB d. NUMBER RRB ,person lrb number number rrb was a painter and painter.,NUMBER PERSON painter and graphic artist LRB d. NUMBER RRB ,-4.643873691558838
82,No songs from the album have ever been performed live by Pink Floyd since although Roger Waters has played a number of the songs live on all of his subsequent solo tours starting with his very first such tour promoting The Pros and Cons of Hitchhiking in.,the song has been performed live by many of the band s band s albums. it has been covered by several of the bands who have ever done so.,None of the album s songs has ever been performed live by Pink Floyd though some have been performed live by Waters during solo tours.,-3.5670204162597656
83,He then attended the Methodist affiliated Boston University earning an A.B. in and went on to graduate from Boston University School of Law in.,in bates was elected governor from to.,In Bates was elected Governor holding office from to.,-7.676180839538574
84,It is the band s only album produced by Rick Rubin.,the epistle to the hip hop group is the second album by the american heavy metal band coldplay., LRB The Subliminal Verses RRB is the third studio album by American alternative metal rock band Slipknot.,-3.8396928310394287
85,The dealer shuffles the cards the player on the chair to their right cuts and the dealer deals the appropriate number of cards to the players one at a time beginning with the player to their left.,the player is dealt with a card and then then put it to the deck. the cards are dealt to the player.,The deck is then cut and the appropriate number of cards are dealt face down to the players.,-3.5549583435058594
86,The ORGANIZATION however turned disarmed soldiers and civilians over to the partisan forces.,the organization was given over to the organization in number and they were sent to the location.,The ORGANIZATION then turned over a number of them to the partisan forces.,-4.338909149169922
87,They vary in size but are usually not much larger than the areola.,they are usually smaller than the rest of the species but are not the same as the rest.,They vary in size and are usually not much larger than the persons areola.,-2.832958459854126
88,The first eyeborg was created in England in by Adam Montandon in collaboration with colourblind artist Neil Harbisson.,the first image was taken by neil neil neilson in the uk in at the age of.,The first eyeborg was made in England in by Adam Montandon in collaboration with colourblind artist Neil Harbisson.,-5.183895111083984
89,PERSON had experienced PERSON s tardiness stage fright and inability to remember lines during production of The Seven Year Itch.,person s injury was one of the worst episodes of the series s history. it was written out of the script for the episode number days after person was ill.,PERSON had experienced PERSON s lateness stage fright and inability to remember lines during production of The Seven Year Itch.,-4.003834247589111
90,The translation table rules established in this fashion are flushed after a short period without new traffic refreshing their state.,the rules are changed from the original state in the present format but there are changes to the previous rules.,The translation table rules established in the above way are cleared after a short period without new traffic refreshing their state.,-3.90901255607605
91,Chess boxing is a hybrid sport which combines the sport of boxing with games of chess in alternating rounds.,boxing is a sport that consists of boxing boxing boxing and boxing boxing.,Chess boxing is a mixed sport which puts together the sport of boxing with games of chess in every other round.,-3.857970714569092
92,They are rebuilds with reconditioned engines of former Class NUMBER locomotives originally introduced in NUMBER.,they are now used by older locomotives from number to number with new engines.,They are rebuilds with new engines of older Class NUMBER locomotives originally introduced in NUMBER.,-3.5272669792175293
93,His older brother died in and Charles Emmanuel then became heir apparent.,the prince of savoy became king when charles vii died and his brother charles vii was the heir to charles vii.,His older brother the Prince of Piedmont died in and then Charles Emmanuel became Heir apparent.,-3.9431557655334473
94,It is a successor to the famous World War II Jeep vehicle by way of the Willys civilian Jeep LRB CJ RRB in the s later produced by Kaiser Jeep and by American Motors LRB AMC RRB.,the mbb is a type of truck that is used by the british army since the world war ii.,It replaced the Jeep CJ which came from the World War II Jeep or Willys MB.,-4.246280193328857
95,PERSON LRB February NUMBER NUMBER September NUMBER NUMBER RRB was an American politician and jurist.,person lrb september number number february number number rrb was an american politician and politician.,PERSON LRB February NUMBER NUMBER September NUMBER NUMBER RRB was an American judge and politician.,-4.753412246704102
96,PERSON illegally entered the ring to enact revenge on Sniper and Recon on behalf of The ORGANIZATION PERSON also illegally entered to eliminate PERSON and so left his partner PERSON.,person then chose person to be the analyst for the organization and then he chose person as the replacement for person who was eliminated from the organization.,PERSON illegally entered the ring to get revenge on Sniper and Recon for The ORGANIZATION PERSON also illegally entered to eliminate PERSON and so his partner PERSON had to leave too.,-3.5829224586486816
97,For example some animals can be entrained to a hour day but they can not be entrained to a hour day.,they can be able to travel by air to the outside if they can get to a city where people can travel.,Some animals can be entrained to a hour day but they can not be entrained to a hour day.,-3.858032464981079
98,Pooh admits that this may happen but asks her to think about what will happen to Michael if she does n t tell.,he says that his parents have decided to leave her because she wants to know if if he does not think it will would not happen.,Pooh admits that this may happen but asks her to think about what will happen to Michael if she does not tell.,-4.098341941833496
99,Porter Theodore M. LRB O O RRB Trust in Numbers The Pursuit of Objectivity in Science and Public Life Princeton University Press.,in the u. s. library lrb o. rrb the yale university s public policy and public policy lrb the public policy of the american public in the s.,Porter Theodore M. LRB O O RRB Trust in Numbers The Pursuit of Objectivity in Science and Public Life Princeton University Press ,-5.363091945648193
100,Gene Simmons is a solo album from the bass player and singer of American hard rock band Kiss.,the band is the second album by the american hard rock hard rock heavy metal band kiss.,Gene Simmons is a solo album by Gene Simmons the bass player of the American hard rock heavy metal band Kiss.,-3.6642234325408936
101,The Maya cities of the northern lowlands in Yucat n continued to flourish for centuries more some of the important sites in this era were Chichen Itza Uxmal Edzn and Coba.,it was first found in the mayan cities of azad and azad in the region of azraz.,Some of the important sites in this era were Chichen Itza Uxmal Edzn and Coba.,-5.042785167694092
102,PERSON has outlined us the road to the freedom And great PERSON is leading us through it.,the sun was the symbol of the people of the world. the sun came through the sky.,Through tempests shined on us the sun of freedom And the great PERSON lit us the way.,-4.178654670715332
103,There is a lot of data O. that will take up a lot of space.,there is a lot of information about the spacetime and it can be used for much more than one year.,If there is a lot of data it will take up a lot of space.,-2.910707473754883
104,Encino LRB Spanish for evergreen or holm oak RRB is a hilly district of the City of Los Angeles California United States.,los angeles county is a city of los angeles california.,Encino California is a district of Los Angeles.,-3.8590102195739746
105,PERSON the protagonist of her novel was a bohemian.,person was a bohemian. person was the author of the novel person.,PERSON the protagonist of PERSON s novel was a bohemian.,-2.4226224422454834
106,Karl Marginson,it is located in the belgian province of gue de france.,FC,-5.073312759399414
107,Perm LRB Gramota.,it was dropped from the ruhr region in december.,Perm,-5.181447505950928
108,After escaping from slavery into which she was born she made thirteen missions to rescue more than slaves using the network of antislavery activists and safe houses known as the Underground Railroad.,she helped the organization to build the railroad and helped help the organization.,She used the help of the Underground Railroad.,-4.535706996917725
109,His famous setting of It was a lover and his lass from As You Like It has never been established as having been used in a performance of Shakespeare s play though the possibility that it was is obvious.,he wrote a poem for the chorus and shakespeare s love for her. it was a poem from shakespeare s father and shakespeare.,We do not know whether the two men worked together but Morley did set Shakespeare s words It was a lover and his lass from As You Like It.,-4.883610248565674
110,A derived binary relation between two sets is the subset relation also called set inclusion.,a group of binary sets is a set of binary binary binary relations.,A binary relation between two sets is the subset relation also called set inclusion.,-3.1743288040161133
111,Asperger syndrome is also called Asperger s syndrome LRB AS RRB Asperger LRB or Asperger s RRB disorder LRB AD RRB or just Asperger s.,asperger is still alive as a result of her being transcers as an aviangerger once had an als syndrome.,For a person with Asperger syndrome having Asperger syndrome is normal because they have had it all their life.,-5.9309000968933105
112,Oulens sous Echallens,pinguiot potocie potoc pot pottchie potot pott potok pott.,Poliez Pittet,-7.813042640686035
113,As of Jyv skyl had a population of.,there are people who live there in the town.,There are about NUMBER inhabitants in Jyv skyl. The ORGANIZATION skyl is popular and respected.,-3.7835731506347656
114,Barbara Pierce Bush was born at Baylor University Medical Center in Dallas Texas.,houston medical center was the first hospital in houston texas. it was built in by houston baptist university in houston.,Barbara Pierce Bush was born November at Baylor University Medical Center in Texas.,-4.7324724197387695
115,He won only games while appearing in out of Boston s games which was the only time he missed games as a member of the Bruins.,in the final game he lost.,In the games he played Thompson won only.,-3.8737967014312744
116,The memorial is managed by the ORGANIZATION which was established as per the Jallianwala Bagh National Memorial Act passed by the Government of LOCATION in NUMBER.,the jalalabad division was established in by the government of pakistan during the partition of india. it was officially declared as the national library of india in number.,The memorial is managed by ORGANIZATION which was established as per Jallianwala Bagh National Memorial Act passed by Government of LOCATION in year NUMBER.,-3.650934934616089
117,Lourmarin is a commune in the LOCATION department in the Provence Alpes C te d Azur region in southeastern LOCATION.,person is a commune of number people lrb number rrb. it is located in the region provence alpes c te d azur in the location department in the south of location.,Lourmarin is a commune of NUMBER people LRB NUMBER RRB. It is located in the region Provence Alpes C te d Azur in the LOCATION department in the south of LOCATION.,-4.421175479888916
118,It lies west southwest of Bristol north of Plymouth and northwest of the county town of Exeter.,it is located about miles lrb km rrb east of bathshire. it is about miles west of plymouth.,It is found west southwest of Bristol north of Plymouth and northwest of the county town of Exeter.,-5.176448345184326
119,The four yellow arrows symbolize the native nations of LOCATION whereas their pointing into the four cardinal directions of the compass stands for the centralized emanating political power of LOCATION as the capital of the country.,the yellowbacks are the members of the organization of the location.,The four yellow arrows are for the native people of LOCATION.,-4.041655540466309
120,After the fall of Saipan the Japanese high command predicted that the Allies would try to capture the Philippines which were strategically important because of their location between the oilfields of Southeast Asia and Japan.,the japanese navy and the japanese forces in the southern part of the pacific ocean and the southern portion of the japanese empire were attacked by the japanese naval forces.,After the fall of Saipan the Japanese commanders knew that the Allies would try to capture the Philippines next. The Philippines were very important because they were located between the oil fields of Southeast Asia and Japan.,-3.849625825881958
121,Aquincum originally a ORGANIZATION settlement was the direct ancestor of LOCATION becoming the Roman capital of LOCATION.,person lrb m rrb is the highest mountain at number m lrb ft rrb.,Its highest place is PERSON LRB NUMBER m. RRB.,-6.404033660888672
