,source_sentence,pred,gold,bart_score_pred
29,The track s reputation improved so much the Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION s PERSON of the NUMBER drivers at the time raced in the NUMBER.,in number the number number championship was held at the number location in location. it was the first time that the number lrb number rrb was held in number.,The Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB. None of the regular Indy drivers raced in Formula One.,-4.362433910369873
30,The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,the series was created by the canadian television network canadian broadcasting corporation and the television network of canada.,The animated series is produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,-4.39456844329834
31,Wartburgkreis is a PERSON LRB district RRB in the west of LOCATION LOCATION.,person lrb german district rrb is a district in the district of location in location location.,Wartburgkreis is a Landkreis LRB rural district RRB in the west of LOCATION LOCATION.,-4.961595058441162
32,For example many different things can be red.,some of them can be made into different colors.,For example many different things can be the color red.,-3.1320202350616455
33,Afrodisiac is the fourth studio album by American singer Brandy released by Atlantic Records on June on most international territories and on June LRB see in music RRB in Canada and the United States.,the album was released on april in the united states and canada on june in canada and canada.,Afrodisiac is the fourth studio album by American R B O pop singer Brandy released by Atlantic Records on June outside North America and on June LRB see in music RRB in Canada and the United States.,-4.197582721710205
34,Early life PERSON was born on NUMBER June NUMBER at LOCATION in LOCATION LOCATION.,person was born on june number number in location location.,PERSON was born in LOCATION LOCATION LOCATION.,-3.3994414806365967
35,The second place rider PERSON became the race s official winner.,person s first race was the first race of the person s team.,As PERSON forfeited his Tour title the second place rider PERSON became the race s official winner.,-4.320621967315674
36,Northampton Town Football Club LRB RRB LRB often simply known as Northampton or by their nickname The Cobblers after the local shoemaking industry RRB are an English professional football club based in Northampton Northamptonshire.,the town is a small town in the united kingdom. it is home to the town of coventry who play for the coventry saints.,Northampton Town F.C. is an English football club.,-3.9421818256378174
37,Rawson E. Cicero a portrait LRB O O RRB p. Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin thus translating Greek philosophical works for a larger audience.,he wrote a grammar of greek classical mythology lrb latin latin rrb.,Works by Cicero,-5.623891353607178
38,The importance of such industry is still seen in the town in the present day in companies such as LOCATION and PERSON.,in the history of location people in location are still people in the towns of location.,Companies such as LOCATION and PERSON are still based in the town.,-4.200430393218994
39,In February an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,in a study of animals in a range of animals reported that there were an estimated number of animals living on the island of papua which were reported by a team of researchers.,In February of an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,-4.067857265472412
40,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich fluid seepage occurs often in the form of a brine pool.,a hydrothermal vent is a type of lake that is usually found in shallow water near the bottom of the sea.,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich liquids leak out of the Earth s crust often in the form of a brine pool.,-3.2018051147460938
41,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and hence decode the original data.,this means that the original value of the data is the same as the original original value and therefore the resulting result is correct.,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and decode the original data.,-2.994715452194214
42,The Retezat Mountains have many glacial lakes including the largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB which covers. ha and is situated at an altitude of metres.,it is found in the region of location in the u. s.. lrb about km rrb of location.,The Retezat Mountains have many glacial lakes. The largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB is in these mountains.,-5.8505730628967285
43,They were at first inspired by The Beatles and other sixties pop groups like The Kinks.,they were the most famous bands from the late s and early s.,They were at first inspired by The Beatles and other typical sixties pop groups like The Kinks.,-4.23499059677124
44,The idea of holding a Pan American Games grew from the Central American Games which were first organized in the s.,in the united states the first international games were held in the city of location.,From that time the Games are held every four years.,-3.896606922149658
45,The actual confidence interval is calculated by entering the measured masses in the formula.,the measured mean of the gas is measured by the method used by the actual measurements in the ersatz.,The actual confidence interval is calculated by entering the measured weights in the formula.,-4.53361177444458
46,If the lock does n t open it means they ve counted wrong and they can go back and correct their mistakes.,when the player s choice to move back to the game if they do wrong wrong if they turn up.,If the lock does n t open it means they ve counted wrong and they can go back and fix their mistakes.,-4.810354709625244
47,In addition to writing all six Rocky films PERSON also wrote Cobra Driven and Rambo.,he was also the main lead villain in the movie directed by person.,PERSON wrote all six Rocky films He also wrote Cobra Driven and Rambo.,-4.81840181350708
48,Edinho real name Edino Nazareth Filho LRB born June in Rio de Janeiro RRB was a football LRB soccer RRB player from Brazil.,monteiro lrb born july rrb is a brazilian football player.,Edino Nazareth Filho LRB born June RRB is a former Brazilian football player.,-5.173780918121338
49,PERSON the sensible and reserved eldest daughter of Mr. and Mrs. PERSON.,she was the eldest daughter of person and the eldest child of person.,PERSON the youngest daughter of Mr. and Mrs. PERSON.,-2.7766597270965576
50,He has reported for Independent Television News LRB ITN RRB.,he has worked for bbc radio and television television including bbc radio n t lrb rrb and the independent newspaper.,He has reported for Independent Television News.,-5.212620258331299
51,LOCATION is a chemical element with the symbol Sg and atomic number NUMBER.,location is the atomic number and its atomic number is number.,It has the symbol ORGANIZATION. It has the atomic number NUMBER.,-2.9183831214904785
52, There is her little Balochi style face with pouting lips and insolent look in the eyes.,she is also a kind of girl in the karpat and is a kind girl in her country., There is her... pouting lips and insolent look in the eyes.,-4.4044599533081055
53,For example if the frequency of an allele is in a given population then among population members one in five chromosomes will carry that allele.,in the case of chromosomes there is a total number of chromosomes and there are about number genes in each species.,Allele frequencies may be used to describe genetic diversity in a population. If the frequency of any allele is above it is probable that natural selection is maintaining it at this level.,-3.7972776889801025
54,A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work while varying pressure temperature and other state variables eventually returning a system to its initial state.,thermodynamic equilibrium is a process where a system is stored in a liquid state lrb thermosynamic state rrb and then then changes to a slow rate of temperature.,A thermodynamic cycle is a series of thermodynamic processes which returns a system to its initial state.,-4.625702857971191
55,Her real name was Maria Jansson but she is known in history as Kisamor LRB The Mother in Kisa RRB after the place were she worked.,she was the mother of the first woman in the history of location.,Her real name was Maria Jansson but she was always called Kisamor.,-3.6347763538360596
56,She later held the title of Duchess of Teck by marriage.,she was the wife of the duke of location and was married to the duke.,She later married the Duke of Teck.,-2.826284885406494
57,Texas A M University often referred to as A M or TAMU is a coeducational public research university located in College Station Texas. It is the flagship institution of the Texas A M University System.,the university of texas is a public university located in houston texas.,Texas A M University is a public university in College Station Texas.,-3.742418050765991
58,Dikes are mostly built using locally available materials and each has its own risk factor sand is prone to collapse due to oversaturation by water while dry peat is lighter than water making the barrier potentially unstable in very dry seasons.,this is due to the presence of sand which is not allowed to move through the surface but is possible to be avoided by water erosion.,Availability of sand ,-3.6020400524139404
59,Italy purchased the city in and made Mogadishu the capital of Italian Somaliland.,in the middle of somaliland the somali city of ethiopia became the capital of the somaliland. it became part of ethiopia.,Italy bought the city in. They made Mogadiscio LRB Italian for Mogadishu RRB the capital of Italian Somaliland.,-4.039567470550537
60,Maquoketa LRB RRB is a city in Jackson county in the U.S. state of Iowa.,it is a city of iowa in the united states.,Maquoketa is a city of Iowa in the United States.,-4.087196350097656
61,Many civilians and military officers living or stationed in LOCATION and the LOCATION moved to LOCATION LOCATION and other cities of LOCATION LOCATION and LOCATION as well as LOCATION.,in location location location and location were part of the government of location.,Many civilians and military officers in LOCATION and the LOCATION moved to LOCATION and other surrounding areas of LOCATION LOCATION and LOCATION.,-4.426814556121826
62,Billericay LRB RRB is a small commuter town in Essex England with a population of.,it is a small town in the united kingdom.,The,-3.920328140258789
63,PERSON LRB b. ORGANIZATION NUMBER November NUMBER d. LOCATION NUMBER July NUMBER RRB was a famous german composer and organist.,person lrb july number number november number number rrb was a german composer and organist.,PERSON LRB born ORGANIZATION NUMBER November NUMBER died LOCATION NUMBER July NUMBER RRB was a famous German composer and organist.,-4.73198127746582
64,Kluisbergen is a municipality located in the Belgian province of East Flanders.,it is located in the belgian province of west flanders.,It is located at North East.,-4.2148542404174805
65,Ian Russell McEwan CBE FRSA FRSL LRB born June RRB is an English novelist and screenwriter and one of Britain s most highly regarded writers.,it was born in inverness scotland lrb born july rrb is a scottish writer and writer.,Ian Russell McEwan CBE FRSA FRSL LRB born June RRB is an English novelist LRB sometimes nicknamed Ian Macabre because of the nature of his early work RRB.,-5.042169094085693
66,Ultratop is the official Belgian record charts.,the belgian national football club is the national football team of belgium.,Ultratop is the name of the official Belgian record charts.,-3.842583179473877
67,The Best Buy version of the album contains two bonus tracks Hold On and an acoustic demo of Hate LRB I Really Do n t Like You RRB.,the album is based on the music of the band s first album lrb o o rrb.,The Best Buy version of the album contains two bonus tracks Hold On and an acoustic demo of Hate LRB I Really Dont Like You RRB.,-4.415011882781982
68,This warning was discontinued within NUMBER hours.,on number february number was stopped by a warning of number mph.,This warning was removed within NUMBER hours.,-6.421003818511963
69,It is the home of the Earl and Countess of Strathmore and Kinghorne and is open to the public.,it is located in the royal park of windsor and the royal court of windsor on the north west of the royal palace and is on the south side of the park.,It is the home of the Earl and Countess of Strathmore and Kinghorne.,-3.6624319553375244
70,Electronic gear used by audiophiles can be bought at specialist shops and websites.,electronic audiophiles are used by many shops and electronic shops such as electronic shops.,Other websites,-3.690945863723755
71,The Rocker is a comedy starring Rainn Wilson Josh Gad Teddy Geiger Emma Stone Christina Applegate and Jason Sudeikis.,the band was formed in april and is the lead singer and best friend john mattei and songwriter matt beckham. they are best known for their comedy comedy comedy pop rock.,Cast,-5.036983966827393
72,To the south of LOCATION are the LOCATION and the You LOCATION.,the location and location are the same as the location.,There is a mineral spring at LOCATION South of LOCATION are the LOCATION and the You LOCATION.,-3.099583148956299
73,After the death of the child king Baldwin V his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort.,after the death of john iv of antioch he took over the throne of antioch and became king of the byzantine empire.,Baldwin V of Jerusalem LRB b. RRB ,-3.9938361644744873
74,Most commonly nihilism is presented in the form of existential nihilism which argues that life is without objective meaning purpose or intrinsic value.,in philosophy philosophy philosophy is about the expression of self expression in a non existentismism. it is considered to be non non existential.,Nihilism is the belief that values are falsely invented. The term nihilism can also be used to describe the idea that life or the world has no distinct meaning or purpose.,-4.371468544006348
75,Marie Antoinette LRB pronounced RRB LRB Vienna November Paris October RRB was an Archduchess of Austria and Queen of France and of Navarre.,anastasia lrb born october rrb was a french princess of france and queen of france of france.,Marie Antoinette LRB born Maria Antonia Josepha Archduchess of Bavaria RRB LRB November in Vienna October in Paris RRB was an Archduchess of Austria and a Queen of France and Navarre.,-4.908272743225098
76,The ORGANIZATION is open to the public.,the organization is open to public public. it is open and open to the public.,The house is open to the public.,-3.0498692989349365
77,Cheese is produced throughout the world in wide ranging flavors textures and forms.,it is made of different kinds of foods grown in the region. it is grown in different regions throughout the world.,Different types of cheese include ,-2.8877792358398438
78,Outward appearance Throughout the series Harry is described as sporting his father s perpetually untidy black hair his mother s bright green eyes and a lightning bolt shaped scar on his forehead.,he is most famous as a young man who looks like a cartoonish figure on his face and has a bright eye on his eyes.,Throughout the entire series Harry sports his father s perpetually untidy black hair his mother s green eyes and a lightning bolt shaped scar on his forehead because of his encounter with Lord Voldemort and round thick eyeglasses.,-3.9509782791137695
79,Billboard LRB Positive RRB link,lrb lrb rrb rrb lrb o rrb,This studio album was released June in the United States June in Australia and on May in Europe.,-4.510117053985596
80,he did his Phd in london. RRB ,he completed his phd in physics from london.,Department of Renewable Energy,-3.1581931114196777
81,NUMBER ndash PERSON French painter and graphic artist LRB d. NUMBER RRB ,person lrb d. number rrb is a french painter.,NUMBER PERSON painter and graphic artist LRB d. NUMBER RRB ,-3.8956449031829834
82,No songs from the album have ever been performed live by Pink Floyd since although Roger Waters has played a number of the songs live on all of his subsequent solo tours starting with his very first such tour promoting The Pros and Cons of Hitchhiking in.,the band has performed live on many of the world s biggest tours of all time and has also performed live live at the same time for many years including the band s live tour of the show.,None of the album s songs has ever been performed live by Pink Floyd though some have been performed live by Waters during solo tours.,-4.102206230163574
83,He then attended the Methodist affiliated Boston University earning an A.B. in and went on to graduate from Boston University School of Law in.,he studied law at the university of virginia and was admitted to the bar in.,In Bates was elected Governor holding office from to.,-3.011396884918213
84,It is the band s only album produced by Rick Rubin.,the album is the first album by the band s studio album. it was released on the album label., LRB The Subliminal Verses RRB is the third studio album by American alternative metal rock band Slipknot.,-3.1998250484466553
85,The dealer shuffles the cards the player on the chair to their right cuts and the dealer deals the appropriate number of cards to the players one at a time beginning with the player to their left.,the players play one card from the deck of each player. the two players play the same cards as the other player.,The deck is then cut and the appropriate number of cards are dealt face down to the players.,-2.999107837677002
86,The ORGANIZATION however turned disarmed soldiers and civilians over to the partisan forces.,the germans were forced to move to the town. they refused to leave.,The ORGANIZATION then turned over a number of them to the partisan forces.,-3.917086362838745
87,They vary in size but are usually not much larger than the areola.,it is very small in size but are smaller than the smaller ones.,They vary in size and are usually not much larger than the persons areola.,-3.2715539932250977
88,The first eyeborg was created in England in by Adam Montandon in collaboration with colourblind artist Neil Harbisson.,in the united kingdom he was the first artist to be awarded a gold medal by the royal academy.,The first eyeborg was made in England in by Adam Montandon in collaboration with colourblind artist Neil Harbisson.,-4.081546306610107
89,PERSON had experienced PERSON s tardiness stage fright and inability to remember lines during production of The Seven Year Itch.,person s treatment of the head was difficult to prevent the treatment of person s head.,PERSON had experienced PERSON s lateness stage fright and inability to remember lines during production of The Seven Year Itch.,-4.9211955070495605
90,The translation table rules established in this fashion are flushed after a short period without new traffic refreshing their state.,the standard rules were changed to use the same system in the use of the current rules.,The translation table rules established in the above way are cleared after a short period without new traffic refreshing their state.,-3.6681060791015625
91,Chess boxing is a hybrid sport which combines the sport of boxing with games of chess in alternating rounds.,chess chess is a sport played in the summer of bc.,Chess boxing is a mixed sport which puts together the sport of boxing with games of chess in every other round.,-4.064589977264404
92,They are rebuilds with reconditioned engines of former Class NUMBER locomotives originally introduced in NUMBER.,in number number locomotives were built from number to number. they were rebuilt in number.,They are rebuilds with new engines of older Class NUMBER locomotives originally introduced in NUMBER.,-3.686650514602661
93,His older brother died in and Charles Emmanuel then became heir apparent.,he was the son of charles iii and his wife died in.,His older brother the Prince of Piedmont died in and then Charles Emmanuel became Heir apparent.,-4.041017055511475
94,It is a successor to the famous World War II Jeep vehicle by way of the Willys civilian Jeep LRB CJ RRB in the s later produced by Kaiser Jeep and by American Motors LRB AMC RRB.,it was built by the british company organization lrb built in by the united states rrb. it was also used by american military vehicles.,It replaced the Jeep CJ which came from the World War II Jeep or Willys MB.,-4.822906494140625
95,PERSON LRB February NUMBER NUMBER September NUMBER NUMBER RRB was an American politician and jurist.,person lrb january number number july number number rrb was an american politician and politician.,PERSON LRB February NUMBER NUMBER September NUMBER NUMBER RRB was an American judge and politician.,-4.954207897186279
96,PERSON illegally entered the ring to enact revenge on Sniper and Recon on behalf of The ORGANIZATION PERSON also illegally entered to eliminate PERSON and so left his partner PERSON.,person s return to the ring was signed by the organization s person to replace person who had left.,PERSON illegally entered the ring to get revenge on Sniper and Recon for The ORGANIZATION PERSON also illegally entered to eliminate PERSON and so his partner PERSON had to leave too.,-4.125017166137695
97,For example some animals can be entrained to a hour day but they can not be entrained to a hour day.,in this way they can be set off for a day if they are not able to shift into a set time.,Some animals can be entrained to a hour day but they can not be entrained to a hour day.,-3.453338861465454
98,Pooh admits that this may happen but asks her to think about what will happen to Michael if she does n t tell.,he says that if if you think think that the doctor will think it it would be to say that if the doctor does not think it will not happen.,Pooh admits that this may happen but asks her to think about what will happen to Michael if she does not tell.,-4.24620246887207
99,Porter Theodore M. LRB O O RRB Trust in Numbers The Pursuit of Objectivity in Science and Public Life Princeton University Press.,in mathematics the princeton university press lrb o. o. rrb is a book published by the university of cambridge in.,Porter Theodore M. LRB O O RRB Trust in Numbers The Pursuit of Objectivity in Science and Public Life Princeton University Press ,-5.030676364898682
100,Gene Simmons is a solo album from the bass player and singer of American hard rock band Kiss.,he is the lead singer of the american heavy metal band kiss.,Gene Simmons is a solo album by Gene Simmons the bass player of the American hard rock heavy metal band Kiss.,-3.337770462036133
101,The Maya cities of the northern lowlands in Yucat n continued to flourish for centuries more some of the important sites in this era were Chichen Itza Uxmal Edzn and Coba.,in the mayan maya maya had a population of thousands of people living in the region.,Some of the important sites in this era were Chichen Itza Uxmal Edzn and Coba.,-3.697969675064087
102,PERSON has outlined us the road to the freedom And great PERSON is leading us through it.,person says that person is the leader of the world. it is the way to make it.,Through tempests shined on us the sun of freedom And the great PERSON lit us the way.,-3.5023059844970703
103,There is a lot of data O. that will take up a lot of space.,it is a huge amount of space space that is needed for a large volume of space.,If there is a lot of data it will take up a lot of space.,-3.4323570728302
104,Encino LRB Spanish for evergreen or holm oak RRB is a hilly district of the City of Los Angeles California United States.,it is a city of los angeles california in the united states.,Encino California is a district of Los Angeles.,-3.968143939971924
105,PERSON the protagonist of her novel was a bohemian.,person was a bohemian bohemian writer and a writer.,PERSON the protagonist of PERSON s novel was a bohemian.,-2.5179355144500732
106,Karl Marginson,bretton was elected to the senate in.,FC,-5.1573967933654785
107,Perm LRB Gramota.,gram gram gramm is a gram gram.,Perm,-6.1642560958862305
108,After escaping from slavery into which she was born she made thirteen missions to rescue more than slaves using the network of antislavery activists and safe houses known as the Underground Railroad.,she was brought into the organization as a child of the united states government and led the organization to establish the organization in location.,She used the help of the Underground Railroad.,-4.3840813636779785
109,His famous setting of It was a lover and his lass from As You Like It has never been established as having been used in a performance of Shakespeare s play though the possibility that it was is obvious.,in it was written by shakespeare. it was said that the play was written in a play by shakespeare in the time of shakespeare s time.,We do not know whether the two men worked together but Morley did set Shakespeare s words It was a lover and his lass from As You Like It.,-3.4845852851867676
110,A derived binary relation between two sets is the subset relation also called set inclusion.,a set of set sets is a set set of sets set set set sets.,A binary relation between two sets is the subset relation also called set inclusion.,-3.564718008041382
111,Asperger syndrome is also called Asperger s syndrome LRB AS RRB Asperger LRB or Asperger s RRB disorder LRB AD RRB or just Asperger s.,as per perl lrb lrb o o rrb aspert rrb is a german stage actor who was born in lrb aster rrb lrb rrb.,For a person with Asperger syndrome having Asperger syndrome is normal because they have had it all their life.,-5.731475353240967
112,Oulens sous Echallens,villers is a commune. it is located in the valais department in the north of france.,Poliez Pittet,-3.8125503063201904
113,As of Jyv skyl had a population of.,it was estimated to be a city and was estimated as of as of.,There are about NUMBER inhabitants in Jyv skyl. The ORGANIZATION skyl is popular and respected.,-4.187234878540039
114,Barbara Pierce Bush was born at Baylor University Medical Center in Dallas Texas.,she was born in dallas texas texas.,Barbara Pierce Bush was born November at Baylor University Medical Center in Texas.,-3.6639277935028076
115,He won only games while appearing in out of Boston s games which was the only time he missed games as a member of the Bruins.,in number he played for the boston bruins in the game of the first half of the season.,In the games he played Thompson won only.,-3.917558193206787
116,The memorial is managed by the ORGANIZATION which was established as per the Jallianwala Bagh National Memorial Act passed by the Government of LOCATION in NUMBER.,in number the government of location was set up by the resolution of location in number. it was signed by the state government in number by the organization of pakistan.,The memorial is managed by ORGANIZATION which was established as per Jallianwala Bagh National Memorial Act passed by Government of LOCATION in year NUMBER.,-4.119910717010498
117,Lourmarin is a commune in the LOCATION department in the Provence Alpes C te d Azur region in southeastern LOCATION.,it is found in the region provence alpes c te d azur in the location department in the south of location.,Lourmarin is a commune of NUMBER people LRB NUMBER RRB. It is located in the region Provence Alpes C te d Azur in the LOCATION department in the south of LOCATION.,-3.49426531791687
118,It lies west southwest of Bristol north of Plymouth and northwest of the county town of Exeter.,it is located around the town of plymouth on the west of the county of devon.,It is found west southwest of Bristol north of Plymouth and northwest of the county town of Exeter.,-3.413027763366699
119,The four yellow arrows symbolize the native nations of LOCATION whereas their pointing into the four cardinal directions of the compass stands for the centralized emanating political power of LOCATION as the capital of the country.,the colors of the city are the colors representing the nation of location and the location of location.,The four yellow arrows are for the native people of LOCATION.,-3.654048442840576
120,After the fall of Saipan the Japanese high command predicted that the Allies would try to capture the Philippines which were strategically important because of their location between the oilfields of Southeast Asia and Japan.,in the early s the japanese forces attacked the oil fields of the central asian coast. the japanese did not stop the japanese invasion of location.,After the fall of Saipan the Japanese commanders knew that the Allies would try to capture the Philippines next. The Philippines were very important because they were located between the oil fields of Southeast Asia and Japan.,-4.492340564727783
