source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,they are named after the german shepherd person lrb also called person rrb. they are also known as the person or person.,The Pomeranian is a dog from LOCATION LRB in LOCATION and LOCATION RRB.,13,0.54807747,0.998644888,-4.271508217,0.599540273,0.077601641,-3.130821705
Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,when he was six he began singing lessons and singing lessons at the age of four.,Henryk started to learn the piano from his mother when he was five.,14,0.464796856,0.948086977,-3.262038469,0.840130383,0.999315143,-3.533702374
a.k.a. Pro Player Park LRB RRB ,park park park lrb park rrb,The ORGANIZATION are a ORGANIZATION team in LOCATION LOCATION.,15,0.72245883,0.622582912,-4.984122276,0.814329445,0.003990107,-4.749712944
He published partial research results in a NUMBER book.,he published a number number papers in number.,He published some of his research in a NUMBER book.,16,0.717516732,0.217763782,-4.741940022,0.932265382,0.960930467,-1.973982692
PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person lrb number september number number rrb was a spanish writer and poet. he lived in location.,PERSON y Santib ez PERSON LRB LOCATION September NUMBER NUMBER Villanueva de los ORGANIZATION September NUMBER NUMBER RRB was a nobleman politician and writer of the Spanish Golden Age.,17,0.429529021,0.989108026,-4.678182602,0.90112403,0,-1.256550193
He currently plays for the Japanese team Yokohama F. Marinos.,he plays for japan national team. he currently plays for yokohama marinos.,Tetsuya Enomoto LRB born May RRB is a Japanese football player.,18,0.909743428,0.82910347,-3.202215195,0.434431612,0.0010694,-4.625374317
More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,in the future the organization will help the organization keep the weight of the organization and keeps the organization safe.,There were NUMBER American military people but now there are about NUMBER.,19,0.597171014,0.998444498,-3.734293461,0.810003154,0.000448974,-4.351177692
In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,in modern usage the term is used to describe a group of philosophers such as person and person who have been called the phenomists.,In modern usage sophism sophist and sophistry are derogatory terms due the influence of many philosophers in the past LRB sophism and platonism were enemy schools RRB.,20,0.876088262,0.999819636,-3.202694416,0.93265272,0.771986604,-3.585757494
Cadmium iodide CdI is a chemical compound of cadmium and iodine.,it is a chemical compound. it is used as a lead metal compound. this chemical compound is a metal.,Cadmium iodide is a chemical compound. Its chemical formula is CdI.,21,0.782194972,0.003928,-3.079882622,0.588149812,0.99969548,-1.563486576
In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,in wrestling lrb also known as tag team lrb tag team rrb is a group of tag team matches that are one or more in one or two or more teams.,In professional wrestling a tag team is a team of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,22,0.84773483,0.999880195,-3.679679155,0.978569377,0.996141553,-0.572063684
One day when the pianist failed to arrive by show time PERSON took his place.,when person returned to location he failed to arrive at the location show. person did not appear.,One day when the pianist did not arrive in time for the show PERSON played instead.,23,0.854647517,0.963897526,-4.769662857,0.364045211,0.999858022,-2.205153465
His replacement was PERSON leaving the band with the line up they retain.,person later joined the band as a replacement for person who had left the band.,PERSON was his replacement.,24,0.869887352,0.999896884,-2.788722515,0.804654373,0.970143616,-3.209986448
According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,organization number number person lrb number rrb person s most famous movie was the organization s creation of a ball.,Instead he started his own barnstorming team the ORGANIZATION.,25,0.528667034,0.928035617,-6.192513466,0.549414851,0.002853866,-4.119181156
He bled to death after about an hour.,he died at the end of his life and was buried dead.,Fechter bled to death after about an hour.,26,0.87276119,0.005703501,-3.536312103,0.953162645,0.906031251,-2.967683554
The first inhabitants settled in the territory of today s Ain about B.C..,after the discovery of the inhabitants of the ain valley started living in the area of today.,The first inhabitants of the Ain arrived around B.C..,27,0.848341107,0.99988091,-3.737192869,0.889965713,0.997722447,-1.135902405
Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in it won an academy award for best original play in the united states and the american academy award in the category of drama.,It won many awards including the Emmy Award for outstanding drama series in and best American import at the British Academy Television Awards also in.,28,0.262028938,0.996231616,-3.863786697,0.533175106,0.999532044,-2.112386942
The track s reputation improved so much the Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION s PERSON of the NUMBER drivers at the time raced in the NUMBER.,the organization lrb number number rrb was a formula one formula one race held at the organization in location location. it was one of the number formula one races in location.,The Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB. None of the regular Indy drivers raced in Formula One.,29,0.502401058,0.708545864,-4.662176132,0.894246542,0,-0.836595297
The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,they are the company of the famous american television series of the late s. they were made by the company company of japan.,The animated series is produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,30,0.772152818,0.060381874,-4.842944145,0.936155744,0.928939044,-1.183229208
Wartburgkreis is a PERSON LRB district RRB in the west of LOCATION LOCATION.,person lrb rrb is a town in the district of location in the west of location location.,Wartburgkreis is a Landkreis LRB rural district RRB in the west of LOCATION LOCATION.,31,0.84455514,0.441510022,-4.061146736,0.712776749,0.999497294,-2.409605265
For example many different things can be red.,they can also be colored as black or red.,For example many different things can be the color red.,32,0.783829653,0.98917228,-3.088595152,0.946053664,0.887124717,-2.110282183
Afrodisiac is the fourth studio album by American singer Brandy released by Atlantic Records on June on most international territories and on June LRB see in music RRB in Canada and the United States.,it was released in canada on june in canada and on the united states.,Afrodisiac is the fourth studio album by American R B O pop singer Brandy released by Atlantic Records on June outside North America and on June LRB see in music RRB in Canada and the United States.,33,0.275654721,0.770506561,-4.249530792,0.831605734,0.989257634,-1.932198048
Early life PERSON was born on NUMBER June NUMBER at LOCATION in LOCATION LOCATION.,person was born on june number number in location location.,PERSON was born in LOCATION LOCATION LOCATION.,34,0.61063661,0.855927408,-3.399441481,0.746839776,0.553991437,-2.050712824
The second place rider PERSON became the race s official winner.,the person won the race and person became the first person to win the race. person was named the first team of the season.,As PERSON forfeited his Tour title the second place rider PERSON became the race s official winner.,35,0.866563737,0.999422371,-3.516298294,0.811640508,0.571451128,-2.572869062
Northampton Town Football Club LRB RRB LRB often simply known as Northampton or by their nickname The Cobblers after the local shoemaking industry RRB are an English professional football club based in Northampton Northamptonshire.,the county cricket club is a football club which plays in the county premier league in england.,Northampton Town F.C. is an English football club.,36,0.317680677,0.746305883,-3.801596403,0.366586042,0.993404567,-2.058280945
Rawson E. Cicero a portrait LRB O O RRB p. Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin thus translating Greek philosophical works for a larger audience.,he wrote an essay on greek philosophy lrb greek latin latin translation rrb as a study of greek philosophy and latin as a critique of latin philosophy.,Works by Cicero,37,0.559353675,0.998544812,-4.537555218,0.754073565,0.467625052,-3.699230909
The importance of such industry is still seen in the town in the present day in companies such as LOCATION and PERSON.,the town has been in the history of the location in the time of person.,Companies such as LOCATION and PERSON are still based in the town.,38,0.500539923,0.171248034,-3.500998497,0.876345372,0.783322513,-1.562454462
In February an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,in a study of a group of zoologist volunteers told the researchers that they found a species of camels in the region held by the indonesia s unscilaterales.,In February of an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,39,0.599706046,0.999903738,-4.850308895,0.985725386,0.964732826,-0.847971916
A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich fluid seepage occurs often in the form of a brine pool.,the waterhole lrb also called hot water lake rrb is a type of hydrothermal vent that is filled with water and water from the interior of the ocean.,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich liquids leak out of the Earth s crust often in the form of a brine pool.,40,0.65172171,0.999730825,-3.925652027,0.759586561,0.999907374,-1.154722095
As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and hence decode the original data.,the result of the original algorithm is that the original data is retrieved from the original source and the resulting result is not available as the original original information is retrieved.,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and decode the original data.,41,0.841641188,0.023135468,-3.219033718,0.940689143,0.994577587,-0.821546972
The Retezat Mountains have many glacial lakes including the largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB which covers. ha and is situated at an altitude of metres.,the lake is a lake in the location province of romania. it is one of the largest lakes in the world.,The Retezat Mountains have many glacial lakes. The largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB is in these mountains.,42,0.436975624,0.997569919,-3.179089546,0.912024451,0.953088641,-1.129411697
They were at first inspired by The Beatles and other sixties pop groups like The Kinks.,they were inspired by the beatles and the beatles. they were influenced by the bands punk rock and punk bands.,They were at first inspired by The Beatles and other typical sixties pop groups like The Kinks.,43,0.875860214,0.999013186,-3.254880428,0.974747998,0.90898329,-1.273530841
The idea of holding a Pan American Games grew from the Central American Games which were first organized in the s.,the first olympic games were held in the location. the first was organized in.,From that time the Games are held every four years.,44,0.593936886,0.813152373,-3.897506237,0.856195748,0.001162919,-3.61717248
The actual confidence interval is calculated by entering the measured masses in the formula.,the formula is usually calculated using the formula which is calculated from the data taken from the measurement. the calculated formula is then known as the confidence in.,The actual confidence interval is calculated by entering the measured weights in the formula.,45,0.879785597,0.593945742,-3.520623684,0.975240182,0.60090822,-1.409884453
If the lock does n t open it means they ve counted wrong and they can go back and correct their mistakes.,if you do not get back to the correct time they do not try to do n t and if they do it n t do it.,If the lock does n t open it means they ve counted wrong and they can go back and fix their mistakes.,46,0.784761654,0.71637243,-3.8488729,0.960330947,0.819880247,-1.080959439
In addition to writing all six Rocky films PERSON also wrote Cobra Driven and Rambo.,person and person wrote the screenplay for the movie starring person. person was also credited in the screenplay.,PERSON wrote all six Rocky films He also wrote Cobra Driven and Rambo.,47,0.828590512,0.013978918,-4.761356831,0.942043393,0.878669262,-1.459582925
Edinho real name Edino Nazareth Filho LRB born June in Rio de Janeiro RRB was a football LRB soccer RRB player from Brazil.,lininho lrb born july rrb is a former brazilian football player.,Edino Nazareth Filho LRB born June RRB is a former Brazilian football player.,48,0.434617267,0.999778628,-4.771477699,0.578680594,0.999929965,-1.664640188
PERSON the sensible and reserved eldest daughter of Mr. and Mrs. PERSON.,person is the eldest daughter of person and the second oldest daughter of the person.,PERSON the youngest daughter of Mr. and Mrs. PERSON.,49,0.831365585,0.777675509,-2.855337381,0.921652839,0.854435325,-1.962599158
He has reported for Independent Television News LRB ITN RRB.,he has written for the bbc on the bbc.,He has reported for Independent Television News.,50,0.522773035,0.504065573,-4.929238319,0.856301645,0.990297496,-2.189986944
LOCATION is a chemical element with the symbol Sg and atomic number NUMBER.,location is a number number atomic number symbol or number.,It has the symbol ORGANIZATION. It has the atomic number NUMBER.,51,0.627164493,0.416670471,-4.05626297,0.367688131,0.428269327,-2.247334242
 There is her little Balochi style face with pouting lips and insolent look in the eyes.,she likes her hair and her hair in front of her face. she wears a white hat and a red hat., There is her... pouting lips and insolent look in the eyes.,52,0.834429741,0.766362548,-3.423462868,0.910487463,0.988232136,-2.184520483
For example if the frequency of an allele is in a given population then among population members one in five chromosomes will carry that allele.,if there is one of the above numbers there may be one of them. this is because there is more than one single of the chromosomes in an organism that has two chromosomes.,Allele frequencies may be used to describe genetic diversity in a population. If the frequency of any allele is above it is probable that natural selection is maintaining it at this level.,53,0.836329043,0.852314591,-3.550776243,0.809833669,0.655936122,-3.306137085
A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work while varying pressure temperature and other state variables eventually returning a system to its initial state.,thermodynamic equilibrium is the transfer of heat and heat from a system of two processes to the same time.,A thermodynamic cycle is a series of thermodynamic processes which returns a system to its initial state.,54,0.429496147,0.999175847,-3.216977835,0.8854441,0.998562753,-1.586438417
Her real name was Maria Jansson but she is known in history as Kisamor LRB The Mother in Kisa RRB after the place were she worked.,she is most famous for her work in the location. she was the daughter of person lrb person rrb.,Her real name was Maria Jansson but she was always called Kisamor.,55,0.596591587,0.999836385,-4.42348671,0.874874064,0.999736428,-1.543299556
She later held the title of Duchess of Teck by marriage.,she became the wife of the duke of torgo.,She later married the Duke of Teck.,56,0.636646247,0.994355023,-3.885656357,0.898909912,0.868303597,-2.673134327
Texas A M University often referred to as A M or TAMU is a coeducational public research university located in College Station Texas. It is the flagship institution of the Texas A M University System.,a university is a public university in dallas texas.,Texas A M University is a public university in College Station Texas.,57,0.20866598,0.922911048,-3.805755138,0.333621774,0.992463231,-1.462690353
Dikes are mostly built using locally available materials and each has its own risk factor sand is prone to collapse due to oversaturation by water while dry peat is lighter than water making the barrier potentially unstable in very dry seasons.,however it is not possible to be wet enough to keep the water from being wet but it can be made by adding mud and sand to the sand so that it can not be wet.,Availability of sand ,58,0.525945959,0.791027904,-3.911186934,0.765283457,0.659072101,-6.872545242
Italy purchased the city in and made Mogadishu the capital of Italian Somaliland.,in the late s the city became independent and became part of the somaliland.,Italy bought the city in. They made Mogadiscio LRB Italian for Mogadishu RRB the capital of Italian Somaliland.,59,0.803994514,0.995194137,-4.383750916,0.917619892,0.996852696,-3.914541483
Maquoketa LRB RRB is a city in Jackson county in the U.S. state of Iowa.,makah is a city in the u. s. state of iowa.,Maquoketa is a city of Iowa in the United States.,60,0.475746608,0.744263351,-3.512091875,0.540523246,0.419890583,-2.492396832
Many civilians and military officers living or stationed in LOCATION and the LOCATION moved to LOCATION LOCATION and other cities of LOCATION LOCATION and LOCATION as well as LOCATION.,many people from location location and location were moved to location to location. they moved to the location.,Many civilians and military officers in LOCATION and the LOCATION moved to LOCATION and other surrounding areas of LOCATION LOCATION and LOCATION.,61,0.518477542,0.693942666,-3.628722906,0.922520098,0.998697758,-1.563711762
Billericay LRB RRB is a small commuter town in Essex England with a population of.,it is an area of about. km lrb approximately. km rrb.,The,62,0.512568802,0.008570226,-5.718194485,0.345801702,0,-5.380001068
PERSON LRB b. ORGANIZATION NUMBER November NUMBER d. LOCATION NUMBER July NUMBER RRB was a famous german composer and organist.,person lrb died number june number died location died number october number rrb was a german organist and organist.,PERSON LRB born ORGANIZATION NUMBER November NUMBER died LOCATION NUMBER July NUMBER RRB was a famous German composer and organist.,63,0.766952261,0.577076018,-5.247202873,0.861390399,0.995329857,-1.631710052
Kluisbergen is a municipality located in the Belgian province of East Flanders.,it is located in the belgian province of west flanders.,It is located at North East.,64,0.576213568,0.677411735,-4.21485424,0.742496029,0.000510076,-5.437754154
Ian Russell McEwan CBE FRSA FRSL LRB born June RRB is an English novelist and screenwriter and one of Britain s most highly regarded writers.,john russell russell lrb born july rrb is an english writer and author. he is best known for his writing of history and politics.,Ian Russell McEwan CBE FRSA FRSL LRB born June RRB is an English novelist LRB sometimes nicknamed Ian Macabre because of the nature of his early work RRB.,65,0.730051167,0.999472141,-3.840173006,0.469892129,0.99949491,-2.79337883
Ultratop is the official Belgian record charts.,the uk is the most popular chart chart in the united kingdom.,Ultratop is the name of the official Belgian record charts.,66,0.829150677,0.013006411,-4.510547161,0.942797589,0.59935528,-3.064779758
The Best Buy version of the album contains two bonus tracks Hold On and an acoustic demo of Hate LRB I Really Do n t Like You RRB.,the album contains a cover of the song lrb o rrb and a new version of your enemy lrb you know rrb.,The Best Buy version of the album contains two bonus tracks Hold On and an acoustic demo of Hate LRB I Really Dont Like You RRB.,67,0.642182922,0.999687612,-4.368254662,0.782020602,0.99982059,-0.731103897
This warning was discontinued within NUMBER hours.,it was also reported that the storm had been reported as being over number hours before number am.,This warning was removed within NUMBER hours.,68,0.834378123,0.002947906,-5.349421978,0.954383018,0.340440571,-2.052031994
It is the home of the Earl and Countess of Strathmore and Kinghorne and is open to the public.,it is the home of the prince of wales and st george i of england.,It is the home of the Earl and Countess of Strathmore and Kinghorne.,69,0.560905439,0.001200568,-4.165981293,0.931756638,0.99755162,-0.803741813
Electronic gear used by audiophiles can be bought at specialist shops and websites.,audiophiles can use audiophile audio equipment to sell their audio recordings. they can also be bought by shops.,Other websites,70,0.889181077,0.999699414,-3.538069487,0.555711499,0.000608865,-7.3359828
The Rocker is a comedy starring Rainn Wilson Josh Gad Teddy Geiger Emma Stone Christina Applegate and Jason Sudeikis.,the band is famous for their success with the hippie boy band elisha geiger starring elisha bainis and michael jordan.,Cast,71,0.775123239,0.999368072,-5.589667797,0.547682012,0,-7.186322689
To the south of LOCATION are the LOCATION and the You LOCATION.,the location and location are the location of location.,There is a mineral spring at LOCATION South of LOCATION are the LOCATION and the You LOCATION.,72,0.756203982,0.466868103,-3.786309004,0.940665308,0.641026199,-2.066406727
After the death of the child king Baldwin V his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort.,he is believed to be the son of king henry iv of jerusalem and queen constance of sicily.,Baldwin V of Jerusalem LRB b. RRB ,73,0.448847076,0.548584163,-4.127346992,0.757249974,0.004732346,-4.79997921
Most commonly nihilism is presented in the form of existential nihilism which argues that life is without objective meaning purpose or intrinsic value.,nihilism is a philosophy which describes the existence of selfless selfless experiences without meaning.,Nihilism is the belief that values are falsely invented. The term nihilism can also be used to describe the idea that life or the world has no distinct meaning or purpose.,74,0.584182698,0.9998101,-2.720602989,0.869994979,0.999875188,-2.789824247
Marie Antoinette LRB pronounced RRB LRB Vienna November Paris October RRB was an Archduchess of Austria and Queen of France and of Navarre.,she was a member of the house of medici lrb april october rrb and queen of austria rrb.,Marie Antoinette LRB born Maria Antonia Josepha Archduchess of Bavaria RRB LRB November in Vienna October in Paris RRB was an Archduchess of Austria and a Queen of France and Navarre.,75,0.492724984,0.999570847,-4.877399445,0.773364544,0.999895751,-2.11835742
The ORGANIZATION is open to the public.,the organization is open to all members of the organization.,The house is open to the public.,76,0.877483189,0.349050403,-2.820040226,0.870997982,0.513064504,-2.571825743
Cheese is produced throughout the world in wide ranging flavors textures and forms.,it is made of many different kinds of cheese and is made in many countries.,Different types of cheese include ,77,0.768613923,0.999737024,-2.537351608,0.772913297,0.465005904,-5.210314274
Outward appearance Throughout the series Harry is described as sporting his father s perpetually untidy black hair his mother s bright green eyes and a lightning bolt shaped scar on his forehead.,he is often seen with a bright red hair and a long red hair on his forehead.,Throughout the entire series Harry sports his father s perpetually untidy black hair his mother s green eyes and a lightning bolt shaped scar on his forehead because of his encounter with Lord Voldemort and round thick eyeglasses.,78,0.322981003,0.428666651,-3.344832897,0.819350216,0.999892712,-2.441000462
Billboard LRB Positive RRB link,positive reviews lrb o o o rrb,This studio album was released June in the United States June in Australia and on May in Europe.,79,0.824304204,0.14618285,-7.351182938,0.80093056,0.001032685,-4.322354317
he did his Phd in london. RRB ,he graduated from the royal college of london in.,Department of Renewable Energy,80,0.851696372,0.998344064,-3.456445217,0.61101187,0.008526793,-5.06714201
NUMBER ndash PERSON French painter and graphic artist LRB d. NUMBER RRB ,person lrb born number october number rrb is a french painter and painter.,NUMBER PERSON painter and graphic artist LRB d. NUMBER RRB ,81,0.841589153,0.980625451,-5.547791481,0.825710835,0.906741798,-1.402586579
No songs from the album have ever been performed live by Pink Floyd since although Roger Waters has played a number of the songs live on all of his subsequent solo tours starting with his very first such tour promoting The Pros and Cons of Hitchhiking in.,the song has also been used in some of the tours of the band s tours.,None of the album s songs has ever been performed live by Pink Floyd though some have been performed live by Waters during solo tours.,82,0.224700984,0.005435682,-3.954822779,0.739369651,0.999714553,-2.201273203
He then attended the Methodist affiliated Boston University earning an A.B. in and went on to graduate from Boston University School of Law in.,he went to harvard university where he studied law at the university of massachusetts where he was admitted to the bar in.,In Bates was elected Governor holding office from to.,83,0.727493624,0.999713123,-3.367765903,0.357477712,0.000665477,-4.639742374
It is the band s only album produced by Rick Rubin.,it was the second album by the band rick rick rick rubins., LRB The Subliminal Verses RRB is the third studio album by American alternative metal rock band Slipknot.,84,0.872562289,0.520317554,-4.150537968,0.817916464,0.001810254,-4.907991886
The dealer shuffles the cards the player on the chair to their right cuts and the dealer deals the appropriate number of cards to the players one at a time beginning with the player to their left.,the players leave the game at the end of the game with the player who plays the cards with the players.,The deck is then cut and the appropriate number of cards are dealt face down to the players.,85,0.439512257,0.975871563,-3.420060873,0.623166365,0.999849021,-2.701326132
The ORGANIZATION however turned disarmed soldiers and civilians over to the partisan forces.,the remnants of the militia were forced to leave the city and the remnants were expelled.,The ORGANIZATION then turned over a number of them to the partisan forces.,86,0.805443021,0.887148082,-3.771426439,0.797476795,0.995332122,-2.532021999
They vary in size but are usually not much larger than the areola.,they are usually smaller than the rest of the body but are smaller in size.,They vary in size and are usually not much larger than the persons areola.,87,0.875890911,0.870684981,-2.649325371,0.674600767,0.841324985,-1.894640446
The first eyeborg was created in England in by Adam Montandon in collaboration with colourblind artist Neil Harbisson.,in the first edition of the blindfolded mirror was made by chris bruggett in. it was first shown in the uk in in.,The first eyeborg was made in England in by Adam Montandon in collaboration with colourblind artist Neil Harbisson.,88,0.788143571,0.997835755,-4.536845684,0.688592703,0.950813472,-0.862324953
PERSON had experienced PERSON s tardiness stage fright and inability to remember lines during production of The Seven Year Itch.,person s performance was poor and person was badly hurt during the filming of location. person s voice was poor.,PERSON had experienced PERSON s lateness stage fright and inability to remember lines during production of The Seven Year Itch.,89,0.726909056,0.06222688,-4.180089951,0.957405012,0.923560858,-1.332830906
The translation table rules established in this fashion are flushed after a short period without new traffic refreshing their state.,the rules are generally simple when the user must change their paddles and change their behavior.,The translation table rules established in the above way are cleared after a short period without new traffic refreshing their state.,90,0.623141302,0.001594922,-4.864972115,0.967502434,0.870657027,-1.775660872
Chess boxing is a hybrid sport which combines the sport of boxing with games of chess in alternating rounds.,chess is a sport which consists of chess boxing boxing and boxing.,Chess boxing is a mixed sport which puts together the sport of boxing with games of chess in every other round.,91,0.535051432,0.991576493,-3.198726416,0.885104032,0.999757826,-2.234913588
They are rebuilds with reconditioned engines of former Class NUMBER locomotives originally introduced in NUMBER.,they are now made of new stock stock number. they were rebuilt in number.,They are rebuilds with new engines of older Class NUMBER locomotives originally introduced in NUMBER.,92,0.526080219,0.596188545,-4.588337421,0.922465951,0.85019505,-1.746250987
His older brother died in and Charles Emmanuel then became heir apparent.,he was born in and died when charles ii died.,His older brother the Prince of Piedmont died in and then Charles Emmanuel became Heir apparent.,93,0.515904349,0.987391949,-4.733261108,0.946775664,0.637279809,-2.606327534
It is a successor to the famous World War II Jeep vehicle by way of the Willys civilian Jeep LRB CJ RRB in the s later produced by Kaiser Jeep and by American Motors LRB AMC RRB.,the jeep minivan is a minivan produced by the american american motors company from to.,It replaced the Jeep CJ which came from the World War II Jeep or Willys MB.,94,0.39779072,0.995978236,-4.092206001,0.829063155,0.999891877,-3.51062727
