source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty,dae_score_pred,bart_score_pred,bert_precision_gold_with_brevity_penalty,dae_score_gold,bart_score_gold
LOCATION LRB RRB is a commune in the Nord department in northern LOCATION.,location is a city of location in location.,LOCATION is twinned with ,11,0.477204295,0.000505498,-4.462436676,0.316167419,0.01888036,-3.464788198
In computing a serial port is a serial communication physical interface through which information transfers in or out one bit at a time LRB contrast parallel port RRB.,a serial transmission is the transmission of a serial port. it is used to transfer data between computers.,In computing a serial port is a serial communication physical interface through which information transfers either in or out one bit at a time LRB in contrast with parallel port RRB.,12,0.557121363,0.97981286,-3.123027563,0.669161246,0.997556448,-1.368359447
It has been determined by the ORGANIZATION to be part of the German Spitz breed and in many countries they are known as the Zwergspitz LRB Dwarf Spitz RRB or Toy German PERSON.,the location is a breed of dog from location.,The Pomeranian is a dog from LOCATION LRB in LOCATION and LOCATION RRB.,13,0.211411943,0.003432217,-4.623717785,0.599540273,0.077601641,-3.130821705
Henryk started piano and harmony training with his mother when he was and at age turned to the violin receiving instruction from Maurice Frenkel.,he was born in location. he was the youngest child of the family when he was six.,Henryk started to learn the piano from his mother when he was five.,14,0.482195624,0.001400054,-3.686048985,0.840130383,0.999315143,-3.533702374
a.k.a. Pro Player Park LRB RRB ,the organization are a team in the organization in location.,The ORGANIZATION are a ORGANIZATION team in LOCATION LOCATION.,15,0.858766019,0.005596219,-5.71139431,0.814329445,0.003990107,-4.749712944
He published partial research results in a NUMBER book.,he published several books in the field of history and in number.,He published some of his research in a NUMBER book.,16,0.935288727,0.968606889,-3.825478315,0.932265382,0.960930467,-1.973982692
PERSON y Santib ez PERSON LRB LOCATION NUMBER September NUMBER Villanueva de los ORGANIZATION NUMBER September NUMBER RRB was a nobleman politician and writer of the Baroque era.,person lrb born december number number rrb was a spanish writer and poet.,PERSON y Santib ez PERSON LRB LOCATION September NUMBER NUMBER Villanueva de los ORGANIZATION September NUMBER NUMBER RRB was a nobleman politician and writer of the Spanish Golden Age.,17,0.391512144,0.927245736,-5.388468266,0.90112403,0,-1.256550193
He currently plays for the Japanese team Yokohama F. Marinos.,he is also an honorary doctor of arts from the japanese national football team.,Tetsuya Enomoto LRB born May RRB is a Japanese football player.,18,0.936275601,0.001539687,-3.698612452,0.434431612,0.0010694,-4.625374317
More decreases are planned in the future as the LOCATION hands over more and more of the security responsibility for defending the LOCATION to the Military of the ORGANIZATION.,in number there were number people who were americans.,There were NUMBER American military people but now there are about NUMBER.,19,0.298294024,8.48E-05,-5.452550888,0.810003154,0.000448974,-4.351177692
In modern usage sophism sophist and sophistry are derogatory terms due to the influence of many past philosophers.,the platonic school of philosophy is a type of philosophy which is thought to be too platonists or social sciences.,In modern usage sophism sophist and sophistry are derogatory terms due the influence of many philosophers in the past LRB sophism and platonism were enemy schools RRB.,20,0.942458451,0.999098718,-3.986911535,0.93265272,0.771986604,-3.585757494
Cadmium iodide CdI is a chemical compound of cadmium and iodine.,it is found in the chemical formula ca. it is the chemical compound of sulfur.,Cadmium iodide is a chemical compound. Its chemical formula is CdI.,21,0.953760803,0.718885958,-3.456010818,0.588149812,0.99969548,-1.563486576
In professional wrestling a tag team consists of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,they are a team of wrestlers lrb or teams rrb.,In professional wrestling a tag team is a team of two wrestlers who are working together as a team LRB more than two is called a stable RRB.,22,0.318825036,0.996171892,-3.816133261,0.978569377,0.996141553,-0.572063684
One day when the pianist failed to arrive by show time PERSON took his place.,person played the piano when he was playing.,One day when the pianist did not arrive in time for the show PERSON played instead.,23,0.552191053,0.232408717,-3.671783447,0.364045211,0.999858022,-2.205153465
His replacement was PERSON leaving the band with the line up they retain.,person was replaced by person. person became the replacement for person and person became person.,PERSON was his replacement.,24,0.970201731,0.028805308,-4.637567043,0.804654373,0.970143616,-3.209986448
According to the movie ORGANIZATION Six Decades of Magic LRB O O RRB ORGANIZATION Six Decades of Magic LRB O O RRB PERSON could dribble the ball as many as six times a second.,he started the organization in number and he started a team called the organization.,Instead he started his own barnstorming team the ORGANIZATION.,25,0.443871632,0.003066266,-4.842487812,0.549414851,0.002853866,-4.119181156
He bled to death after about an hour.,after the last minutes of the match person collapsed and died.,Fechter bled to death after about an hour.,26,0.969345272,0.724621117,-4.682373047,0.953162645,0.906031251,-2.967683554
The first inhabitants settled in the territory of today s Ain about B.C..,the inhabitants of the area were converted to christianity in the th century.,The first inhabitants of the Ain arrived around B.C..,27,0.96579361,0.008639731,-3.369919777,0.889965713,0.997722447,-1.135902405
Lost was the recipient of hundreds of US award nominations throughout its run and won numerous industry awards including the Emmy Award for US primetime Outstanding Drama Series in Best American Import at the British Academy Television Awards in the Hollywood Foreign Press Association Golden Globe Award for Best Drama in and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.,in it won an emmy award for best television drama in the united kingdom and the academy award in the category british television drama.,It won many awards including the Emmy Award for outstanding drama series in and best American import at the British Academy Television Awards also in.,28,0.317939371,0.999602199,-3.941037655,0.533175106,0.999532044,-2.112386942
The track s reputation improved so much the Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB even though none of the Indy drivers raced in Formula One and only ORGANIZATION s PERSON of the NUMBER drivers at the time raced in the NUMBER.,the number grand prix was a race held at location in the location.,The Mile Race became part of the Formula One World Championship for NUMBER years LRB NUMBER NUMBER RRB. None of the regular Indy drivers raced in Formula One.,29,0.195963497,0.744801521,-4.466761589,0.894246542,0,-0.836595297
The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,the animated series is a animated television series produced by organization for the united states.,The animated series is produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,30,0.730168403,0.060072109,-4.19366169,0.936155744,0.928939044,-1.183229208
Wartburgkreis is a PERSON LRB district RRB in the west of LOCATION LOCATION.,it is bordered by location lrb location rrb in the west rrb lrb rheinwald rrb by the german state of location.,Wartburgkreis is a Landkreis LRB rural district RRB in the west of LOCATION LOCATION.,31,0.920176089,0.997291744,-5.431426048,0.712776749,0.999497294,-2.409605265
For example many different things can be red.,the color of things is different from other colors of things.,For example many different things can be the color red.,32,0.935501039,0.324533314,-3.854171753,0.946053664,0.887124717,-2.110282183
Afrodisiac is the fourth studio album by American singer Brandy released by Atlantic Records on June on most international territories and on June LRB see in music RRB in Canada and the United States.,the album was released on february and was released in the united states on june.,Afrodisiac is the fourth studio album by American R B O pop singer Brandy released by Atlantic Records on June outside North America and on June LRB see in music RRB in Canada and the United States.,33,0.336137175,0.848434448,-3.488083601,0.831605734,0.989257634,-1.932198048
Early life PERSON was born on NUMBER June NUMBER at LOCATION in LOCATION LOCATION.,person was born in location location location.,PERSON was born in LOCATION LOCATION LOCATION.,34,0.524620498,0.951258361,-3.472368956,0.746839776,0.553991437,-2.050712824
The second place rider PERSON became the race s official winner.,person won the race and person became the champion of the season.,As PERSON forfeited his Tour title the second place rider PERSON became the race s official winner.,35,0.942555666,0.991738319,-3.682608128,0.811640508,0.571451128,-2.572869062
Northampton Town Football Club LRB RRB LRB often simply known as Northampton or by their nickname The Cobblers after the local shoemaking industry RRB are an English professional football club based in Northampton Northamptonshire.,st. andrews football club is a football club which plays in the london county council.,Northampton Town F.C. is an English football club.,36,0.319386402,0.980832875,-4.176645279,0.366586042,0.993404567,-2.058280945
Rawson E. Cicero a portrait LRB O O RRB p. Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin thus translating Greek philosophical works for a larger audience.,he was the first pope of the roman empire.,Works by Cicero,37,0.182438956,0.005759384,-3.990691662,0.754073565,0.467625052,-3.699230909
The importance of such industry is still seen in the town in the present day in companies such as LOCATION and PERSON.,the town has many businesses in location and location such as location location.,Companies such as LOCATION and PERSON are still based in the town.,38,0.665858398,0.480906725,-3.926147699,0.876345372,0.783322513,-1.562454462
In February an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,in the early s a group of people living in the area were reported to have been living in a small area of the kofun mountains near the coast of the south china sea.,In February of an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a Lost world of wildlife in the Foja Mountains of Papua Province Indonesia.,39,0.741059747,0.405934095,-4.28463459,0.985725386,0.964732826,-0.847971916
A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich fluid seepage occurs often in the form of a brine pool.,the term hydrocarbons is also used for the sulfuric acid formed when the water flows into the ocean s surface.,A cold seep LRB sometimes called a cold vent RRB is an area of the ocean floor where hydrogen sulfide methane and other hydrocarbon rich liquids leak out of the Earth s crust often in the form of a brine pool.,40,0.559625902,0.993778765,-3.649032593,0.759586561,0.999907374,-1.154722095
As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and hence decode the original data.,the algorithm is still the same as the encoding of the algorithm. the algorithm uses the algorithm to produce the correct output.,As long as sufficient values are received correctly the receiver can deduce what the original polynomial was and decode the original data.,41,0.861730112,0.01203622,-3.317668438,0.940689143,0.994577587,-0.821546972
The Retezat Mountains have many glacial lakes including the largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB which covers. ha and is situated at an altitude of metres.,the lake has a large area of water that is in the middle of the mountain.,The Retezat Mountains have many glacial lakes. The largest glacial lake in Romania Bucura Lake LRB lacul Bucura RRB is in these mountains.,42,0.381665299,0.601369798,-3.219404697,0.912024451,0.953088641,-1.129411697
They were at first inspired by The Beatles and other sixties pop groups like The Kinks.,they were first formed in the mid s when the band formed a group of five members from the punk scene in london.,They were at first inspired by The Beatles and other typical sixties pop groups like The Kinks.,43,0.98010385,0.042338658,-3.413745403,0.974747998,0.90898329,-1.273530841
The idea of holding a Pan American Games grew from the Central American Games which were first organized in the s.,the games are held every year every year.,From that time the Games are held every four years.,44,0.353897062,0.000606023,-3.294121742,0.856195748,0.001162919,-3.61717248
The actual confidence interval is calculated by entering the measured masses in the formula.,the formula is calculated by using the formula in the formula. the calculated value of the measured interval is called the interval.,The actual confidence interval is calculated by entering the measured weights in the formula.,45,0.975725532,0.214388594,-3.342675924,0.975240182,0.60090822,-1.409884453
If the lock does n t open it means they ve counted wrong and they can go back and correct their mistakes.,it will make it easier for them to do n t n t lose.,If the lock does n t open it means they ve counted wrong and they can go back and fix their mistakes.,46,0.462140495,0.012603004,-4.029541016,0.960330947,0.819880247,-1.080959439
In addition to writing all six Rocky films PERSON also wrote Cobra Driven and Rambo.,person lrb o o rrb,PERSON wrote all six Rocky films He also wrote Cobra Driven and Rambo.,47,0.206251374,0.001635585,-8.567254066,0.942043393,0.878669262,-1.459582925
Edinho real name Edino Nazareth Filho LRB born June in Rio de Janeiro RRB was a football LRB soccer RRB player from Brazil.,he has played for brazil national team.,Edino Nazareth Filho LRB born June RRB is a former Brazilian football player.,48,0.268448584,0.164176151,-4.305735588,0.578680594,0.999929965,-1.664640188
PERSON the sensible and reserved eldest daughter of Mr. and Mrs. PERSON.,person is the daughter of person and her second wife person.,PERSON the youngest daughter of Mr. and Mrs. PERSON.,49,0.813105851,0.999143541,-3.716514349,0.921652839,0.854435325,-1.962599158
He has reported for Independent Television News LRB ITN RRB.,he has been interviewed by television news news and television television stations.,He has reported for Independent Television News.,50,0.970980942,0.662157476,-3.623578548,0.856301645,0.990297496,-2.189986944
LOCATION is a chemical element with the symbol Sg and atomic number NUMBER.,it has the atomic number number and number number number.,It has the symbol ORGANIZATION. It has the atomic number NUMBER.,51,0.683747211,0.043530624,-3.742577791,0.367688131,0.428269327,-2.247334242
 There is her little Balochi style face with pouting lips and insolent look in the eyes.,she says in the words of her mother and her mother., There is her... pouting lips and insolent look in the eyes.,52,0.569705883,0.00043931,-3.744197369,0.910487463,0.988232136,-2.184520483
For example if the frequency of an allele is in a given population then among population members one in five chromosomes will carry that allele.,the genetic diversity of the population is the highest of all organisms in the world.,Allele frequencies may be used to describe genetic diversity in a population. If the frequency of any allele is above it is probable that natural selection is maintaining it at this level.,53,0.561618519,0.046458334,-3.063551903,0.809833669,0.655936122,-3.306137085
A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work while varying pressure temperature and other state variables eventually returning a system to its initial state.,thermodynamic system is a process that is controlled by the system of the system.,A thermodynamic cycle is a series of thermodynamic processes which returns a system to its initial state.,54,0.371378003,0.004382471,-3.05157423,0.8854441,0.998562753,-1.586438417
Her real name was Maria Jansson but she is known in history as Kisamor LRB The Mother in Kisa RRB after the place were she worked.,she was born on february number number in the location.,Her real name was Maria Jansson but she was always called Kisamor.,55,0.412029908,0.002108676,-5.575028896,0.874874064,0.999736428,-1.543299556
She later held the title of Duchess of Teck by marriage.,the duke of duke duke duke of wackerberg was the heir of the duke duke.,She later married the Duke of Teck.,56,0.97384876,0.055137426,-4.531458855,0.898909912,0.868303597,-2.673134327
Texas A M University often referred to as A M or TAMU is a coeducational public research university located in College Station Texas. It is the flagship institution of the Texas A M University System.,it is located in the city of dallas texas.,Texas A M University is a public university in College Station Texas.,57,0.181155894,0.259593874,-3.854002237,0.333621774,0.992463231,-1.462690353
Dikes are mostly built using locally available materials and each has its own risk factor sand is prone to collapse due to oversaturation by water while dry peat is lighter than water making the barrier potentially unstable in very dry seasons.,location is a part of the location.,Availability of sand ,58,0.141854301,0.004972189,-3.956077576,0.765283457,0.659072101,-6.872545242
Italy purchased the city in and made Mogadishu the capital of Italian Somaliland.,the somali pirates founded the town in the mid s during the italian rule of italy.,Italy bought the city in. They made Mogadiscio LRB Italian for Mogadishu RRB the capital of Italian Somaliland.,59,0.94757086,0.882252634,-5.552457809,0.917619892,0.996852696,-3.914541483
Maquoketa LRB RRB is a city in Jackson county in the U.S. state of Iowa.,it is a city of iowa in the u. s. state of iowa.,Maquoketa is a city of Iowa in the United States.,60,0.605427106,0.719417274,-3.508179188,0.540523246,0.419890583,-2.492396832
Many civilians and military officers living or stationed in LOCATION and the LOCATION moved to LOCATION LOCATION and other cities of LOCATION LOCATION and LOCATION as well as LOCATION.,location and location are also part of the military and civil government in location.,Many civilians and military officers in LOCATION and the LOCATION moved to LOCATION and other surrounding areas of LOCATION LOCATION and LOCATION.,61,0.445814878,0.999505341,-3.51492238,0.922520098,0.998697758,-1.563711762
Billericay LRB RRB is a small commuter town in Essex England with a population of.,it was first used in the th century by the mongol empire.,The,62,0.611303761,7.29E-05,-4.342646599,0.345801702,0,-5.380001068
PERSON LRB b. ORGANIZATION NUMBER November NUMBER d. LOCATION NUMBER July NUMBER RRB was a famous german composer and organist.,person lrb born number august number died location number november number rrb was a german composer and organist.,PERSON LRB born ORGANIZATION NUMBER November NUMBER died LOCATION NUMBER July NUMBER RRB was a famous German composer and organist.,63,0.812949309,0.930795789,-4.655283451,0.861390399,0.995329857,-1.631710052
Kluisbergen is a municipality located in the Belgian province of East Flanders.,it is located in the north eastern part of location.,It is located at North East.,64,0.643384387,0.001126147,-3.671188831,0.742496029,0.000510076,-5.437754154
Ian Russell McEwan CBE FRSA FRSL LRB born June RRB is an English novelist and screenwriter and one of Britain s most highly regarded writers.,he is best known for his controversial novel the hanging gardens lrb o o rrb and his many books.,Ian Russell McEwan CBE FRSA FRSL LRB born June RRB is an English novelist LRB sometimes nicknamed Ian Macabre because of the nature of his early work RRB.,65,0.586722841,0.353685737,-5.438521862,0.469892129,0.99949491,-2.79337883
Ultratop is the official Belgian record charts.,it is the official name of the belgian national football team.,Ultratop is the name of the official Belgian record charts.,66,0.965591967,0.006712221,-3.568772316,0.942797589,0.59935528,-3.064779758
The Best Buy version of the album contains two bonus tracks Hold On and an acoustic demo of Hate LRB I Really Do n t Like You RRB.,the album contains two of the songs lrb o o rrb rrb lrb rrb.,The Best Buy version of the album contains two bonus tracks Hold On and an acoustic demo of Hate LRB I Really Dont Like You RRB.,67,0.438022779,0.020604106,-4.261579514,0.782020602,0.99982059,-0.731103897
This warning was discontinued within NUMBER hours.,the warning was removed from the warning warning and was removed.,This warning was removed within NUMBER hours.,68,0.950047374,0.014939654,-4.102178097,0.954383018,0.340440571,-2.052031994
It is the home of the Earl and Countess of Strathmore and Kinghorne and is open to the public.,it is the main town of the county of queensdon in the north east of the kingdom of north west of england.,It is the home of the Earl and Countess of Strathmore and Kinghorne.,69,0.938379586,0.000205351,-4.291314125,0.931756638,0.99755162,-0.803741813
Electronic gear used by audiophiles can be bought at specialist shops and websites.,there are many other websites such as websites for children of disabilities.,Other websites,70,0.899512004,0.000180732,-4.672562599,0.555711499,0.000608865,-7.3359828
The Rocker is a comedy starring Rainn Wilson Josh Gad Teddy Geiger Emma Stone Christina Applegate and Jason Sudeikis.,the film s cast includes person and person.,Cast,71,0.352961733,0.002568016,-5.541144848,0.547682012,0,-7.186322689
To the south of LOCATION are the LOCATION and the You LOCATION.,the location is a small river in location location location.,There is a mineral spring at LOCATION South of LOCATION are the LOCATION and the You LOCATION.,72,0.921596345,0.008473886,-4.648909569,0.940665308,0.641026199,-2.066406727
After the death of the child king Baldwin V his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort.,david ii of jerusalem lrb died rrb,Baldwin V of Jerusalem LRB b. RRB ,73,0.211305129,0.003425551,-8.437941551,0.757249974,0.004732346,-4.79997921
Most commonly nihilism is presented in the form of existential nihilism which argues that life is without objective meaning purpose or intrinsic value.,a philosopher is a philosophy that says that human nature is not something that can be perceived as different from naturalism.,Nihilism is the belief that values are falsely invented. The term nihilism can also be used to describe the idea that life or the world has no distinct meaning or purpose.,74,0.78039066,0.223795652,-3.701161146,0.869994979,0.999875188,-2.789824247
Marie Antoinette LRB pronounced RRB LRB Vienna November Paris October RRB was an Archduchess of Austria and Queen of France and of Navarre.,maria maria theresa of austria lrb born vienna rrb is a french princess of austria and empress of austria of austria.,Marie Antoinette LRB born Maria Antonia Josepha Archduchess of Bavaria RRB LRB November in Vienna October in Paris RRB was an Archduchess of Austria and a Queen of France and Navarre.,75,0.779162056,0.999663055,-5.05120945,0.773364544,0.999895751,-2.11835742
The ORGANIZATION is open to the public.,the house is the home of the royal family. it is a museum.,The house is open to the public.,76,0.949095428,0.000743032,-3.614285469,0.870997982,0.513064504,-2.571825743
Cheese is produced throughout the world in wide ranging flavors textures and forms.,it is made out of cheese and cheese.,Different types of cheese include ,77,0.401631574,0.368200451,-3.738487005,0.772913297,0.465005904,-5.210314274
Outward appearance Throughout the series Harry is described as sporting his father s perpetually untidy black hair his mother s bright green eyes and a lightning bolt shaped scar on his forehead.,he is also seen in many stories including the dark knight in which he is seen as a young man with a scaring scar on his forehead and his nose.,Throughout the entire series Harry sports his father s perpetually untidy black hair his mother s green eyes and a lightning bolt shaped scar on his forehead because of his encounter with Lord Voldemort and round thick eyeglasses.,78,0.667261259,0.982719123,-3.785734653,0.819350216,0.999892712,-2.441000462
Billboard LRB Positive RRB link,it was released in australia on june in australia.,This studio album was released June in the United States June in Australia and on May in Europe.,79,1.000000119,0.00032902,-4.568372726,0.80093056,0.001032685,-4.322354317
he did his Phd in london. RRB ,it is owned by the united states energy department of energy.,Department of Renewable Energy,80,0.948186696,0.000376627,-4.432710648,0.61101187,0.008526793,-5.06714201
NUMBER ndash PERSON French painter and graphic artist LRB d. NUMBER RRB ,person lrb born number may number rrb was a painter and painter.,NUMBER PERSON painter and graphic artist LRB d. NUMBER RRB ,81,0.80749517,0.991723418,-5.301903725,0.825710835,0.906741798,-1.402586579
No songs from the album have ever been performed live by Pink Floyd since although Roger Waters has played a number of the songs live on all of his subsequent solo tours starting with his very first such tour promoting The Pros and Cons of Hitchhiking in.,the band has never recorded live with live with the band. they have never never performed live live.,None of the album s songs has ever been performed live by Pink Floyd though some have been performed live by Waters during solo tours.,82,0.33449762,0.010030251,-4.418037891,0.739369651,0.999714553,-2.201273203
He then attended the Methodist affiliated Boston University earning an A.B. in and went on to graduate from Boston University School of Law in.,he was elected governor in and held office until january.,In Bates was elected Governor holding office from to.,83,0.374888259,0.000530789,-4.650153637,0.357477712,0.000665477,-4.639742374
It is the band s only album produced by Rick Rubin.,the band is a heavy metal band from location lrb o o rrb. it is the second studio album by the band, LRB The Subliminal Verses RRB is the third studio album by American alternative metal rock band Slipknot.,84,0.948491454,0.03903063,-4.501142025,0.817916464,0.001810254,-4.907991886
The dealer shuffles the cards the player on the chair to their right cuts and the dealer deals the appropriate number of cards to the players one at a time beginning with the player to their left.,the cards are dealt at the bottom of the deck.,The deck is then cut and the appropriate number of cards are dealt face down to the players.,85,0.224345951,0.991368353,-2.691493034,0.623166365,0.999849021,-2.701326132
The ORGANIZATION however turned disarmed soldiers and civilians over to the partisan forces.,the organization made the organization a part of the organization s organization and the organization.,The ORGANIZATION then turned over a number of them to the partisan forces.,86,0.936148584,0.000453327,-4.520743847,0.797476795,0.995332122,-2.532021999
They vary in size but are usually not much larger than the areola.,they are usually the same as those that are in the other parts of the world.,They vary in size and are usually not much larger than the persons areola.,87,0.943981647,0.003794482,-2.977865696,0.674600767,0.841324985,-1.894640446
The first eyeborg was created in England in by Adam Montandon in collaboration with colourblind artist Neil Harbisson.,the first british telescope was invented in in. it was first used in in by the british artist claude montour.,The first eyeborg was made in England in by Adam Montandon in collaboration with colourblind artist Neil Harbisson.,88,0.902792588,0.967450678,-4.68615818,0.688592703,0.950813472,-0.862324953
PERSON had experienced PERSON s tardiness stage fright and inability to remember lines during production of The Seven Year Itch.,person s acting ability to portray person s illness was poor during the first half of the production s production.,PERSON had experienced PERSON s lateness stage fright and inability to remember lines during production of The Seven Year Itch.,89,0.854788807,0.997732759,-4.404876709,0.957405012,0.923560858,-1.332830906
The translation table rules established in this fashion are flushed after a short period without new traffic refreshing their state.,in this case the text can be changed to a new form of text using the original text.,The translation table rules established in the above way are cleared after a short period without new traffic refreshing their state.,90,0.609697439,0.00023559,-3.356762409,0.967502434,0.870657027,-1.775660872
Chess boxing is a hybrid sport which combines the sport of boxing with games of chess in alternating rounds.,chess is a type of chess which consists of chess and chess chess.,Chess boxing is a mixed sport which puts together the sport of boxing with games of chess in every other round.,91,0.591442356,0.966885686,-3.345632792,0.885104032,0.999757826,-2.234913588
They are rebuilds with reconditioned engines of former Class NUMBER locomotives originally introduced in NUMBER.,the locomotives were modified in number and some of them were modified to meet the requirements of the new class numbers in number.,They are rebuilds with new engines of older Class NUMBER locomotives originally introduced in NUMBER.,92,0.959937811,0.999153256,-3.318377018,0.922465951,0.85019505,-1.746250987
His older brother died in and Charles Emmanuel then became heir apparent.,he died when king charles iv died and charles iii became king of piedmont.,His older brother the Prince of Piedmont died in and then Charles Emmanuel became Heir apparent.,93,0.884585798,0.955816269,-5.313042641,0.946775664,0.637279809,-2.606327534
It is a successor to the famous World War II Jeep vehicle by way of the Willys civilian Jeep LRB CJ RRB in the s later produced by Kaiser Jeep and by American Motors LRB AMC RRB.,the minibus is a type of minivan that was built by the british company bru.,It replaced the Jeep CJ which came from the World War II Jeep or Willys MB.,94,0.374619462,0.994842112,-4.359725952,0.829063155,0.999891877,-3.51062727
PERSON LRB February NUMBER NUMBER September NUMBER NUMBER RRB was an American politician and jurist.,person lrb born february number number in location location rrb was an american politician and civil rights activist.,PERSON LRB February NUMBER NUMBER September NUMBER NUMBER RRB was an American judge and politician.,95,0.96610719,0.994318426,-4.886471272,0.956797112,0.999558628,-1.400359273
PERSON illegally entered the ring to enact revenge on Sniper and Recon on behalf of The ORGANIZATION PERSON also illegally entered to eliminate PERSON and so left his partner PERSON.,he tried to escape but he turned up and tried to get back to the organization but he failed.,PERSON illegally entered the ring to get revenge on Sniper and Recon for The ORGANIZATION PERSON also illegally entered to eliminate PERSON and so his partner PERSON had to leave too.,96,0.48025355,0.968272507,-3.596388102,0.942639835,0.999881923,-1.596774459
For example some animals can be entrained to a hour day but they can not be entrained to a hour day.,a horse can be trained to do this task if a person is able to do it.,Some animals can be entrained to a hour day but they can not be entrained to a hour day.,97,0.654159603,0.002679136,-3.280865908,0.936852868,0.99964273,-0.49965629
Pooh admits that this may happen but asks her to think about what will happen to Michael if she does n t tell.,he says that he will not tell him if he does not know how to do it.,Pooh admits that this may happen but asks her to think about what will happen to Michael if she does not tell.,98,0.585210402,0.001314618,-2.698715687,0.962192695,0.955032349,-1.428619981
