,source_sentence,pred,bart_score_gold
10,"name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","Laurentia -LRB- i.e. the core North American continent -RRB-, Baltica, Siberia, Kazakhstania, and the North China and East China cratons -RRB-.",-1.623785138
11,"-LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .",LOCATION@1 is a commune of the Nord.,-3.464788198
12,"computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .","In computing, a serial port is a physical interface for data transfers one bit at a time through a serial communication.",-1.368359447
13,"has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .","It is part of the German Spitz breed, and in many countries they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB-, or Toy German PERSON@1.",-3.130821705
14,"started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .","He started piano and harmony training with his mother when he was 5, and at age 7 turned to the violin, getting instruction from Maurice Frenkel.",-3.533702374
15,Pro Player Park -LRB- -RRB-,A.k.a. Pro Player Park -LRB- -RRB-,-4.749712944
16,published partial research results in a NUMBER@1 book .,He published partial research results in a NUMBER@1 book.,-1.973982692
17,"y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","PERSON@1 y Santib  ez PERSON@2 -LRB- LOCATION@1, NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1, NUMBER@3 September NUMBER@4 -RRB- was a politician and writer of the Baroque era.",-1.256550193
18,currently plays for the Japanese team Yokohama F. Marinos .,He plays for Yokohama F. Marinos.,-4.625374317
19,decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1 .,More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1.,-4.351177692
20,"modern usage , sophism , sophist , and sophistry are derogatory terms , due to the influence of many past philosophers .","In modern usage, sophism, sophist, and sophistry are derogatory terms, due to the influence of many past philosophers.",-3.585757494
21,"iodide , CdI2 , is a chemical compound of cadmium and iodine .","Cadmium iodide, CdI2, is a chemical compound.",-1.563486576
22,"professional wrestling , a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .","In professional wrestling, a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB-.",-0.572063684
23,"day , when the pianist failed to arrive by show time , PERSON@1 took his place .",One day PERSON@1 took his place.,-2.205153465
24,replacement was PERSON@1 leaving the band with the line-up they retain .,His replacement was PERSON@1 leaving the band with the line-up they keep.,-3.209986448
25,"to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- , PERSON@1 could dribble the ball as many as six times a second .",According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- PERSON@1 could dribble the ball as many as six times a second.,-4.119181156
26,bled to death after about an hour .,He bled to death after about an hour.,-2.967683554
27,first inhabitants settled in the territory of today 's Ain about 15000 B.C. .,The first inhabitants settled in the territory of todays Ain about 1500 B.C..,-1.135902405
28,"was the recipient of hundreds of US award nominations throughout its run , and won numerous industry awards , including the Emmy Award for US primetime Outstanding Drama Series in 2005 , Best American Import at the British Academy Television Awards in 2005 , the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series .","Lost has won many awards, including the Emmy Award for US primetime Outstanding Drama Series in 2005, Best American Import at the British Academy Television Awards in 2005, and the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006.",-2.112386942
29,"trackâ s reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- , even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 's PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5 .","The track s reputation improved so much that the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB-, even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1's PERSON@1 of the NUMBER@4 drivers at the time won the NUMBER@5.",-0.836595297
30,stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,-1.183229208
31,"is a PERSON@1 -LRB- district -RRB- in the west of LOCATION@1 , LOCATION@2 .","Wartburgkreis is a district in the west of LOCATION@1, LOCATION@2.",-2.409605265
32,"example , many different things can be red .","For example, many different things can be red.",-2.110282183
33,"is the fourth studio album by American singer Brandy , released by Atlantic Records on June 28 , 2004 on most international territories and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .","Afrodisiac is the fourth studio album by American singer Brandy, released by Atlantic Records on June 28, 2004 on most international territories and on June 29, 2004 in Canada and the United States.",-1.932198048
34,"life PERSON@1 was born on NUMBER@1 June NUMBER@2 , at LOCATION@1 in LOCATION@2 , LOCATION@3 .","PERSON@1 was born on NUMBER@1 June NUMBER@2 at LOCATION@1 in LOCATION@2, LOCATION@3.",-2.050712824
35,"second place rider , PERSON@1 , became the race 's official winner .","The second place rider, PERSON@1, became the official winner.",-2.572869062
36,"Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .","Northampton Town Football Club -LRB- -RRB- are an English football club that play in Northampton, Northamptonshire.",-2.058280945
37,", E. : '' Cicero , a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin , thus translating Greek philosophical works for a larger audience .","Rawson, E. : Cicero, a portrait -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin, thus translating Greek philosophical works for a larger audience.",-3.699230909
38,importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1 .,The importance of this industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1.,-1.562454462
39,"February 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .","In February 2006, an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province, Indonesia.",-0.847971916
40,"cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich fluid seepage occurs , often in the form of a brine pool .","A cold seep is an area of the ocean floor where hydrogen sulfide, methane and other hydrocarbon-rich fluid seepage occurs, often in the form of a brine pool.",-1.154722095
41,"long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and hence decode the original data .","As long as enough values are received correctly, the receiver can deduce what the original polynomial was, and hence decode the original data.",-0.821546972
42,"Retezat Mountains have many glacial lakes , including the largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- , which covers 8.9 ha and is situated at an altitude of 2030 metres .","The Retezat Mountains have many glacial lakes, including the largest glacial lake in Romania, Bucura Lake -LRB- lacul Bucura -RRB-, which covers 8.9 ha and is situated at an altitude of 2030 metres.",-1.129411697
43,were at first inspired by The Beatles and other sixties pop groups like The Kinks .,They were first influenced by The Beatles and other sixties pop groups like The Kinks.,-1.273530841
44,idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s .,The idea of holding a Pan American Games started with the Central American Games which were first organized in the 1920s.,-3.61717248
45,actual confidence interval is calculated by entering the measured masses in the formula .,The actual confidence interval is calculated by entering the measured masses in the formula.,-1.409884453
46,"the lock does n't open , it means they 've counted wrong and they can go back and correct their mistakes .","If the lock doesn't open, it means they've counted wrong and they can go back and correct their mistakes.",-1.080959439
47,"addition to writing all six Rocky films , PERSON@1 also wrote Cobra , Driven and Rambo .","In addition to writing all six Rocky movies, PERSON@1 also wrote Cobra, Driven and Rambo.",-1.459582925
48,", real name Edino Nazareth Filho , -LRB- born June 5 , 1955 in Rio de Janeiro -RRB- was a football -LRB- soccer -RRB- player from Brazil .","Edinho, real name Nazareth Filho -LRB- born 5 June 1955 -RRB- was a Brazilian football player.",-1.664640188
49,-- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2 .,PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2.,-1.962599158
50,has reported for Independent Television News -LRB- ITN -RRB- .,He has reported for Independent Television News -LRB- ITN -RRB-.,-2.189986944
51,is a chemical element with the symbol Sg and atomic number NUMBER@1 .,It has the atomic number NUMBER@1.,-2.247334242
52,There is her little Balochi-style face with pouting lips and insolent look in the eyes .,'' There is her little Balochi-style face with pouting lips and insolent look in the eyes.,-2.184520483
53,"example , if the frequency of an allele is 20 % in a given population , then among population members , one in five chromosomes will carry that allele .","For example, if the frequency of an allele is 20 % in a population, then among population members, one in five chromosomes will carry that allele.",-3.306137085
54,"thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work , while varying pressure , temperature , and other state variables , eventually returning a system to its initial state .","A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work, while changing pressure, temperature, and other state variables, eventually returning a system to its original state.",-1.586438417
55,"real name was Maria Jansson , but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place were she worked .","Her real name was Maria Jansson, but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place where she worked.",-1.543299556
56,later held the title of Duchess of Teck by marriage .,She later held the title of Duchess of Teck by marriage.,-2.673134327
57,"A&M University , often referred to as A&M or TAMU , is a coeducational public research university located in College Station , Texas . It is the flagship institution of the Texas A&M University System .","Texas A&M University is a public research university in College Station, Texas.",-1.462690353
58,"are mostly built using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water , making the barrier potentially unstable in very dry seasons .","Dikes are mostly made using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water, making the barrier potentially unstable in very dry seasons.",-6.872545242
59,purchased the city in 1905 and made Mogadishu the capital of Italian Somaliland .,Italy bought the city in 1905 and made Mogadishu the capital of Italian Somaliland.,-3.914541483
60,-LRB- -RRB- is a city in Jackson county in the U.S. state of Iowa .,Maquoketa is a city in the U.S. state of Iowa.,-2.492396832
61,"civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3 , LOCATION@4 and other cities of LOCATION@5 , LOCATION@6 , and LOCATION@7 , as well as LOCATION@8 .","Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3, LOCATION@4 and other cities of LOCATION@5, LOCATION@6, and LOCATION@7, as well as LOCATION@8.",-1.563711762
62,"-LRB- -RRB- is a small commuter town in Essex , England with a population of 40,000 .","Billericay is a small town in Essex, England.",-5.380001068
63,-LRB- b. ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- d. LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous german composer and organist .,PERSON@1 -LRB- born NUMBER@1 November NUMBER@1 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist.,-1.631710052
64,is a municipality located in the Belgian province of East Flanders .,Kluisbergen is a municipality located in the Belgian province of East Flanders.,-5.437754154
65,"Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- is an English novelist and screenwriter , and one of Britain 's most highly regarded writers .","Ian Russell McEwan CBE, FRSA -LRB- born 21 June 1948 -RRB- is an English writer.",-2.79337883
66,is the official Belgian record charts .,Ultratop is the official Belgian record chart.,-3.064779758
67,Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Do n't Like You -RRB- '' .,The album also has two bonus songs : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Don't Like You -RRB-.,-0.731103897
68,warning was discontinued within NUMBER@1 hours .,This warning was discontinued within NUMBER@1 hours.,-2.052031994
69,"is the home of the Earl and Countess of Strathmore and Kinghorne , and is open to the public .",It is the home of the Earl and Countess of Strathmore and Kinghorne and is open to the public.,-0.803741813
70,gear used by audiophiles can be bought at specialist shops and websites .,Electronic gear used by audiophiles can be bought online.,-7.3359828
71,"Rocker is a 2008 comedy starring Rainn Wilson , Josh Gad , Teddy Geiger , Emma Stone , Christina Applegate and Jason Sudeikis .","The Rocker is a 2008 movie starring Rainn Wilson, Josh Gad, Teddy Geiger, Emma Stone and Jason Sudeikis.",-7.186322689
72,the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3 .,To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3.,-2.066406727
73,"the death of the child-king Baldwin V , his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort .","After the death of the child king Baldwin V, his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort.",-4.79997921
74,"commonly , nihilism is presented in the form of existential nihilism which argues that life is without objective meaning , purpose , or intrinsic value .","Most commonly, nihilism is presented in the form of existential nihilism which argues that life is without objective meaning, purpose, or intrinsic value.",-2.789824247
75,"Antoinette -LRB- pronounced ; ; -RRB- ; -LRB- Vienna , 2 November 1755 -- Paris , 16 October 1793 -RRB- was an Archduchess of Austria and Queen of France and of Navarre .","Marie-Antoinette -LRB- Vienna, 2 November 1755 -- Paris, 16 October 1793 -RRB- was an Archduchess of Austria and Queen of France and of Navarre.",-2.11835742
76,ORGANIZATION@1 is open to the public .,The ORGANIZATION@1 is open to the public.,-2.571825743
77,"is produced throughout the world in wide-ranging flavors , textures , and forms .","Cheese is made throughout the world in many different flavors, textures, and forms.",-5.210314274
78,"appearance Throughout the series , Harry is described as sporting his father 's perpetually untidy black hair , his mother 's bright green eyes , and a lightning bolt-shaped scar on his forehead .","Throughout the series, Harry is described as sporting his father's perpetually untidy black hair, his mother's bright green eyes, and a lightning bolt-shaped scar on his forehead.",-2.441000462
79,#NAME?,Billboard -LRB- Positive -RRB- link,-4.322354317
80,did his Phd in london . -RRB-,He did his Phd in london.,-5.06714201
81,"& ndash ; PERSON@1 , French painter and graphic artist -LRB- d. NUMBER@2 -RRB-","NUMBER@1 - PERSON@1, French painter and graphic artist -LRB- d. NUMBER@2 -RRB-",-1.402586579
82,"songs from the album have ever been performed live by Pink Floyd since , although Roger Waters has played a number of the songs live on all of his subsequent solo tours , starting with his very first such tour promoting The Pros and Cons of Hitchhiking in 1984 .","No songs from the album have ever been performed live by Pink Floyd since, although Roger Waters has played a number of the songs live on all of his subsequent solo tours, including The Pros and Cons of Hitchhiking in 1984.",-2.201273203
83,"then attended the Methodist-affiliated Boston University , earning an A.B. in 1882 , and went on to graduate from Boston University School of Law in 1885 .",He went on to graduate from Boston University School of Law in 1885.,-4.639742374
84,is the band 's only album produced by Rick Rubin .,It is the band's only album produced by Rick Rubin.,-4.907991886
85,"dealer shuffles the cards , the player on the chair to their right cuts , and the dealer deals the appropriate number of cards to the players one at a time , beginning with the player to their left .","The dealer shuffles the cards, the player on the chair to their right cuts, and the dealer deals the number of cards to the players one at a time.",-2.701326132
86,"ORGANIZATION@1 , however , turned disarmed soldiers and civilians over to the partisan forces .",The ORGANIZATION@1 turned disarmed soldiers and civilians over to the partisan forces.,-2.532021999
87,"vary in size , but are usually not much larger than the areola .","They vary in size, but are usually not that big.",-1.894640446
88,first eyeborg was created in England in 2003 by Adam Montandon in collaboration with colourblind artist Neil Harbisson .,The first eyeborg was created in England in 2003 by Adam Montandon and Neil Harbisson.,-0.862324953
89,"had experienced PERSON@2 's tardiness , stage fright , and inability to remember lines during production of The Seven Year Itch .","PERSON@1 had experienced PERSON@2's tardiness, stage fright, and inability to remember lines during production of The Seven Year Itch.",-1.332830906
90,translation table rules established in this fashion are flushed after a short period without new traffic refreshing their state .,The translation table rules established in this fashion are flushed after a short period without new traffic refreshing their state.,-1.775660872
91,boxing is a hybrid sport which combines the sport of boxing with games of chess in alternating rounds .,Chess boxing is a sport which combines the sport of boxing with games of chess in alternating rounds.,-2.234913588
92,"are rebuilds , with reconditioned engines , of former Class NUMBER@1 locomotives , originally introduced in NUMBER@2 .","They are rebuilds, with reconditioned engines, of former Class NUMBER@1 locomotives, originally introduced in NUMBER@2.",-1.746250987
93,older brother died in 1715 and Charles Emmanuel then became heir apparent .,His older brother died in 1715 and Charles Emmanuel became his heir apparent.,-2.606327534
94,"is a successor to the famous World War II ` Jeep ' vehicle by way of the Willys civilian Jeep -LRB- CJ -RRB- in the 1950s , later produced by Kaiser-Jeep and by American Motors -LRB- AMC -RRB- .","It is the successor to the famous World War II  Jeep'vehicle by way of the Willys civilian Jeep -LRB- CJ -RRB- in the 1950s, later produced by Kaiser-Jeep and by American Motors -LRB- AMC -RRB-.",-3.51062727
95,"-LRB- February NUMBER@1 , NUMBER@2 â '' September NUMBER@3 , NUMBER@4 -RRB- was an American politician and jurist .","PERSON@1 -LRB- February NUMBER@1, NUMBER@2 â '' September NUMBER@3, NUMBER@4 -RRB- was an American politician and jurist.",-1.400359273
96,"illegally entered the ring to enact revenge on Sniper and Recon on behalf of The ORGANIZATION@1 , PERSON@2 also illegally entered to eliminate PERSON@3 , and so left his partner PERSON@4 .","PERSON@1 illegally entered the ring to enact revenge on Sniper and Recon on behalf of The ORGANIZATION@1, PERSON@2 also illegally entered to eliminate PERSON@3, and so left his partner PERSON@4.",-1.596774459
97,"example , some animals can be entrained to a 22-hour day , but they can not be entrained to a 20-hour day .","For example, some animals can be entrained to a 22-hour day, but they can not be entrained to a 20-hour day.",-0.49965629
98,"admits that this may happen , but asks her to think about what will happen to Michael if she does n't tell .","Pooh admits that this may happen, but asks her to think about what will happen to Michael if she does not tell.",-1.428619981
99,", Theodore M. -LRB-/O1995/O-RRB- : Trust in Numbers : The Pursuit of Objectivity in Science and Public Life , Princeton University Press , 1995 .","Porter, Theodore M. -LRB-/O1995/O-RRB- : Trust in Numbers : The Pursuit of Objectivity in Science and Public Life, Princeton University Press, 1995.",-0.938252747
100,Simmons is a 1978 solo album from the bass player and singer of American hard rock band Kiss .,Gene Simmons is a 1978 solo album from the bass player and singer of American hard rock band Kiss.,-2.746479988
101,"Maya cities of the northern lowlands in Yucatán continued to flourish for centuries more ; some of the important sites in this era were Chichen Itza , Uxmal , Edzná , and Coba .","The Maya cities of the northern lowlands in Yucatán continued to flourish for centuries more ; some of the important sites in this era were Chichen Itza, Uxmal, Edzná, and Coba.",-0.647160888
102,has outlined us the road to the freedom And great PERSON@2 is leading us through it .,PERSON@1 has given us the road to freedom And great PERSON@2 is leading us through it.,-5.183833122
103,"is a lot of data/O. , that will take up a lot of space .","There is a lot of data/O., that will take up a lot of space.",-1.699118733
104,"-LRB- Spanish for evergreen or holm oak -RRB- is a hilly district of the City of Los Angeles , California , United States .","Encino is a hilly district of the City of Los Angeles, California, United States.",-3.117976904
105,", the protagonist of her novel , was a bohemian .","PERSON@1, the protagonist of her novel, was a bohemian.",-3.678697824
106,Marginson,Karl Marginson,-9.883659363
107,-LRB- ; Gramota .,Perm -LRB- ; Gramota.,-7.268784046
108,"escaping from slavery , into which she was born , she made thirteen missions to rescue more than 70 slaves using the network of antislavery activists and safe houses known as the Underground Railroad .","After escaping from slavery, into which she was born, she made thirteen missions to rescue more than 70 slaves using the network of antislavery activists and safe houses called the Underground Railroad.",-3.002463579
109,"famous setting of '' It was a lover and his lass '' from As You Like It has never been established as having been used in a performance of Shakespeare 's play , though the possibility that it was is obvious .",His famous setting of '' It was a lover and his lass '' from As You Like It has never been established as having been used in a performance of Shakespeares play.,-2.916181564
110,"derived binary relation between two sets is the subset relation , also called set inclusion .","A derived binary relation between two sets is the subset relation, also called set inclusion.",-0.827466249
111,"syndrome is also called Asperger 's syndrome -LRB- AS -RRB- , Asperger -LRB- or Asperger 's -RRB- disorder -LRB- AD -RRB- , or just Asperger 's .","Asperger syndrome is also called Asperger's syndrome -LRB- or Asperger's -RRB- disorder -LRB- AD -RRB-, or just Asperger's.",-3.36267662
112,nan,Oulens-sous-Echallens,-7.406847954
113,"of , JyvÃ skylÃ had a population of .","As of, Jyv skyl had a population of.",-4.424145222
114,"Pierce Bush was born at Baylor University Medical Center in Dallas , Texas .","Barbara Pierce Bush -LRB- born Baylor University Medical Center -RRB- is a doctor of medicine in Dallas, Texas.",-2.778089285
115,"won only 13 games while appearing in 43 out of Boston 's 48 games , which was the only time he missed games as a member of the Bruins .","He won only 13 games while playing in 43 out of Boston's 48 games, which was the only time he missed games as a member of the Boston Bruins.",-3.547611475
116,"memorial is managed by the ORGANIZATION@1 , which was established as per the Jallianwala Bagh National Memorial Act passed by the Government of LOCATION@1 in NUMBER@1 .","The memorial is managed by the ORGANIZATION@1, which was set up as per the Jallianwala Bagh National Memorial Act passed by the Government of LOCATION@1 in NUMBER@1.",-1.150299072
117,is a commune in the LOCATION@1 department in the Provence-Alpes-C Ã te d'Azur region in southeastern LOCATION@2 .,It is found in the region Provence-Alpes-C  te d'Azur in the LOCATION@1 department in the south of LOCATION@2.,-2.888026714
118,"lies west southwest of Bristol , north of Plymouth and northwest of the county town of Exeter .","It is west southwest of Bristol, north of Plymouth and northwest of Exeter.",-1.267183661
119,"four yellow arrows symbolize the native nations of LOCATION@1 , whereas their pointing into the four cardinal directions of the compass stands for the centralized emanating political power of LOCATION@2 , as the capital of the country .","The four yellow arrows symbolize the native nations of LOCATION@1, whereas their pointing into the four cardinal directions of the compass stands for the central emanating political power of LOCATION@2, as the capital of the country.",-2.06210494
120,"the fall of Saipan , the Japanese high command predicted that the Allies would try to capture the Philippines , which were strategically important because of their location between the oilfields of Southeast Asia and Japan .","After the fall of Saipan, the Japanese high command predicted that the Allies would try to capture the Philippines. The Philippines were strategically important because they were located between the oilfields of Southeast Asia and Japan.",-1.627596617
121,", originally a ORGANIZATION@1 settlement , was the direct ancestor of LOCATION@1 , becoming the Roman capital of LOCATION@2 .",Aquincum became the capital city of LOCATION@2. It was originally a ORGANIZATION@1 settlement.,-5.450841904
122,"the academy was founded , the ballroom was the biggest room in Stockholm that could be heated and thus used in the winter , so the king asked if he could borrow it .","When the academy was founded, the ball room was the biggest room in Stockholm that could be heated and used in the winter.",-1.652770996
123,"still air on ORGANIZATION@1 and The Comedy Network in LOCATION@1 , ORGANIZATION@2 in the LOCATION@2 .","Re-runs still air on ORGANIZATION@1 and The Comedy Network in LOCATION@1, ORGANIZATION@2 in the LOCATION@2.",-7.510480404
124,"White Nights Festival in LOCATION@1 , LOCATION@2 is an annual international arts festival during the season of the midnight sun .",The White Nights Festival is an annual international arts festival held during the season of the midnight sun.,-4.673392773
125,"-LRB- pronounced '' AZ-har '' , ; , '' the Noble Azhar '' -RRB- in LOCATION@1 , founded in NUMBER@1 , is the chief centre of Arabic literature and Sunni Islamic learning in the world and the world 's second oldest surviving degree granting university .","ORGANIZATION@1 -LRB- pronounced '' AZ-har '', ; '' the Noble Azhar '' -RRB- in LOCATION@1, founded in NUMBER@1, is the chief centre of Arabic literature and Sunni Islamic learning in the world and the world's second oldest surviving university.",-0.957907617
126,"years later , in NUMBER@1 , a combination of the physical standard from the ORGANIZATION@1 of LOCATION@1 and the ability standard from the ORGANIZATION@2 led to the English Springer Spaniel breed being officially recognized by the ORGANIZATION@3 .","Two years later, in NUMBER@1, a combination of the physical standard from the ORGANIZATION@1 of LOCATION@1 and the ability standard from the ORGANIZATION@2 led to the English Springer Spaniel breed being recognized by the ORGANIZATION@3.",-2.822088242
127,"probability theory and statistics , the normal distribution , or Gaussian distribution , is an absolutely continuous probability distribution whose cumulants of all orders above two are zero .","In probability theory and statistics, the normal distribution, or Gaussian distribution, is an absolutely continuous probability distribution whose cumulants of all orders above two are zero.",-1.985276699
128,: Africa is the third season of the United States reality show Survivor .,Survivor Africa is the third season of the United States reality show Survivor.,-5.232122898
129,"is an epistolary novel , written as a collection of realistic , but completely fictional , diary entries , telegrams , letters , ship 's logs , and newspaper clippings , all of which added a level of detailed realism to his story , a skill he developed as a newspaper writer .","It is a collection of diary entries, letters, ship logs, and newspaper clippings. All of these added a level of detail to his story, which he developed as a newspaper writer.",-3.156964779
130,"recent emigrants have most often fled to Australia , Europe , North America and Southeast Asia .","These recent emigrants have most often fled to Australia, Europe, North America and Southeast Asia.",-1.848483205
131,tei are typically a place where high-level business or political meetings can take place discreetly .,Ry tei are a place where high-level business or political meetings can take place discreetly.,-3.268217802
132,decided to concentrate on the retail business instead of the shopping centers and opened larger stores which were called '' Walton 's Family Center . '',Walton decided to concentrate on the retail business instead of the shopping centers and opened larger stores which were called '' Walton's Family Center. '',-3.355192184
