,source_sentence,pred,bart_score
17,"PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","""PERSON@1 y Santib  ez -LRB- LOCATION@1, NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1, NUMBER@3 September NUMBER@4 -RRB- was a nobleman and writer of the Baroque era.",-0.725138545
18,He currently plays for the Japanese team Yokohama F. Marinos .,'He plays for Yokohama F. Marinos.,-1.700549364
19,More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1 .,'More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1.,-0.529040337
20,"In modern usage , sophism , sophist , and sophistry are derogatory terms , due to the influence of many past philosophers .","'In modern usage, sophism, sophist, and sophistry are derogatory terms due to the influence of many past philosophers.",-1.14587307
21,"Cadmium iodide , CdI2 , is a chemical compound of cadmium and iodine .","'Cadmium iodide, CdI2, is a chemical compound made of cadmium and iodine.",-1.171908259
22,"In professional wrestling , a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .","'In professional wrestling, a tag team consists of two wrestlers who are working together as a team.",-1.015616894
23,"One day , when the pianist failed to arrive by show time , PERSON@1 took his place .","'One day, when the pianist failed to arrive by show time, PERSON@1 took his place.",-1.030286193
24,His replacement was PERSON@1 leaving the band with the line-up they retain .,'His replacement was PERSON@2 leaving the band with the same line-up they retain.,-1.567641497
25,"According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- , PERSON@1 could dribble the ball as many as six times a second .",'According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- PERSON@1 could dribble the ball as many as six times a second.,-0.50919944
26,He bled to death after about an hour .,'He bled to death after about an hour.,-1.366898656
27,The first inhabitants settled in the territory of today 's Ain about 15000 B.C. .,'The first inhabitants settled in the territory of todays Ain about 15000 B.C..,-1.958123684
28,"Lost was the recipient of hundreds of US award nominations throughout its run , and won numerous industry awards , including the Emmy Award for US primetime Outstanding Drama Series in 2005 , Best American Import at the British Academy Television Awards in 2005 , the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series .","'Lost was the recipient of hundreds of US award nominations throughout its run, and won numerous industry awards, including the Emmy Award for US primetime Outstanding Drama Series in 2005, Best American Import at the British Academy Television Awards in 2005, the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.",-0.615397394
29,"The trackâ s reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- , even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 's PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5 .","""The track's reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB-.",-0.742222846
30,The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,'The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.,-0.909615219
31,"Wartburgkreis is a PERSON@1 -LRB- district -RRB- in the west of LOCATION@1 , LOCATION@2 .","'Wartburgkreis is a district in the west of LOCATION@1, LOCATION@2.",-1.342234373
32,"For example , many different things can be red .","'For example, many different things can be red.",-2.031031132
33,"Afrodisiac is the fourth studio album by American singer Brandy , released by Atlantic Records on June 28 , 2004 on most international territories and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .","'Afrodisiac is the fourth studio album by American singer Brandy, released on June 28, 2004 on Atlantic Records.",-1.109804392
34,"Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 , at LOCATION@1 in LOCATION@2 , LOCATION@3 .","'Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 at LOCATION@1 in LOCATION@2, LOCATION@3.",-0.889693916
35,"The second place rider , PERSON@1 , became the race 's official winner .","'The second place rider, PERSON@1, won the race.",-1.712007761
36,"Northampton Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .",'Northampton Town Football Club is an English football club.,-1.66029191
37,"Rawson , E. : '' Cicero , a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin , thus translating Greek philosophical works for a larger audience .","""Rawson, E. : Cicero, a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin, translating Greek philosophical works for a larger audience.",-0.777987421
38,The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1 .,'The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1.,-0.61027205
39,"In February 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .","""In February 2006, an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province, Indonesia.",-0.640066624
40,"A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich fluid seepage occurs , often in the form of a brine pool .","'A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide, methane and other hydrocarbon-rich fluid seepage occurs, often in the form of a brine pool.",-0.501190364
41,"As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and hence decode the original data .","'As long as values are received correctly, the receiver can deduce what the original polynomial was, and hence decode the original data.",-1.1598562
42,"The Retezat Mountains have many glacial lakes , including the largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- , which covers 8.9 ha and is situated at an altitude of 2030 metres .",'The Retezat Mountains have many glacial lakes.,-1.459142566
43,They were at first inspired by The Beatles and other sixties pop groups like The Kinks .,'They were first influenced by the Beatles and other sixties pop groups like The Kinks.,-1.413519025
44,The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s .,"'The idea of holding a Pan American Games came from the Central American Games, which were first organized in the 1920s.",-1.148101687
45,The actual confidence interval is calculated by entering the measured masses in the formula .,'The actual confidence interval is calculated by entering the measured masses in the formula.,-1.094498873
46,"If the lock does n't open , it means they 've counted wrong and they can go back and correct their mistakes .","""If the lock doesn't open, it means they've done something wrong and they can go back and correct their mistakes.",-1.379042149
47,"In addition to writing all six Rocky films , PERSON@1 also wrote Cobra , Driven and Rambo .","'He also wrote Cobra, Driven and Rambo.",-2.070286989
48,"Edinho , real name Edino Nazareth Filho , -LRB- born June 5 , 1955 in Rio de Janeiro -RRB- was a football -LRB- soccer -RRB- player from Brazil .","'Edinho Filho -LRB- born 5 June, 1955 -RRB- is a Brazilian football player.",-1.930819988
49,PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2 .,'PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2.,-1.294874191
50,He has reported for Independent Television News -LRB- ITN -RRB- .,'He has reported for Independent Television News -LRB- ITN -RRB-,-1.079841256
51,LOCATION@1 is a chemical element with the symbol Sg and atomic number NUMBER@1 .,'LOCATION@1 is a chemical element with the symbol Sg and atomic number NUMBER@1.,-0.786786318
52,'' There is her little Balochi-style face with pouting lips and insolent look in the eyes .,'There is her little Balochi-style face with pouting lips and insolent look in the eyes.,-0.561674595
53,"For example , if the frequency of an allele is 20 % in a given population , then among population members , one in five chromosomes will carry that allele .","'For example, if the frequency of an allele is 20 % in a given population, then one in five chromosomes will carry that allele.",-1.035519361
54,"A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work , while varying pressure , temperature , and other state variables , eventually returning a system to its initial state .","'A thermodynamic cycle is a series of processes that transfer heat and work, while changing pressure, temperature, and other state variables. These processes return the system to its original state.",-1.289064169
55,"Her real name was Maria Jansson , but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place were she worked .","""Her real name was Maria Jansson, but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place where she worked.",-0.579050064
56,She later held the title of Duchess of Teck by marriage .,'She later held the title of Duchess of Teck by marriage.,-1.13661778
57,"Texas A&M University , often referred to as A&M or TAMU , is a coeducational public research university located in College Station , Texas . It is the flagship institution of the Texas A&M University System .","'Texas A&M University is a public university in College Station, Texas.",-1.496152997
58,"Dikes are mostly built using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water , making the barrier potentially unstable in very dry seasons .",'The sand is prone to collapse due to oversaturation by water while dry peat is lighter than water.,-1.530215383
59,Italy purchased the city in 1905 and made Mogadishu the capital of Italian Somaliland .,'Italy bought the city in 1905 and made Mogadishu the capital of Italian Somaliland.,-0.909824312
60,Maquoketa -LRB- -RRB- is a city in Jackson county in the U.S. state of Iowa .,'Maquoketa is a city in the U.S. state of Iowa.,-1.113711119
61,"Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3 , LOCATION@4 and other cities of LOCATION@5 , LOCATION@6 , and LOCATION@7 , as well as LOCATION@8 .","'Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3, LOCATION@4 and other cities of LOCATION@5, LOCATION@6, and LOCATION@7, as well as LOCATION@8.",-0.535281181
62,"Billericay -LRB- -RRB- is a small commuter town in Essex , England with a population of 40,000 .","'Billericay is a small town in Essex, England.",-1.478406549
63,PERSON@1 -LRB- b. ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- d. LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous german composer and organist .,"'PERSON@1 -LRB- November NUMBER@1, NUMBER@2 -- July NUMBER@3, NUMBER@4 -RRB- was a famous composer and organist.",-1.744970441
64,Kluisbergen is a municipality located in the Belgian province of East Flanders .,'It is located in the Belgian province of East Flanders.,-1.792533875
65,"Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- is an English novelist and screenwriter , and one of Britain 's most highly regarded writers .","'Ian Russell McEwan -LRB- born June 21, 1948 -RRB- is an English writer and novelist.",-1.691484809
66,Ultratop is the official Belgian record charts .,'Ultratop is the official Belgian record charts chart.,-1.62670207
67,The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Do n't Like You -RRB- '' .,"""The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Don't Like You -RRB- ''.",-0.937577724
68,This warning was discontinued within NUMBER@1 hours .,'This warning was discontinued within NUMBER@1 hours.,-1.384956479
69,"It is the home of the Earl and Countess of Strathmore and Kinghorne , and is open to the public .",'It is the home of the Earl and Countess of Strathmore and Kinghorne.,-0.982159436
70,Electronic gear used by audiophiles can be bought at specialist shops and websites .,'Audio gear for audiophiles can be bought at specialist shops and websites.,-1.672365069
71,"The Rocker is a 2008 comedy starring Rainn Wilson , Josh Gad , Teddy Geiger , Emma Stone , Christina Applegate and Jason Sudeikis .",'The Rocker is a 2008 comedy movie.,-2.164578199
72,To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3 .,'To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3.,-0.795874238
73,"After the death of the child-king Baldwin V , his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort .","'After the death of the child king Baldwin V, his mother succeeds him as Sibylla of Jerusalem and appoints her husband Guy de Lusignan king consort.",-0.744846225
74,"Most commonly , nihilism is presented in the form of existential nihilism which argues that life is without objective meaning , purpose , or intrinsic value .","'Most commonly, nihilism is presented in the form of existential nihilism which argues that life is without objective meaning, purpose, or intrinsic value.",-0.883883178
75,"Marie Antoinette -LRB- pronounced ; ; -RRB- ; -LRB- Vienna , 2 November 1755 -- Paris , 16 October 1793 -RRB- was an Archduchess of Austria and Queen of France and of Navarre .","'Marie Antoinette -LRB- born November 2, 1755 in Vienna and died October 16, 1793 in Paris -RRB- was an Austrian princess.",-1.458103538
76,The ORGANIZATION@1 is open to the public .,'The ORGANIZATION@1 is open to the public.,-1.400965095
77,"Cheese is produced throughout the world in wide-ranging flavors , textures , and forms .","'Cheese is made in many flavors, textures, and forms throughout the world.",-1.76956439
78,"Outward appearance Throughout the series , Harry is described as sporting his father 's perpetually untidy black hair , his mother 's bright green eyes , and a lightning bolt-shaped scar on his forehead .","""Outward appearance Throughout the series, Harry is described as sporting his father's untidy black hair, his mother's bright green eyes, and a lightning bolt-shaped scar on his forehead.",-0.953800321
79,Billboard -LRB- Positive -RRB- link,'Billboard -LRB- link -RRB-,-3.216962099
80,he did his Phd in london . -RRB-,'He did his Phd in london.,-1.465237141
81,"NUMBER@1 & ndash ; PERSON@1 , French painter and graphic artist -LRB- d. NUMBER@2 -RRB-","'NUMBER@1 - PERSON@1, French painter and graphic artist -LRB- died NUMBER@2 -RRB-",-2.165366411
82,"No songs from the album have ever been performed live by Pink Floyd since , although Roger Waters has played a number of the songs live on all of his subsequent solo tours , starting with his very first such tour promoting The Pros and Cons of Hitchhiking in 1984 .",'No songs from the album have ever been performed live by Pink Floyd since.,-0.960492015
83,"He then attended the Methodist-affiliated Boston University , earning an A.B. in 1882 , and went on to graduate from Boston University School of Law in 1885 .","'He then went to the Methodist-affiliated Boston University, earning an A.B. in 1882. He went on to graduate from Boston University School of Law in 1885.",-0.946182072
84,It is the band 's only album produced by Rick Rubin .,"""It is the band's only album produced by Rick Rubin.",-1.259405613
85,"The dealer shuffles the cards , the player on the chair to their right cuts , and the dealer deals the appropriate number of cards to the players one at a time , beginning with the player to their left .","'The dealer shuffles the cards, the player on the chair to their right cuts, and the dealer deals the appropriate number of cards to the players one at a time, beginning with the player to their left.",-0.805927515
86,"The ORGANIZATION@1 , however , turned disarmed soldiers and civilians over to the partisan forces .",'The ORGANIZATION@1 turned disarmed soldiers and civilians over to the partisan forces.,-0.946032763
87,"They vary in size , but are usually not much larger than the areola .","'They are different in size, but are usually not much bigger than the areola.",-1.839537024
88,The first eyeborg was created in England in 2003 by Adam Montandon in collaboration with colourblind artist Neil Harbisson .,'The first eyeborg was made in England in 2003.,-1.962880969
89,"PERSON@1 had experienced PERSON@2 's tardiness , stage fright , and inability to remember lines during production of The Seven Year Itch .","""PERSON@1 had experienced PERSON@2's tardiness, stage fright, and inability to remember lines during production of The Seven Year Itch.",-0.926757991
90,The translation table rules established in this fashion are flushed after a short period without new traffic refreshing their state .,'The translation table rules are flushed after a short period without new traffic refreshing their state.,-1.21641314
91,Chess boxing is a hybrid sport which combines the sport of boxing with games of chess in alternating rounds .,'Chess boxing is a sport which combines the sport of boxing with chess in alternating rounds.,-1.185842037
92,"They are rebuilds , with reconditioned engines , of former Class NUMBER@1 locomotives , originally introduced in NUMBER@2 .","'They are rebuilds, with reconditioned engines, of former Class NUMBER@1 locomotives, originally introduced in NUMBER@2.",-0.858889103
93,His older brother died in 1715 and Charles Emmanuel then became heir apparent .,'His brother died in 1715 and Charles Emmanuel became his son.,-2.003360748
94,"It is a successor to the famous World War II ` Jeep ' vehicle by way of the Willys civilian Jeep -LRB- CJ -RRB- in the 1950s , later produced by Kaiser-Jeep and by American Motors -LRB- AMC -RRB- .","""It was a successor to the famous World War II  Jeep'vehicle by way of the Willys civilian Jeep -LRB- CJ -RRB- in the 1950s, later produced by Kaiser-Jeep and by American Motors -LRB- AMC -RRB-.",-1.266484737
95,"PERSON@1 -LRB- February NUMBER@1 , NUMBER@2 â '' September NUMBER@3 , NUMBER@4 -RRB- was an American politician and jurist .","""PERSON@1 -LRB- February NUMBER@1, NUMBER@2 â '' September NUMBER@3, NUMBER@4 -RRB- was an American politician and jurist.",-0.544363141
96,"PERSON@1 illegally entered the ring to enact revenge on Sniper and Recon on behalf of The ORGANIZATION@1 , PERSON@2 also illegally entered to eliminate PERSON@3 , and so left his partner PERSON@4 .","'PERSON@1 illegally entered the ring to kill Sniper and Recon on behalf of The ORGANIZATION@1, PERSON@2 also illegally entered to kill PERSON@3, and so left his partner PERSON@4.",-0.899034202
97,"For example , some animals can be entrained to a 22-hour day , but they can not be entrained to a 20-hour day .","'For example, some animals can be entrained to a 22-hour day, but they can not be entrained to a 20-hour day.",-0.899161637
98,"Pooh admits that this may happen , but asks her to think about what will happen to Michael if she does n't tell .","'Pooh admits that this may happen, but asks her to think about what will happen to Michael if she does not tell.",-1.117074609
99,"Porter , Theodore M. -LRB-/O1995/O-RRB- : Trust in Numbers : The Pursuit of Objectivity in Science and Public Life , Princeton University Press , 1995 .","'Porter, Theodore M. -LRB-/O1995/O-RRB- : Trust in Numbers : The Pursuit of Objectivity in Science and Public Life, Princeton University Press, 1995.",-0.883097053
100,Gene Simmons is a 1978 solo album from the bass player and singer of American hard rock band Kiss .,'Gene Simmons is a 1978 solo album from the bass player and singer of American hard rock band Kiss.,-0.786316276
101,"The Maya cities of the northern lowlands in Yucatán continued to flourish for centuries more ; some of the important sites in this era were Chichen Itza , Uxmal , Edzná , and Coba .","'Some of the important sites in this era were Chichen Itza, Uxmal, Edzná, and Coba.",-0.910085797
102,PERSON@1 has outlined us the road to the freedom And great PERSON@2 is leading us through it .,'PERSON@1 has shown us the road to freedom And great PERSON@2 is leading us through it.,-1.209572911
103,"There is a lot of data/O. , that will take up a lot of space .","'There is a lot of data/O., that will take up a lot of space.",-1.229128122
104,"Encino -LRB- Spanish for evergreen or holm oak -RRB- is a hilly district of the City of Los Angeles , California , United States .","'Encino -LRB- Spanish for evergreen or holm oak -RRB- is a hilly district of Los Angeles, California, United States.",-0.650333822
105,"PERSON@1 , the protagonist of her novel , was a bohemian .","'PERSON@1, the protagonist of her novel, was a bohemian.",-0.900851429
106,Karl Marginson,'Karl Marginson,-4.553257465
107,Perm -LRB- ; Gramota .,'Perm ; Gramota.,-3.044680357
108,"After escaping from slavery , into which she was born , she made thirteen missions to rescue more than 70 slaves using the network of antislavery activists and safe houses known as the Underground Railroad .","'After escaping from slavery, into which she was born, she made thirteen missions to rescue more than 70 slaves using the network of antislavery activists and safe houses known as the Underground Railroad.",-0.661060214
109,"His famous setting of '' It was a lover and his lass '' from As You Like It has never been established as having been used in a performance of Shakespeare 's play , though the possibility that it was is obvious .","""His famous setting of '' It was a lover and his lass '' from As You Like It has never been used in a performance of Shakespeare's play.",-0.745962024
110,"A derived binary relation between two sets is the subset relation , also called set inclusion .","'A derived binary relation between two sets is the subset relation, also called set inclusion.",-1.08188343
111,"Asperger syndrome is also called Asperger 's syndrome -LRB- AS -RRB- , Asperger -LRB- or Asperger 's -RRB- disorder -LRB- AD -RRB- , or just Asperger 's .","""Asperger syndrome is also known as Asperger's syndrome -LRB- AS -RRB-, Asperger's -LRB- AD -RRB- or just Asperger's.",-0.94554013
112,Oulens-sous-Echallens,'Oulens-sous-Echallens,-1.638342023
113,"As of , JyvÃ skylÃ had a population of .","'As of, the population of Jyv skyl was.",-3.645482302
114,"Barbara Pierce Bush was born at Baylor University Medical Center in Dallas , Texas .","'Barbara was born at Baylor University Medical Center in Dallas, Texas.",-1.30807066
115,"He won only 13 games while appearing in 43 out of Boston 's 48 games , which was the only time he missed games as a member of the Bruins .","""He won only 13 games while appearing in 43 out of Boston's 48 games. This was the only time he missed games as a member of the Bruins.",-0.889733851
116,"The memorial is managed by the ORGANIZATION@1 , which was established as per the Jallianwala Bagh National Memorial Act passed by the Government of LOCATION@1 in NUMBER@1 .",'The memorial is managed by the ORGANIZATION@1. It was established as per the Jallianwala Bagh National Memorial Act passed by the Government of LOCATION@1 in NUMBER@1.,-0.682453394
117,Lourmarin is a commune in the LOCATION@1 department in the Provence-Alpes-C Ã te d'Azur region in southeastern LOCATION@2 .,"""It is found in the region Provence-Alpes-C  te d'Azur in the LOCATION@1 department in the south of LOCATION@2.",-2.4540236
118,"It lies west southwest of Bristol , north of Plymouth and northwest of the county town of Exeter .","'It lies west southwest of Bristol, north of Plymouth and northwest of the county town of Exeter.",-1.113688469
119,"The four yellow arrows symbolize the native nations of LOCATION@1 , whereas their pointing into the four cardinal directions of the compass stands for the centralized emanating political power of LOCATION@2 , as the capital of the country .","'The four yellow arrows represent the native nations of LOCATION@1. Their turning into the four cardinal directions of the compass stands for the centralized emanating political power of LOCATION@2, the capital of the country.",-1.096259356
120,"After the fall of Saipan , the Japanese high command predicted that the Allies would try to capture the Philippines , which were strategically important because of their location between the oilfields of Southeast Asia and Japan .","'After the fall of Saipan, the Japanese high command predicted that the Allies would try to capture the Philippines, which were strategically important because of their location between the oil fields of Southeast Asia and Japan.",-0.647356391
121,"Aquincum , originally a ORGANIZATION@1 settlement , was the direct ancestor of LOCATION@1 , becoming the Roman capital of LOCATION@2 .","'Aquincum was the direct ancestor of LOCATION@1, becoming the Roman capital of LOCATION@2.",-1.040943623
122,"When the academy was founded , the ballroom was the biggest room in Stockholm that could be heated and thus used in the winter , so the king asked if he could borrow it .","'When the academy was founded, the ballroom was the biggest room in Stockholm that could be heated and used in the winter. The king asked if he could borrow it.",-0.867490947
123,"Re-runs still air on ORGANIZATION@1 and The Comedy Network in LOCATION@1 , ORGANIZATION@2 in the LOCATION@2 .","'Re-runs still air on ORGANIZATION@3 in LOCATION@1, ORGANIZATION@2 in the LOCATION@2.",-1.37048769
124,"The White Nights Festival in LOCATION@1 , LOCATION@2 is an annual international arts festival during the season of the midnight sun .","'The White Nights Festival in LOCATION@1, LOCATION@2 is an annual international arts festival during the season of the midnight sun.",-0.67285955
125,"ORGANIZATION@1 -LRB- pronounced '' AZ-har '' , ; , '' the Noble Azhar '' -RRB- in LOCATION@1 , founded in NUMBER@1 , is the chief centre of Arabic literature and Sunni Islamic learning in the world and the world 's second oldest surviving degree granting university .","""ORGANIZATION@1 -LRB- pronounced '' AZ-har '' -RRB- in LOCATION@1, founded in NUMBER@1, is the chief centre of Arabic literature and Sunni Islamic learning in the world.",-0.681695282
126,"Two years later , in NUMBER@1 , a combination of the physical standard from the ORGANIZATION@1 of LOCATION@1 and the ability standard from the ORGANIZATION@2 led to the English Springer Spaniel breed being officially recognized by the ORGANIZATION@3 .","'Two years later, in NUMBER@1, a combination of the physical standard from the ORGANIZATION@1 of LOCATION@1 and the ability standard from the ORGANIZATION@2 led to the English Springer Spaniel breed being officially recognized by the ORGANIZATION@3.",-0.472343057
127,"In probability theory and statistics , the normal distribution , or Gaussian distribution , is an absolutely continuous probability distribution whose cumulants of all orders above two are zero .","'In probability theory and statistics, the normal distribution, or Gaussian distribution, is an absolutely continuous probability distribution whose cumulants of all orders above two are zero.",-0.802531421
128,Survivor : Africa is the third season of the United States reality show Survivor .,'Survivor : Africa is the third season of the American reality show Survivor.,-1.095151186
129,"Dracula is an epistolary novel , written as a collection of realistic , but completely fictional , diary entries , telegrams , letters , ship 's logs , and newspaper clippings , all of which added a level of detailed realism to his story , a skill he developed as a newspaper writer .","'Dracula is an epistolary novel written as a collection of realistic, but completely fictional diary entries, letters, ship logs, and newspaper clippings. All of which added a level of detail to his story, a skill he developed as a newspaper writer.",-0.866669655
130,"These recent emigrants have most often fled to Australia , Europe , North America and Southeast Asia .","'These recent emigrants have most often fled to Australia, Europe, North America and Southeast Asia.",-0.999760628
131,RyÅ tei are typically a place where high-level business or political meetings can take place discreetly .,'Ry tei are usually a place where high-level business or political meetings can take place discreetly.,-1.438360095
132,Walton decided to concentrate on the retail business instead of the shopping centers and opened larger stores which were called '' Walton 's Family Center . '',"""Walton decided to concentrate on the retail business instead of the shopping centers. He opened larger stores which were called '' Walton's Family Center. ''",-0.861575723
