source_sentence,pred,gold,bert_score_precision_pred_with_brevity_penalty,sentence_id,bert_precision_gold_with_brevity_penalty
"Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- is an English novelist and screenwriter , and one of Britain 's most highly regarded writers .","Ian Russell McEwan CBE, FRSA -LRB- born 21 June 1948 -RRB- is an English writer.","Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- , is an English novelist -LRB- sometimes nicknamed '' Ian Macabre '' because of the nature of his early work -RRB- .",0.45533482332407316,65,0.46989212865414826
Ultratop is the official Belgian record charts .,Ultratop is the official Belgian record chart.,Ultratop is the name of the official Belgian record charts .,0.9174777964750926,66,0.9427975888053577
The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Do n't Like You -RRB- '' .,The album also has two bonus songs : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Don't Like You -RRB-.,The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Dont Like You -RRB- '' .,0.7462177572634395,67,0.7820206024502747
This warning was discontinued within NUMBER@1 hours .,This warning was discontinued within NUMBER@1 hours.,This warning was removed within NUMBER@1 hours .,0.9480834322155647,68,0.9543830178818613
"It is the home of the Earl and Countess of Strathmore and Kinghorne , and is open to the public .",It is the home of the Earl and Countess of Strathmore and Kinghorne and is open to the public.,It is the home of the Earl and Countess of Strathmore and Kinghorne .,0.9385176442333103,69,0.9317566377600444
Electronic gear used by audiophiles can be bought at specialist shops and websites .,Electronic gear used by audiophiles can be bought online.,Other websites,0.638464276279722,70,0.555711499282292
"The Rocker is a 2008 comedy starring Rainn Wilson , Josh Gad , Teddy Geiger , Emma Stone , Christina Applegate and Jason Sudeikis .","The Rocker is a 2008 movie starring Rainn Wilson, Josh Gad, Teddy Geiger, Emma Stone and Jason Sudeikis.",Cast,0.7329594342763187,71,0.5476820123104649
To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3 .,To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3.,"There is a mineral spring at LOCATION@1 , South of LOCATION@1 are the LOCATION@2 and the You LOCATION@3 .",0.9518530241080694,72,0.9406653080667768
"After the death of the child-king Baldwin V , his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort .","After the death of the child king Baldwin V, his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort.",Baldwin V of Jerusalem -LRB- b. 1177 -RRB-,0.9648458106177193,73,0.7572499743159513
"Most commonly , nihilism is presented in the form of existential nihilism which argues that life is without objective meaning , purpose , or intrinsic value .","Most commonly, nihilism is presented in the form of existential nihilism which argues that life is without objective meaning, purpose, or intrinsic value.","Nihilism is the belief that values are falsely invented . The term nihilism can also be used to describe the idea that life , or the world , has no distinct meaning or purpose .",0.9331881916975673,74,0.8699949791159811
"Marie Antoinette -LRB- pronounced ; ; -RRB- ; -LRB- Vienna , 2 November 1755 -- Paris , 16 October 1793 -RRB- was an Archduchess of Austria and Queen of France and of Navarre .","Marie-Antoinette -LRB- Vienna, 2 November 1755 -- Paris, 16 October 1793 -RRB- was an Archduchess of Austria and Queen of France and of Navarre.","Marie Antoinette -LRB- born Maria Antonia Josepha , Archduchess of Bavaria -RRB- -LRB- November 2 , 1755 in Vienna -- October 16 , 1793 in Paris -RRB- was an Archduchess of Austria and a Queen of France and Navarre .",0.7705338868227872,75,0.7733645439147949
The ORGANIZATION@1 is open to the public .,The ORGANIZATION@1 is open to the public.,The house is open to the public .,0.923776524407523,76,0.8709979823657444
"Cheese is produced throughout the world in wide-ranging flavors , textures , and forms .","Cheese is made throughout the world in many different flavors, textures, and forms.",Different types of cheese include :,0.8677219477566807,77,0.7729132974689658
"Outward appearance Throughout the series , Harry is described as sporting his father 's perpetually untidy black hair , his mother 's bright green eyes , and a lightning bolt-shaped scar on his forehead .","Throughout the series, Harry is described as sporting his father's perpetually untidy black hair, his mother's bright green eyes, and a lightning bolt-shaped scar on his forehead.","Throughout the entire series , Harry sports his father 's perpetually untidy black hair , his mother 's green eyes , and a lightning bolt-shaped scar on his forehead because of his encounter with Lord Voldemort and round , thick eyeglasses .",0.8123093080871245,78,0.8193502163185793
Billboard -LRB- Positive -RRB- link,Billboard -LRB- Positive -RRB- link,"This studio album was released June 10 , 2008 in the United States , June 9 , 2008 in Australia , and on May 30 , 2008 in Europe .",1.0,79,0.8009305596351624
he did his Phd in london . -RRB-,He did his Phd in london.,Department of Renewable Energy,0.7400956936180592,80,0.6110118702054024
"NUMBER@1 & ndash ; PERSON@1 , French painter and graphic artist -LRB- d. NUMBER@2 -RRB-","NUMBER@1 - PERSON@1, French painter and graphic artist -LRB- d. NUMBER@2 -RRB-","NUMBER@1 - PERSON@1 , painter and graphic artist -LRB- d. NUMBER@2 -RRB-",0.8284697121587293,81,0.8257108351279949
"No songs from the album have ever been performed live by Pink Floyd since , although Roger Waters has played a number of the songs live on all of his subsequent solo tours , starting with his very first such tour promoting The Pros and Cons of Hitchhiking in 1984 .","No songs from the album have ever been performed live by Pink Floyd since, although Roger Waters has played a number of the songs live on all of his subsequent solo tours, including The Pros and Cons of Hitchhiking in 1984.","None of the album 's songs has ever been performed live by Pink Floyd , though some have been performed live by Waters during solo tours .",0.7972377898558131,82,0.7393696510566856
"He then attended the Methodist-affiliated Boston University , earning an A.B. in 1882 , and went on to graduate from Boston University School of Law in 1885 .",He went on to graduate from Boston University School of Law in 1885.,"In 1902 , Bates was elected Governor , holding office from 1903 to 1905 .",0.38472055030774466,83,0.3574777117258386
It is the band 's only album produced by Rick Rubin .,It is the band's only album produced by Rick Rubin.,"3 : -LRB- The Subliminal Verses -RRB- is the third studio album by American alternative metal rock band , Slipknot .",0.9111381667964863,84,0.8179164641308335
"The dealer shuffles the cards , the player on the chair to their right cuts , and the dealer deals the appropriate number of cards to the players one at a time , beginning with the player to their left .","The dealer shuffles the cards, the player on the chair to their right cuts, and the dealer deals the number of cards to the players one at a time.","The deck is then cut , and the appropriate number of cards are dealt face-down to the players .",0.6712599981007318,85,0.6231663649892573
"The ORGANIZATION@1 , however , turned disarmed soldiers and civilians over to the partisan forces .",The ORGANIZATION@1 turned disarmed soldiers and civilians over to the partisan forces.,The ORGANIZATION@1 then turned over a number of them to the partisan forces .,0.8132303375186343,86,0.7974767949846057
"They vary in size , but are usually not much larger than the areola .","They vary in size, but are usually not that big.",They vary in size and are usually not much larger than the persons areola .,0.6248742393825365,87,0.6746007670526919
