source_sentence,pred,gold,sentence_id,bert_score_precision_pred_with_brevity_penalty
"simplify: The name combines the names of Laurentia , the name given to the North American craton , and Eurasia . As suggested by the geologic naming , Laurasia included most of the landmasses which make up today 's continents of the Northern Hemisphere , chiefly Laurentia -LRB- i.e. the core North American continent -RRB- , Baltica , Siberia , Kazakhstania , and the North China and East China cratons .","[""The name '' Laurasia '' means the landmasses which make up today's continents of the Northern Hemisphere.""]","Laurasia included most of the landmasses which make up today 's continents of the northern hemisphere , chiefly Laurentia -LRB- the name given to the North American craton -RRB- , Europe , Baltica , Siberia , Kazakhstan , and China .",10,0.226001286
"simplify: LOCATION@1 -LRB- , ; ; -RRB- is a commune in the Nord department in northern LOCATION@2 .",['LOCATION@1 is a commune of the Nord department in the northern part of LOCATION@2.'],LOCATION@1 is twinned with :,11,0.71339632
"simplify: In computing , a serial port is a serial communication physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB- .","['In computing, a serial port is a physical interface through which information transfers in or out one bit at a time -LRB- contrast parallel port -RRB-.']","In computing , a serial port is a serial communication physical interface through which information transfers , either in or out , one bit at a time -LRB- in contrast with parallel port -RRB- .",12,0.739391226
"simplify: It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed , and in many countries , they are known as the Zwergspitz -LRB- Dwarf Spitz -RRB- , or Toy German PERSON@1 .",['It has been determined by the ORGANIZATION@1 to be part of the German Spitz breed.'],The Pomeranian is a dog from LOCATION@1 -LRB- in LOCATION@2 and LOCATION@3 -RRB- .,13,0.353779013
"simplify: Henryk started piano and harmony training with his mother when he was 5 , and at age 7 turned to the violin , receiving instruction from Maurice Frenkel .","['He started piano and harmony training with his mother when he was 5. When he was 7, he learned the violin.']",Henryk started to learn the piano from his mother when he was five .,14,0.578968699
simplify: a.k.a. Pro Player Park -LRB- -RRB-,['Pro Player Park -LRB- -RRB-'],"The ORGANIZATION@1 are a ORGANIZATION@2 team in LOCATION@1 , LOCATION@2 .",15,0.605039695
simplify: He published partial research results in a NUMBER@1 book .,['He published part of his research in a NUMBER@1 book.'],He published some of his research in a NUMBER@1 book .,16,0.783992021
"simplify: PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , NUMBER@3 September NUMBER@4 -RRB- was a nobleman , politician and writer of the Baroque era .","[""PERSON@1 y Santib  ez -LRB- LOCATION@1, NUMBER@1 September NUMBER@2 â '' Villanueva de los ORGANIZATION@1, NUMBER@3 September NUMBER@4 -RRB- was a nobleman and writer of the Baroque era.""]","PERSON@1 y SantibÃ Ã ez PERSON@2 -LRB- LOCATION@1 , September NUMBER@1 , NUMBER@2 â '' Villanueva de los ORGANIZATION@1 , September NUMBER@3 , NUMBER@4 -RRB- was a nobleman , politician and writer of the Spanish Golden Age .",17,0.813375559
simplify: He currently plays for the Japanese team Yokohama F. Marinos .,['He plays for Yokohama F. Marinos.'],Tetsuya Enomoto -LRB- born 2 May 1983 -RRB- is a Japanese football player .,18,0.481141628
simplify: More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1 .,['More decreases are planned in the future as the LOCATION@1 hands over more and more of the security responsibility for defending the LOCATION@2 to the Military of the ORGANIZATION@1.'],"There were NUMBER@1 American military people , but now there are about NUMBER@2 .",19,0.936955783
"simplify: In modern usage , sophism , sophist , and sophistry are derogatory terms , due to the influence of many past philosophers .","['In modern usage, sophism, sophist, and sophistry are derogatory terms due to the influence of many past philosophers.']","In modern usage , sophism , sophist , and sophistry are derogatory terms , due the influence of many philosophers in the past -LRB- sophism and platonism were enemy schools -RRB- .",20,0.857424606
"simplify: Cadmium iodide , CdI2 , is a chemical compound of cadmium and iodine .","['Cadmium iodide, CdI2, is a chemical compound made of cadmium and iodine.']",Cadmium iodide is a chemical compound . Its chemical formula is CdI2 .,21,0.906072763
"simplify: In professional wrestling , a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .","['In professional wrestling, a tag team consists of two wrestlers who are working together as a team.']","In professional wrestling , a tag team is a team of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .",22,0.636095044
"simplify: One day , when the pianist failed to arrive by show time , PERSON@1 took his place .","['One day, when the pianist failed to arrive by show time, PERSON@1 took his place.']","One day , when the pianist did not arrive in time for the show , PERSON@1 played instead .",23,0.87381297
simplify: His replacement was PERSON@1 leaving the band with the line-up they retain .,['His replacement was PERSON@2 leaving the band with the same line-up they retain.'],PERSON@1 was his replacement .,24,0.9476389
"simplify: According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- , PERSON@1 could dribble the ball as many as six times a second .",['According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- PERSON@1 could dribble the ball as many as six times a second.'],"Instead , he started his own barnstorming team , the ORGANIZATION@2 .",25,0.636844126
simplify: He bled to death after about an hour .,['He bled to death after about an hour.'],Fechter bled to death after about an hour .,26,0.827982419
simplify: The first inhabitants settled in the territory of today 's Ain about 15000 B.C. .,['The first inhabitants settled in the territory of todays Ain about 15000 B.C..'],The first inhabitants of the Ain arrived around 15000 B.C. .,27,0.87027556
"simplify: Lost was the recipient of hundreds of US award nominations throughout its run , and won numerous industry awards , including the Emmy Award for US primetime Outstanding Drama Series in 2005 , Best American Import at the British Academy Television Awards in 2005 , the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series .","['Lost was the recipient of hundreds of US award nominations throughout its run, and won numerous industry awards, including the Emmy Award for US primetime Outstanding Drama Series in 2005, Best American Import at the British Academy Television Awards in 2005, the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series.']",It won many awards including the Emmy Award for outstanding drama series in 2005 and best American import at the British Academy Television Awards also in 2005 .,28,0.920516367
"simplify: The trackâ s reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- , even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 's PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5 .","[""The track's reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB-.""]",The 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- . None of the regular Indy drivers raced in Formula One .,29,0.429765475
simplify: The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,['The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.'],The animated series is produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,30,0.933249051
"simplify: Wartburgkreis is a PERSON@1 -LRB- district -RRB- in the west of LOCATION@1 , LOCATION@2 .","['Wartburgkreis is a district in the west of LOCATION@1, LOCATION@2.']","Wartburgkreis is a Landkreis -LRB- rural district -RRB- in the west of LOCATION@1 , LOCATION@2 .",31,0.650629558
"simplify: For example , many different things can be red .","['For example, many different things can be red.']","For example , many different things can be the color red .",32,0.806466413
"simplify: Afrodisiac is the fourth studio album by American singer Brandy , released by Atlantic Records on June 28 , 2004 on most international territories and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .","['Afrodisiac is the fourth studio album by American singer Brandy, released on June 28, 2004 on Atlantic Records.']","Afrodisiac is the fourth studio album by American R&B \/O/ pop singer Brandy , released by Atlantic Records on June 28 , 2004 outside North America and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .",33,0.394406439
"simplify: Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 , at LOCATION@1 in LOCATION@2 , LOCATION@3 .","['Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 at LOCATION@1 in LOCATION@2, LOCATION@3.']","PERSON@2 was born in LOCATION@1 , LOCATION@4 , LOCATION@5 .",34,0.849395533
"simplify: The second place rider , PERSON@1 , became the race 's official winner .","['The second place rider, PERSON@1, won the race.']","As PERSON@2 forfeited his Tour title , the second place rider , PERSON@1 , became the race 's official winner .",35,0.586223646
"simplify: Northampton Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .",['Northampton Town Football Club is an English football club.'],Northampton Town F.C. is an English football club .,36,0.209483969
"simplify: Rawson , E. : '' Cicero , a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin , thus translating Greek philosophical works for a larger audience .","[""Rawson, E. : Cicero, a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin, translating Greek philosophical works for a larger audience.""]",Works by Cicero,37,0.88791063
simplify: The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1 .,['The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1.'],Companies such as LOCATION@1 and PERSON@1 are still based in the town .,38,0.930449498
"simplify: In February 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .","[""In February 2006, an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province, Indonesia.""]","In February of 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .",39,0.936440377
"simplify: A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich fluid seepage occurs , often in the form of a brine pool .","['A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide, methane and other hydrocarbon-rich fluid seepage occurs, often in the form of a brine pool.']","A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich liquids leak out of the Earth 's crust , often in the form of a brine pool .",40,0.935137052
"simplify: As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and hence decode the original data .","['As long as values are received correctly, the receiver can deduce what the original polynomial was, and hence decode the original data.']","As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and decode the original data .",41,0.840933642
"simplify: The Retezat Mountains have many glacial lakes , including the largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- , which covers 8.9 ha and is situated at an altitude of 2030 metres .",['The Retezat Mountains have many glacial lakes.'],"The Retezat Mountains have many glacial lakes . The largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- is in these mountains .",42,0.225655046
simplify: They were at first inspired by The Beatles and other sixties pop groups like The Kinks .,['They were first influenced by the Beatles and other sixties pop groups like The Kinks.'],They were at first inspired by The Beatles and other typical sixties pop groups like The Kinks .,43,0.900095373
simplify: The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s .,"['The idea of holding a Pan American Games came from the Central American Games, which were first organized in the 1920s.']","From that time , the Games are held every four years .",44,0.938238722
simplify: The actual confidence interval is calculated by entering the measured masses in the formula .,['The actual confidence interval is calculated by entering the measured masses in the formula.'],The actual confidence interval is calculated by entering the measured weights in the formula .,45,0.909414088
"simplify: If the lock does n't open , it means they 've counted wrong and they can go back and correct their mistakes .","[""If the lock doesn't open, it means they've done something wrong and they can go back and correct their mistakes.""]","If the lock does n't open , it means they 've counted wrong and they can go back and fix their mistakes .",46,0.927479195
"simplify: In addition to writing all six Rocky films , PERSON@1 also wrote Cobra , Driven and Rambo .","['He also wrote Cobra, Driven and Rambo.']","PERSON@1 wrote all six Rocky films , He also wrote Cobra , Driven and Rambo .",47,0.400250192
"simplify: Edinho , real name Edino Nazareth Filho , -LRB- born June 5 , 1955 in Rio de Janeiro -RRB- was a football -LRB- soccer -RRB- player from Brazil .","['Edinho Filho -LRB- born 5 June, 1955 -RRB- is a Brazilian football player.']","Edino Nazareth Filho -LRB- born 5 June , 1955 -RRB- is a former Brazilian football player .",48,0.426053882
simplify: PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2 .,['PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2.'],PERSON@3 -- the youngest daughter of Mr. and Mrs. PERSON@2 .,49,0.899837142
simplify: He has reported for Independent Television News -LRB- ITN -RRB- .,['He has reported for Independent Television News -LRB- ITN -RRB-'],He has reported for Independent Television News .,50,0.867409642
simplify: LOCATION@1 is a chemical element with the symbol Sg and atomic number NUMBER@1 .,['LOCATION@1 is a chemical element with the symbol Sg and atomic number NUMBER@1.'],It has the symbol ORGANIZATION@1 . It has the atomic number NUMBER@1 .,51,0.829693253
simplify: '' There is her little Balochi-style face with pouting lips and insolent look in the eyes .,['There is her little Balochi-style face with pouting lips and insolent look in the eyes.'],'' There is her ... pouting lips and insolent look in the eyes .,52,0.885693012
"simplify: For example , if the frequency of an allele is 20 % in a given population , then among population members , one in five chromosomes will carry that allele .","['For example, if the frequency of an allele is 20 % in a given population, then one in five chromosomes will carry that allele.']",Allele frequencies may be used to describe genetic diversity in a population . If the frequency of any allele is above 1 % it is probable that natural selection is maintaining it at this level .,53,0.745109758
"simplify: A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work , while varying pressure , temperature , and other state variables , eventually returning a system to its initial state .","['A thermodynamic cycle is a series of processes that transfer heat and work, while changing pressure, temperature, and other state variables. These processes return the system to its original state.']",A thermodynamic cycle is a series of thermodynamic processes which returns a system to its initial state .,54,0.844770334
"simplify: Her real name was Maria Jansson , but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place were she worked .","[""Her real name was Maria Jansson, but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place where she worked.""]","Her real name was Maria Jansson , but she was always called Kisamor .",55,0.929331867
simplify: She later held the title of Duchess of Teck by marriage .,['She later held the title of Duchess of Teck by marriage.'],She later married the Duke of Teck .,56,0.872103367
"simplify: Texas A&M University , often referred to as A&M or TAMU , is a coeducational public research university located in College Station , Texas . It is the flagship institution of the Texas A&M University System .","['Texas A&M University is a public university in College Station, Texas.']","Texas A&M University is a public university in College Station , Texas .",57,0.292825168
"simplify: Dikes are mostly built using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water , making the barrier potentially unstable in very dry seasons .",['The sand is prone to collapse due to oversaturation by water while dry peat is lighter than water.'],"Availability of sand ,",58,0.389461648
simplify: Italy purchased the city in 1905 and made Mogadishu the capital of Italian Somaliland .,['Italy bought the city in 1905 and made Mogadishu the capital of Italian Somaliland.'],Italy bought the city in 1905 . They made Mogadiscio -LRB- Italian for Mogadishu -RRB- the capital of Italian Somaliland .,59,0.849883143
simplify: Maquoketa -LRB- -RRB- is a city in Jackson county in the U.S. state of Iowa .,['Maquoketa is a city in the U.S. state of Iowa.'],Maquoketa is a city of Iowa in the United States .,60,0.521919919
"simplify: Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3 , LOCATION@4 and other cities of LOCATION@5 , LOCATION@6 , and LOCATION@7 , as well as LOCATION@8 .","['Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3, LOCATION@4 and other cities of LOCATION@5, LOCATION@6, and LOCATION@7, as well as LOCATION@8.']","Many civilians and military officers in LOCATION@1 and the LOCATION@9 moved to LOCATION@4 and other surrounding areas of LOCATION@5 , LOCATION@6 , and LOCATION@7 .",61,0.916584851
"simplify: Billericay -LRB- -RRB- is a small commuter town in Essex , England with a population of 40,000 .","['Billericay is a small town in Essex, England.']",The,62,0.406524084
simplify: PERSON@1 -LRB- b. ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- d. LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous german composer and organist .,"['PERSON@1 -LRB- November NUMBER@1, NUMBER@2 -- July NUMBER@3, NUMBER@4 -RRB- was a famous composer and organist.']",PERSON@1 -LRB- born ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist .,63,0.660829557
simplify: Kluisbergen is a municipality located in the Belgian province of East Flanders .,['It is located in the Belgian province of East Flanders.'],"It is located at 50 46 North , 03 29 East .",64,0.640772357
"simplify: Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- is an English novelist and screenwriter , and one of Britain 's most highly regarded writers .","['Ian Russell McEwan -LRB- born June 21, 1948 -RRB- is an English writer and novelist.']","Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- , is an English novelist -LRB- sometimes nicknamed '' Ian Macabre '' because of the nature of his early work -RRB- .",65,0.443473258
simplify: Ultratop is the official Belgian record charts .,['Ultratop is the official Belgian record charts chart.'],Ultratop is the name of the official Belgian record charts .,66,0.94894383
simplify: The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Do n't Like You -RRB- '' .,"[""The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Don't Like You -RRB- ''.""]",The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Dont Like You -RRB- '' .,67,0.901298443
simplify: This warning was discontinued within NUMBER@1 hours .,['This warning was discontinued within NUMBER@1 hours.'],This warning was removed within NUMBER@1 hours .,68,0.844486554
"simplify: It is the home of the Earl and Countess of Strathmore and Kinghorne , and is open to the public .",['It is the home of the Earl and Countess of Strathmore and Kinghorne.'],It is the home of the Earl and Countess of Strathmore and Kinghorne .,69,0.631432992
simplify: Electronic gear used by audiophiles can be bought at specialist shops and websites .,['Audio gear for audiophiles can be bought at specialist shops and websites.'],Other websites,70,0.815151275
"simplify: The Rocker is a 2008 comedy starring Rainn Wilson , Josh Gad , Teddy Geiger , Emma Stone , Christina Applegate and Jason Sudeikis .",['The Rocker is a 2008 comedy movie.'],Cast,71,0.258826961
simplify: To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3 .,['To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3.'],"There is a mineral spring at LOCATION@1 , South of LOCATION@1 are the LOCATION@2 and the You LOCATION@3 .",72,0.883004498
"simplify: After the death of the child-king Baldwin V , his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort .","['After the death of the child king Baldwin V, his mother succeeds him as Sibylla of Jerusalem and appoints her husband Guy de Lusignan king consort.']",Baldwin V of Jerusalem -LRB- b. 1177 -RRB-,73,0.867099718
"simplify: Most commonly , nihilism is presented in the form of existential nihilism which argues that life is without objective meaning , purpose , or intrinsic value .","['Most commonly, nihilism is presented in the form of existential nihilism which argues that life is without objective meaning, purpose, or intrinsic value.']","Nihilism is the belief that values are falsely invented . The term nihilism can also be used to describe the idea that life , or the world , has no distinct meaning or purpose .",74,0.879561619
"simplify: Marie Antoinette -LRB- pronounced ; ; -RRB- ; -LRB- Vienna , 2 November 1755 -- Paris , 16 October 1793 -RRB- was an Archduchess of Austria and Queen of France and of Navarre .","['Marie Antoinette -LRB- born November 2, 1755 in Vienna and died October 16, 1793 in Paris -RRB- was an Austrian princess.']","Marie Antoinette -LRB- born Maria Antonia Josepha , Archduchess of Bavaria -RRB- -LRB- November 2 , 1755 in Vienna -- October 16 , 1793 in Paris -RRB- was an Archduchess of Austria and a Queen of France and Navarre .",75,0.622090833
simplify: The ORGANIZATION@1 is open to the public .,['The ORGANIZATION@1 is open to the public.'],The house is open to the public .,76,0.821332582
"simplify: Cheese is produced throughout the world in wide-ranging flavors , textures , and forms .","['Cheese is made in many flavors, textures, and forms throughout the world.']",Different types of cheese include :,77,0.727558783
"simplify: Outward appearance Throughout the series , Harry is described as sporting his father 's perpetually untidy black hair , his mother 's bright green eyes , and a lightning bolt-shaped scar on his forehead .","[""Outward appearance Throughout the series, Harry is described as sporting his father's untidy black hair, his mother's bright green eyes, and a lightning bolt-shaped scar on his forehead.""]","Throughout the entire series , Harry sports his father 's perpetually untidy black hair , his mother 's green eyes , and a lightning bolt-shaped scar on his forehead because of his encounter with Lord Voldemort and round , thick eyeglasses .",78,0.813545796
simplify: Billboard -LRB- Positive -RRB- link,['Billboard -LRB- link -RRB-'],"This studio album was released June 10 , 2008 in the United States , June 9 , 2008 in Australia , and on May 30 , 2008 in Europe .",79,0.666666746
simplify: he did his Phd in london . -RRB-,['He did his Phd in london.'],Department of Renewable Energy,80,0.654700337
"simplify: NUMBER@1 & ndash ; PERSON@1 , French painter and graphic artist -LRB- d. NUMBER@2 -RRB-","['NUMBER@1 - PERSON@1, French painter and graphic artist -LRB- died NUMBER@2 -RRB-']","NUMBER@1 - PERSON@1 , painter and graphic artist -LRB- d. NUMBER@2 -RRB-",81,0.786683439
"simplify: No songs from the album have ever been performed live by Pink Floyd since , although Roger Waters has played a number of the songs live on all of his subsequent solo tours , starting with his very first such tour promoting The Pros and Cons of Hitchhiking in 1984 .",['No songs from the album have ever been performed live by Pink Floyd since.'],"None of the album 's songs has ever been performed live by Pink Floyd , though some have been performed live by Waters during solo tours .",82,0.241933006
"simplify: He then attended the Methodist-affiliated Boston University , earning an A.B. in 1882 , and went on to graduate from Boston University School of Law in 1885 .","['He then went to the Methodist-affiliated Boston University, earning an A.B. in 1882. He went on to graduate from Boston University School of Law in 1885.']","In 1902 , Bates was elected Governor , holding office from 1903 to 1905 .",83,0.878928185
simplify: It is the band 's only album produced by Rick Rubin .,"[""It is the band's only album produced by Rick Rubin.""]","3 : -LRB- The Subliminal Verses -RRB- is the third studio album by American alternative metal rock band , Slipknot .",84,0.828048095
"simplify: The dealer shuffles the cards , the player on the chair to their right cuts , and the dealer deals the appropriate number of cards to the players one at a time , beginning with the player to their left .","['The dealer shuffles the cards, the player on the chair to their right cuts, and the dealer deals the appropriate number of cards to the players one at a time, beginning with the player to their left.']","The deck is then cut , and the appropriate number of cards are dealt face-down to the players .",85,0.911030486
"simplify: The ORGANIZATION@1 , however , turned disarmed soldiers and civilians over to the partisan forces .",['The ORGANIZATION@1 turned disarmed soldiers and civilians over to the partisan forces.'],The ORGANIZATION@1 then turned over a number of them to the partisan forces .,86,0.772966721
"simplify: They vary in size , but are usually not much larger than the areola .","['They are different in size, but are usually not much bigger than the areola.']",They vary in size and are usually not much larger than the persons areola .,87,0.943981647
simplify: The first eyeborg was created in England in 2003 by Adam Montandon in collaboration with colourblind artist Neil Harbisson .,['The first eyeborg was made in England in 2003.'],The first eyeborg was made in England in 2003 by Adam Montandon in collaboration with colourblind artist Neil Harbisson .,88,0.364677274
"simplify: PERSON@1 had experienced PERSON@2 's tardiness , stage fright , and inability to remember lines during production of The Seven Year Itch .","[""PERSON@1 had experienced PERSON@2's tardiness, stage fright, and inability to remember lines during production of The Seven Year Itch.""]","PERSON@1 had experienced PERSON@2 's lateness , stage fright , and inability to remember lines during production of The Seven Year Itch .",89,0.894914029
simplify: The translation table rules established in this fashion are flushed after a short period without new traffic refreshing their state .,['The translation table rules are flushed after a short period without new traffic refreshing their state.'],The translation table rules established in the above way are cleared after a short period without new traffic refreshing their state .,90,0.732314997
simplify: Chess boxing is a hybrid sport which combines the sport of boxing with games of chess in alternating rounds .,['Chess boxing is a sport which combines the sport of boxing with chess in alternating rounds.'],Chess boxing is a mixed sport which puts together the sport of boxing with games of chess in every other round .,91,0.792769793
"simplify: They are rebuilds , with reconditioned engines , of former Class NUMBER@1 locomotives , originally introduced in NUMBER@2 .","['They are rebuilds, with reconditioned engines, of former Class NUMBER@1 locomotives, originally introduced in NUMBER@2.']","They are rebuilds , with new engines , of older Class NUMBER@1 locomotives , originally introduced in NUMBER@3 .",92,0.887762036
simplify: His older brother died in 1715 and Charles Emmanuel then became heir apparent .,['His brother died in 1715 and Charles Emmanuel became his son.'],"His older brother , the Prince of Piedmont died in 1715 and then Charles Emmanuel became Heir apparent .",93,0.646045807
