source_sentence,gold_sentence,pred
"In professional wrestling , a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .","In professional wrestling , a tag team is a team of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB- .","In tag wrestling, a tag team consists of two wrestlers who are working together as a team -LRB- more than two is called a stable -RRB-."
"One day , when the pianist failed to arrive by show time , PERSON@1 took his place .","One day , when the pianist did not arrive in time for the show , PERSON@1 played instead .","One day, when the pianist failed to arrive by show time, PERSON@1 took his place."
His replacement was PERSON@1 leaving the band with the line-up they retain .,PERSON@1 was his replacement .,His replacement was PERSON@1 leaving the band with the line-up they keep.
"According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB- , PERSON@1 could dribble the ball as many as six times a second .","Instead , he started his own barnstorming team , the ORGANIZATION@2 .","According to the movie ORGANIZATION@1 : Six Decades of Magic -LRB-/O1988/O-RRB-, PERSON@1 could dribble the ball up to six times a second."
He bled to death after about an hour .,Fechter bled to death after about an hour .,He bled to death after about an hour.
The first inhabitants settled in the territory of today 's Ain about 15000 B.C. .,The first inhabitants of the Ain arrived around 15000 B.C. .,The first inhabitants settled in the land of today's Ain about 15000 B.C..
"Lost was the recipient of hundreds of US award nominations throughout its run , and won numerous industry awards , including the Emmy Award for US primetime Outstanding Drama Series in 2005 , Best American Import at the British Academy Television Awards in 2005 , the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series .",It won many awards including the Emmy Award for outstanding drama series in 2005 and best American import at the British Academy Television Awards also in 2005 .,"Lost won numerous industry awards, including the Emmy Award for primetime Outstanding Drama Series in 2005, Best American Import at the British Academy Television Awards in 2005, the Hollywood Foreign Press Association Golden Globe Award for Best Drama in 2006 and a US Screen Actors Guild Award for Outstanding Ensemble in a Drama Series."
"The trackâ s reputation improved so much the 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- , even though none of the Indy drivers raced in Formula One and only ORGANIZATION@1 's PERSON@1 of the NUMBER@4 drivers at the time raced in the NUMBER@5 .",The 500-Mile Race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB- . None of the regular Indy drivers raced in Formula One .,The race became part of the Formula One World Championship for NUMBER@1 years -LRB- NUMBER@2 â '' NUMBER@3 -RRB-.
The stories became the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,The animated series is produced by Cookie Jar Entertainment of Canada and Bee Train of Japan .,The stories were the basis of the animated television series produced by Cookie Jar Entertainment of Canada and Bee Train of Japan.
"Wartburgkreis is a PERSON@1 -LRB- district -RRB- in the west of LOCATION@1 , LOCATION@2 .","Wartburgkreis is a Landkreis -LRB- rural district -RRB- in the west of LOCATION@1 , LOCATION@2 .","Wartburgkreis is a district in the west of LOCATION@1, LOCATION@2."
"For example , many different things can be red .","For example , many different things can be the color red .","For example, many different things can be red."
"Afrodisiac is the fourth studio album by American singer Brandy , released by Atlantic Records on June 28 , 2004 on most international territories and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .","Afrodisiac is the fourth studio album by American R&B \/O/ pop singer Brandy , released by Atlantic Records on June 28 , 2004 outside North America and on June 29 , 2004 -LRB- see 2004 in music -RRB- in Canada and the United States .",Afrodisiac is the fourth studio album by American singer Brandy.
"Early life PERSON@1 was born on NUMBER@1 June NUMBER@2 , at LOCATION@1 in LOCATION@2 , LOCATION@3 .","PERSON@2 was born in LOCATION@1 , LOCATION@4 , LOCATION@5 .","Early life PERSON@1 was born on June NUMBER@1 NUMBER@2, at LOCATION@1 in LOCATION@2, LOCATION@3."
"The second place rider , PERSON@1 , became the race 's official winner .","As PERSON@2 forfeited his Tour title , the second place rider , PERSON@1 , became the race 's official winner .","The second place rider, PERSON@1, became the race's official winner."
"Northampton Town Football Club -LRB- -RRB- , -LRB- often simply known as Northampton , or by their nickname The Cobblers , after the local shoemaking industry -RRB- are an English professional football club based in Northampton , Northamptonshire .",Northampton Town F.C. is an English football club .,"Northampton Town Football Club -LRB- or Northampton County Football Club -RRB- is an English football club which plays in Northamptonshire, England."
"Rawson , E. : '' Cicero , a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin , thus translating Greek philosophical works for a larger audience .",Works by Cicero,"Rawson, E. : '' Cicero, a portrait '' -LRB-/O1975/O-RRB- p. 8 Cicero used his knowledge of Greek to translate many of the theoretical concepts of Greek philosophy into Latin."
The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1 .,Companies such as LOCATION@1 and PERSON@1 are still based in the town .,The importance of such industry is still seen in the town in the present day in companies such as LOCATION@1 and PERSON@1.
"In February 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .","In February of 2006 , an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province , Indonesia .","In February 2006, an expedition led by Conservation International reported finding a population of the mammals as part of what they described as a '' Lost world '' of wildlife in the Foja Mountains of Papua Province, Indonesia."
"A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich fluid seepage occurs , often in the form of a brine pool .","A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide , methane and other hydrocarbon-rich liquids leak out of the Earth 's crust , often in the form of a brine pool .","A cold seep -LRB- sometimes called a cold vent -RRB- is an area of the ocean floor where hydrogen sulfide, methane and other hydrocarbon-rich fluid seepage occurs, often in the form of a brine pool."
"As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and hence decode the original data .","As long as sufficient values are received correctly , the receiver can deduce what the original polynomial was , and decode the original data .","As long as enough values are received correctly, the receiver can deduce what the original polynomial was, and hence decode the original data."
"The Retezat Mountains have many glacial lakes , including the largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- , which covers 8.9 ha and is situated at an altitude of 2030 metres .","The Retezat Mountains have many glacial lakes . The largest glacial lake in Romania , Bucura Lake -LRB- lacul Bucura -RRB- is in these mountains .","The Retezat Mountains have many glacial lakes, including Bucura Lake -LRB- lacul Bucura -RRB-, which covers 8.9 ha and is situated at an altitude of 2030 metres."
They were at first inspired by The Beatles and other sixties pop groups like The Kinks .,They were at first inspired by The Beatles and other typical sixties pop groups like The Kinks .,They were at first inspired by The Beatles and other sixties pop groups like The Kinks.
The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s .,"From that time , the Games are held every four years .",The idea of holding a Pan American Games grew from the Central American Games which were first organized in the 1920s.
The actual confidence interval is calculated by entering the measured masses in the formula .,The actual confidence interval is calculated by entering the measured weights in the formula .,The actual confidence interval is calculated by entering the measured masses in the formula.
"If the lock does n't open , it means they 've counted wrong and they can go back and correct their mistakes .","If the lock does n't open , it means they 've counted wrong and they can go back and fix their mistakes .","If the lock does not open, it means they've counted wrong and they can go back and correct their mistakes."
"In addition to writing all six Rocky films , PERSON@1 also wrote Cobra , Driven and Rambo .","PERSON@1 wrote all six Rocky films , He also wrote Cobra , Driven and Rambo .","In addition to writing all six Rocky movies, PERSON@1 also wrote Cobra, Driven and Rambo."
"Edinho , real name Edino Nazareth Filho , -LRB- born June 5 , 1955 in Rio de Janeiro -RRB- was a football -LRB- soccer -RRB- player from Brazil .","Edino Nazareth Filho -LRB- born 5 June , 1955 -RRB- is a former Brazilian football player .",Edinho -LRB- born 5 June 1955 -RRB- is a former Brazilian football player.
PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2 .,PERSON@3 -- the youngest daughter of Mr. and Mrs. PERSON@2 .,PERSON@1 -- the sensible and reserved eldest daughter of Mr. and Mrs. PERSON@2.
He has reported for Independent Television News -LRB- ITN -RRB- .,He has reported for Independent Television News .,He has reported for Independent Television News -LRB- ITN -RRB-.
LOCATION@1 is a chemical element with the symbol Sg and atomic number NUMBER@1 .,It has the symbol ORGANIZATION@1 . It has the atomic number NUMBER@1 .,It has the chemical symbol Sg and atomic number NUMBER@1.
'' There is her little Balochi-style face with pouting lips and insolent look in the eyes .,'' There is her ... pouting lips and insolent look in the eyes .,'' There is her little Balochi-style face with pouting lips and insolent look in the eyes.
"For example , if the frequency of an allele is 20 % in a given population , then among population members , one in five chromosomes will carry that allele .",Allele frequencies may be used to describe genetic diversity in a population . If the frequency of any allele is above 1 % it is probable that natural selection is maintaining it at this level .,"For example, if the frequency of an allele is 20 % in a given population, then among population members, one in five chromosomes will carry that allele."
"A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work , while varying pressure , temperature , and other state variables , eventually returning a system to its initial state .",A thermodynamic cycle is a series of thermodynamic processes which returns a system to its initial state .,"A thermodynamic cycle consists of a series of thermodynamic processes transferring heat and work, while varying pressure, temperature, and other state variables, eventually returning a system to its initial state."
"Her real name was Maria Jansson , but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place were she worked .","Her real name was Maria Jansson , but she was always called Kisamor .","Her real name was Maria Jansson, but she is known in history as Kisamor -LRB- '' The Mother in Kisa '' -RRB- after the place where she worked."
She later held the title of Duchess of Teck by marriage .,She later married the Duke of Teck .,She later held the title of Duchess of Teck by marriage.
"Texas A&M University , often referred to as A&M or TAMU , is a coeducational public research university located in College Station , Texas . It is the flagship institution of the Texas A&M University System .","Texas A&M University is a public university in College Station , Texas .","Texas A&M University is a public university in College Station, Texas."
"Dikes are mostly built using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water , making the barrier potentially unstable in very dry seasons .","Availability of sand ,","Dikes are mostly built using locally available materials and each has its own risk factor : sand is prone to collapse due to oversaturation by water while dry peat is lighter than water, making the barrier potentially unstable in very dry seasons."
Italy purchased the city in 1905 and made Mogadishu the capital of Italian Somaliland .,Italy bought the city in 1905 . They made Mogadiscio -LRB- Italian for Mogadishu -RRB- the capital of Italian Somaliland .,Italy bought the city in 1905 and made it the capital of Italian Somaliland.
Maquoketa -LRB- -RRB- is a city in Jackson county in the U.S. state of Iowa .,Maquoketa is a city of Iowa in the United States .,Maquoketa is a city in the U.S. state of Iowa.
"Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3 , LOCATION@4 and other cities of LOCATION@5 , LOCATION@6 , and LOCATION@7 , as well as LOCATION@8 .","Many civilians and military officers in LOCATION@1 and the LOCATION@9 moved to LOCATION@4 and other surrounding areas of LOCATION@5 , LOCATION@6 , and LOCATION@7 .","Many civilians and military officers living or stationed in LOCATION@1 and the LOCATION@2 moved to LOCATION@3, LOCATION@4 and other cities of LOCATION@5, LOCATION@6, and LOCATION@7, as well as LOCATION@8."
"Billericay -LRB- -RRB- is a small commuter town in Essex , England with a population of 40,000 .",The,"Billericay is a small town in Essex, England."
PERSON@1 -LRB- b. ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- d. LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous german composer and organist .,PERSON@1 -LRB- born ORGANIZATION@1 NUMBER@1 November NUMBER@2 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist .,PERSON@1 -LRB- NUMBER@1 November NUMBER@2 -- died LOCATION@1 NUMBER@3 July NUMBER@4 -RRB- was a famous German composer and organist.
Kluisbergen is a municipality located in the Belgian province of East Flanders .,"It is located at 50 46 North , 03 29 East .",Kluisbergen is a municipality located in the Belgian province of East Flanders.
"Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- is an English novelist and screenwriter , and one of Britain 's most highly regarded writers .","Ian Russell McEwan CBE , FRSA , FRSL -LRB- born 21 June 1948 -RRB- , is an English novelist -LRB- sometimes nicknamed '' Ian Macabre '' because of the nature of his early work -RRB- .","Ian Russell McEwan -LRB- born June 21, 1948 -RRB- is an English writer."
Ultratop is the official Belgian record charts .,Ultratop is the name of the official Belgian record charts .,Ultratop is the official Belgian record charts.
The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Do n't Like You -RRB- '' .,The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' Hate -LRB- I Really Dont Like You -RRB- '' .,The Best Buy version of the album contains two bonus tracks : '' Hold On '' and an acoustic demo of '' I Really Don't Like You -RRB-.
This warning was discontinued within NUMBER@1 hours .,This warning was removed within NUMBER@1 hours .,This warning was stopped within NUMBER@1 hours.
"It is the home of the Earl and Countess of Strathmore and Kinghorne , and is open to the public .",It is the home of the Earl and Countess of Strathmore and Kinghorne .,It is the home of the Earl and Countess of Strathmore and Kinghorne.
Electronic gear used by audiophiles can be bought at specialist shops and websites .,Other websites,Electronic gear used by audiophiles can be bought at specialist shops and websites.
"The Rocker is a 2008 comedy starring Rainn Wilson , Josh Gad , Teddy Geiger , Emma Stone , Christina Applegate and Jason Sudeikis .",Cast,"The Rocker is a 2008 comedy starring Rainn Wilson, Josh Gad, Teddy Geiger, Emma Stone, Christina Applegate and Jason Sudeikis."
To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3 .,"There is a mineral spring at LOCATION@1 , South of LOCATION@1 are the LOCATION@2 and the You LOCATION@3 .",To the south of LOCATION@1 are the LOCATION@2 and the You LOCATION@3.
"After the death of the child-king Baldwin V , his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort .",Baldwin V of Jerusalem -LRB- b. 1177 -RRB-,"After the death of the child-king Baldwin V, his mother succeeds him as Sibylla of Jerusalem and appoints her disfavoured husband Guy de Lusignan king consort."
"Most commonly , nihilism is presented in the form of existential nihilism which argues that life is without objective meaning , purpose , or intrinsic value .","Nihilism is the belief that values are falsely invented . The term nihilism can also be used to describe the idea that life , or the world , has no distinct meaning or purpose .","Most often, nihilism is presented in the form of existential nihilism which says that life has no purpose or intrinsic value."
"Marie Antoinette -LRB- pronounced ; ; -RRB- ; -LRB- Vienna , 2 November 1755 -- Paris , 16 October 1793 -RRB- was an Archduchess of Austria and Queen of France and of Navarre .","Marie Antoinette -LRB- born Maria Antonia Josepha , Archduchess of Bavaria -RRB- -LRB- November 2 , 1755 in Vienna -- October 16 , 1793 in Paris -RRB- was an Archduchess of Austria and a Queen of France and Navarre .","Marie Antoinette -LRB- Vienna, 2 November 1755 -- Paris, 16 October 1793 -RRB- was an Archduchess of Austria and Queen of France."
The ORGANIZATION@1 is open to the public .,The house is open to the public .,The ORGANIZATION@1 is open to the public.
"Cheese is produced throughout the world in wide-ranging flavors , textures , and forms .",Different types of cheese include :,"Cheese is produced throughout the world in many flavors, textures, and forms."
"Outward appearance Throughout the series , Harry is described as sporting his father 's perpetually untidy black hair , his mother 's bright green eyes , and a lightning bolt-shaped scar on his forehead .","Throughout the entire series , Harry sports his father 's perpetually untidy black hair , his mother 's green eyes , and a lightning bolt-shaped scar on his forehead because of his encounter with Lord Voldemort and round , thick eyeglasses .","Throughout the series, Harry is described as sporting his father's untidy black hair, his mother's bright green eyes, and a lightning bolt-shaped scar on his forehead."
Billboard -LRB- Positive -RRB- link,"This studio album was released June 10 , 2008 in the United States , June 9 , 2008 in Australia , and on May 30 , 2008 in Europe .",Billboard -LRB- Positive -RRB- link
he did his Phd in london . -RRB-,Department of Renewable Energy,He did his Phd in london.
"NUMBER@1 & ndash ; PERSON@1 , French painter and graphic artist -LRB- d. NUMBER@2 -RRB-","NUMBER@1 - PERSON@1 , painter and graphic artist -LRB- d. NUMBER@2 -RRB-","NUMBER@1 - PERSON@1, French painter and graphic artist -LRB- died NUMBER@2 -RRB-"
"No songs from the album have ever been performed live by Pink Floyd since , although Roger Waters has played a number of the songs live on all of his subsequent solo tours , starting with his very first such tour promoting The Pros and Cons of Hitchhiking in 1984 .","None of the album 's songs has ever been performed live by Pink Floyd , though some have been performed live by Waters during solo tours .",Roger Waters has played a number of the songs live on all of his subsequent solo tours.
"He then attended the Methodist-affiliated Boston University , earning an A.B. in 1882 , and went on to graduate from Boston University School of Law in 1885 .","In 1902 , Bates was elected Governor , holding office from 1903 to 1905 .","He then went to the Methodist-affiliated Boston University. He earned an A.B. in 1882, and went on to get a law degree from Boston University in 1885."
It is the band 's only album produced by Rick Rubin .,"3 : -LRB- The Subliminal Verses -RRB- is the third studio album by American alternative metal rock band , Slipknot .",It is the band's only album produced by Rick Rubin.
"The dealer shuffles the cards , the player on the chair to their right cuts , and the dealer deals the appropriate number of cards to the players one at a time , beginning with the player to their left .","The deck is then cut , and the appropriate number of cards are dealt face-down to the players .","The dealer shuffles the cards, the player on the table to their right cuts, and the dealer deals the appropriate number of cards to the players one at a time, beginning with the player to their left."
"The ORGANIZATION@1 , however , turned disarmed soldiers and civilians over to the partisan forces .",The ORGANIZATION@1 then turned over a number of them to the partisan forces .,The ORGANIZATION@1 turned disarmed soldiers and civilians over to the partisan forces.
"They vary in size , but are usually not much larger than the areola .",They vary in size and are usually not much larger than the persons areola .,"They are different in size, but are usually not much larger than the areola."
The first eyeborg was created in England in 2003 by Adam Montandon in collaboration with colourblind artist Neil Harbisson .,The first eyeborg was made in England in 2003 by Adam Montandon in collaboration with colourblind artist Neil Harbisson .,The first eyeborg was made in England in 2003 by Adam Montandon in collaboration with colourblind artist Neil Harbisson.
"PERSON@1 had experienced PERSON@2 's tardiness , stage fright , and inability to remember lines during production of The Seven Year Itch .","PERSON@1 had experienced PERSON@2 's lateness , stage fright , and inability to remember lines during production of The Seven Year Itch .","PERSON@1 had experienced PERSON@2's tardiness, stage fright, and inability to remember lines during production of The Seven Year Itch."
The translation table rules established in this fashion are flushed after a short period without new traffic refreshing their state .,The translation table rules established in the above way are cleared after a short period without new traffic refreshing their state .,The translation table rules in this fashion are flushed after a short period without new traffic refreshing their state.
Chess boxing is a hybrid sport which combines the sport of boxing with games of chess in alternating rounds .,Chess boxing is a mixed sport which puts together the sport of boxing with games of chess in every other round .,Chess boxing is a hybrid sport which combines the sport of boxing with games of chess in alternating rounds.
"They are rebuilds , with reconditioned engines , of former Class NUMBER@1 locomotives , originally introduced in NUMBER@2 .","They are rebuilds , with new engines , of older Class NUMBER@1 locomotives , originally introduced in NUMBER@3 .","They are rebuilds, with reconditioned engines, of former Class NUMBER@1 locomotives, originally introduced in NUMBER@2."
His older brother died in 1715 and Charles Emmanuel then became heir apparent .,"His older brother , the Prince of Piedmont died in 1715 and then Charles Emmanuel became Heir apparent .",His older brother died in 1715.
"It is a successor to the famous World War II ` Jeep ' vehicle by way of the Willys civilian Jeep -LRB- CJ -RRB- in the 1950s , later produced by Kaiser-Jeep and by American Motors -LRB- AMC -RRB- .","It replaced the Jeep CJ which came from the World War II Jeep , or Willys MB .",It is a replacement to the famous World War II  Jeep'vehicle by way of the Willys civilian Jeep -LRB- CJ -RRB- in the 1950s.
"PERSON@1 -LRB- February NUMBER@1 , NUMBER@2 â '' September NUMBER@3 , NUMBER@4 -RRB- was an American politician and jurist .","PERSON@2 -LRB- February NUMBER@1 , NUMBER@2 â '' September NUMBER@3 , NUMBER@4 -RRB- was an American judge and politician .","PERSON@1 -LRB- February NUMBER@1, NUMBER@2 â '' September NUMBER@3, NUMBER@4 -RRB- was an American politician and jurist."
"PERSON@1 illegally entered the ring to enact revenge on Sniper and Recon on behalf of The ORGANIZATION@1 , PERSON@2 also illegally entered to eliminate PERSON@3 , and so left his partner PERSON@4 .","PERSON@1 illegally entered the ring to get revenge on Sniper and Recon for The ORGANIZATION@1 , PERSON@2 also illegally entered to eliminate PERSON@3 , and so his partner , PERSON@4 , had to leave too .","PERSON@1 illegally entered the ring to make revenge on Sniper and Recon for The ORGANIZATION@1, PERSON@2 also illegally entered to eliminate PERSON@3, and so left his partner PERSON@4."
"For example , some animals can be entrained to a 22-hour day , but they can not be entrained to a 20-hour day .","Some animals can be entrained to a 22-hour day , but they can not be entrained to a 20-hour day .","For example, some animals can be entrained to a 22-hour day, but they cannot be entrained to a 20-hour day."
"Pooh admits that this may happen , but asks her to think about what will happen to Michael if she does n't tell .","Pooh admits that this may happen , but asks her to think about what will happen to Michael if she does not tell .","Pooh admits that this may happen, but asks her to think about what will happen to Michael if she doesn't tell."
"Porter , Theodore M. -LRB-/O1995/O-RRB- : Trust in Numbers : The Pursuit of Objectivity in Science and Public Life , Princeton University Press , 1995 .","Porter , Theodore M. -LRB-/O1995/O-RRB- : Trust in Numbers : The Pursuit of Objectivity in Science and Public Life , Princeton University Press , 1995","Porter, Theodore M. -LRB-/O1995/O-RRB- : Trust in Numbers : The Pursuit of Objectivity in Science and Public Life, Princeton University Press, 1995."
Gene Simmons is a 1978 solo album from the bass player and singer of American hard rock band Kiss .,"Gene Simmons is a solo album by Gene Simmons , the bass player of the American hard rock/heavy metal band , Kiss .",Gene Simmons is a 1978 solo album from the bass player and singer of hard rock band Kiss.
"The Maya cities of the northern lowlands in Yucatán continued to flourish for centuries more ; some of the important sites in this era were Chichen Itza , Uxmal , Edzná , and Coba .","Some of the important sites in this era were Chichen Itza , Uxmal , Edzná , and Coba .","The Maya cities of the northern lowlands in Yucatán continued to prosper for centuries more ; some of the important sites in this era were Uxmal, Edzná, and Coba."
