source_sentence,pred,sentence_id,Coherence,All entities mentioned in the source sentence are present in the simplified sentence,All entities mentioned in the simplified sentence are present in the source sentence,Factually consistent,Sufficiently Simplified,Total
Billy Talent LRB formerly known as Pezz RRB is a Juno award winning Canadian band formed in in Mississauga Ontario.,lrb o o o rrb,1369,0,0,0,0,0,0
Muzio Filippo Vincenzo Francesco Saverio Clementi LRB baptized Mutius Philippus Vincentius Franciscus Xaverius RRB was born in Rome Italy on January and the following day baptized in the local church of S. Lorenzo in Damaso.,he was born in rome italy.,5660,1,0,1,1,1,4
The first variable star was identified in when Johannes Holwarda noticed that Omicron Ceti LRB later named Mira RRB pulsated in a cycle taking months the star had previously been described as a nova by David Fabricius in.,nova nova novae nova nova.,4676,0,0,0,0,0,0
Unlike Disney s two Peter Pan films featuring the character which were produced primarily using traditional animation Tinker Bell was produced using digital D modeling.,comp. com. com com.,1906,0,0,0,0,0,0
Watson xvii Another reason identified by the Chinese historian William Hung is that Chinese poems are typically extremely concise omitting circumstantial factors that might be relevant but which could be reconstructed by an informed contemporary.,william w. o o o. lrb o o rrb,2600,0,0,0,0,0,0
The Battle of Antietam LRB RRB LRB also known as the Battle of Sharpsburg particularly in the South RRB fought on September near Sharpsburg Maryland and Antietam Creek as part of the Maryland Campaign was the first major battle in the American Civil War to take place on Northern soil.,antietam an antidote to antiviretam.,6851,0,0,0,0,1,1
Yoshi s Island DS uses the updated graphical style from Yoshi Touch Go but retains the same core gameplay as its Super Nintendo Entertainment System predecessor but whereas the SNES game featured only Baby Mario DS introduces Baby Peach Baby DK and Baby Wario and lets the player control Baby Bowser LRB who was a boss in SMW RRB who each give Yoshi a different ability.,it is now an updated version of the update.,6893,0,0,0,0,1,1
The term may describe eczema which is also called dermatitis eczema and eczematous dermatitis. An eczema diagnosis often implies atopic dermatitis LRB childhood eczema RRB but without proper context means nothing more than a rash.,it is also known as an echidia.,4092,1,0,0,0,1,2
NUMBER ndash World War I the deadliest German air raid on LOCATION during World War I is carried out by LOCATION G bombers and results in NUMBER deaths including NUMBER children and NUMBER injuries.,person lrb d. number rrb,4530,0,0,0,0,1,1
At normal ambient conditions such as standard temperature and pressure most real gases behave qualitatively like an ideal gas.,pnp lrb dnp rrb,4192,0,0,0,0,0,0
No firm dates can be assigned to this emperor s life but he is conventionally considered to have reigned from to B.C. Titsingh Isaac LRB O O RRB.,tilly lrb o o. rrb,819,0,0,0,0,0,0
Pagat.com A History of Poker by David Parlett In the edition of Foster s Complete Hoyle R. F. Foster wrote the game of poker as first played in the United States five cards to each player from a twenty card pack is undoubtedly the Persian game of as nas.,card five card stud studine card.,912,0,0,0,0,1,1
Formed in NUMBER the club traditionally represented the inner Melbourne suburb of LOCATION however it has now moved its training and administration base to PERSON s Paddock and the LOCATION Sports and Entertainment Centre at LOCATION in LOCATION. In NUMBER LOCATION moved its home games from its traditional suburban home ground LOCATION to the much larger LOCATION Cricket Ground.,it is a suburb of location in location location location.,3778,1,0,0,0,1,2
In NUMBER it was confirmed that the classic lineup LRB NUMBER RRB of Guided by Voices would reunite to perform at ORGANIZATION st anniversary in LOCATION and that the band would play additional dates after the Matador show.,it is named after bee bee bee.,3936,1,0,0,0,1,2
An office is generally a room or other area in which people work but may also denote a position within an organization with specific duties attached to it LRB see officer office holder official RRB the latter is in fact an earlier usage office as place originally referring to the location of one s duty.,a room is a room where people work in a room.,5281,1,0,0,0,1,2
The club has had several name changes since first appearing in the most important of these was in when it was changed from Associazione Calcio Napoli to Societ Sportiva Calcio Napoli. The most recent change was in when the club went bankrupt but was refounded by film producer Aurelio De Laurentiis as Napoli Soccer he restored the name to Societ Sportiva Calcio Napoli in early.,soccavia is a football club which plays in location.,2754,1,0,0,0,1,2
Air masses are large bodies of air with similar properties of temperature and humidity that form over source regions and the warm air masses behind warm fronts are not only warmer but higher in humidity than the colder air preceding them. Because of a warm air mass s higher temperature and thus lesser density mixing between the two air masses is unlikely.,it is warm and cool than the air from the upper air.,2076,1,0,1,0,1,3
Produced by the late PERSON a Russian music mogul famous for his work with PERSON in the LOCATION PERSON attempted to reach Eurovision previously with the song Not That Simple in NUMBER finishing in second place at the Russian national selection.,he finished fifth in the grand prix.,6415,1,0,1,0,1,3
Club Penguin is a MMORPG LRB massively multiplayer online role playing game RRB involving a virtual world containing a range of online games and activities developed by Club Penguin Entertainment LRB formerly New Horizon Interactive RRB.,the club is based in location.,4067,1,0,0,0,1,2
With the plant now missing EVE is considered defective and taken to the repair ward along with WALL E for cleanup. WALL E mistakes EVE s inspection for torture and tries to save her accidentally releasing a horde of malfunctioning robots getting himself and EVE designated as rogue robots.,eve and eve are both in love and are alive.,3051,1,0,0,0,1,2
Mainstream films can best be defined as commercial films that have a wide release and play in first run theaters LRB A movie theater that runs primarily mainstream film fare from the major film companies and distributors during the initial release period of each film RRB.,in movies in location and in the movies,4144,0,0,0,0,1,1
His TV works spanned a year period during which he created The Patty Duke Show LRB RRB I Dream of Jeannie LRB RRB and Hart to Hart LRB RRB but it was not until after he turned and began writing best selling novels such as Master of the Game LRB O O RRB The Other Side of Midnight LRB O O RRB and Rage of Angels LRB O O RRB that he became most famous.,the inferno of evil is a book written by lord of evil.,5394,1,0,0,0,1,2
Marching band is a group of instrumental musicians and usually dance teams O color guard who generally perform outdoors and incorporate some type of marching LRB and possibly onto other movements RRB with their musical performance.,it was released on march number.,1579,0,0,0,0,1,1
The spring scale apparatus is simply a spring fixed at one end with a hook to attach an object at the other. It works by PERSON s Law which states that the force needed to extend a spring is proportional to the distance that spring is extended from its rest position.,a spring spring spring is a small spring.,2739,0,0,0,0,1,1
DPA report Mass grave found in Bangladesh in The Chandigarh Tribune August The first night of war on Bengalis which is documented in telegrams from the American Consulate in Dhaka to the United States State Department saw indiscriminate killings of students of Dhaka University and other civilians.,the film was released in july in lahore india.,2440,0,0,0,0,1,1
They have supported Girls Aloud on the tour for their Tangled Up album and fellow labelmates Jonas Brothers at one of their recent live dates in London.,bonscivivivivo pop pop.,1084,0,0,0,0,0,0
In contrast passionate love is marked by infatuation intense preoccupation with the partner strong sexual longing throes of ecstasy and feelings of exhilaration that come from being reunited with the partner.,sexual partners lrb number rrb.,6640,0,0,0,0,1,1
It is also home to the regional offices of the ORGANIZATION and the ORGANIZATION. The ORGANIZATION campus offers engineering programs in conjunction with ORGANIZATION ORGANIZATION ORGANIZATION and ORGANIZATION.,it is also known as organization.,3502,0,0,0,0,1,1
In male human anatomy the foreskin is a generally retractable double layered fold of skin and mucous membrane that covers the glans penis and protects the urinary meatus LRB RRB when the penis is not erect.,it is used for use in the use.,1508,0,0,0,0,1,1
A trademark or trade markThe styling of trademark as a single word is predominantly used in the United States and Philippines only while the two word styling trade mark is used in many other countries around the world including the European Union and Commonwealth and ex Commonwealth jurisdictions LRB although Canada officially uses trade mark pursuant to the Trade mark Act trade mark and trademark are also commonly used RRB.,the law in germany is the subject of the law made by the reichsgahlau.,1112,1,0,0,0,1,2
Biomes are climatically and geographically defined as similar climatic conditions on the Earth such as communities of plants animals and soil organisms The World s Biomes Retrieved August from University of California Museum of Paleontology and are often referred to as ecosystems.,bio bio bioregions are bio biomes of the earth.,3230,0,0,0,0,1,1
PERSON LRB or PERSON or Henle or Hele RRB LRB NUMBER ndash August NUMBER RRB a locksmith and watchmaker from LOCATION is often considered the inventor of the portable timekeeper making him the inventor of the watch but this claim is disputed.,person person person in person person.,3628,0,0,0,0,1,1
Macroeconomics LRB from Greek prefix macr LRB o RRB meaning large economics RRB is a branch of economics that deals with the performance structure behavior and decision making of the entire economy be that a national regional or the global economy.,pages pages pages and pages pages rrb,4961,0,0,0,0,1,1
Dill LRB Anethum graveolens RRB is a short lived perennial herb.,a. m. a. d.,6578,0,0,0,0,0,0
Asclepias amplexicaulis at Connecticut Botanical Society It contains a poison dangerous to humans and livestock special care must be taken when using this plant.,pyrus is a mythic myth.,4549,0,0,0,0,1,1
The kick drum struck with a beater attached to a pedal is usually seen on drum kits. The third type the pitched bass drum is generally used in marching bands and drum corps.,a bass drum is a type of drum.,3542,0,0,1,0,1,2
While traditional mysteries usually adhere to the convention of having the criminal s identity concealed until the climax LRB the so called whodunit RRB in police procedurals the perpetrator s identity is often known to the audience from the outset.,there have been more than one of them.,5233,0,0,0,0,1,1
In the Clan released Iron Flag an album which made extensive use of outside producers and guests.,flag lrb o o rrb,1122,0,0,0,0,0,0
During PERSON s early adult years he was greatly influenced by the classic books PERSON s Holy Living and Holy Dying PERSON The Imitation of PERSON and PERSON s two books Christian Perfection and A Serious Call to a Devout and Holy Life.,history early life early life life.,769,0,0,0,,1,1
The Governor of Henan is the highest ranking official in the People s Government of Henan. However in the province s dual party government governing system the Governor has less power than the Henan Communist Party of China Provincial Committee Secretary colloquially termed the Henan CPC Party Chief.,it is the capital of the province of henan province.,4073,0,0,1,0,1,2
As there are NUMBER degrees in a circle the meridian on the opposite side of the earth from LOCATION LRB which forms the other half of a circle with the one through LOCATION RRB is NUMBER longitude and the others lie between NUMBER and NUMBER of LOCATION longitude in the LOCATION LRB west of LOCATION RRB and between NUMBER and NUMBER of LOCATION longitude in the LOCATION LRB east of LOCATION RRB.,location location location and location are located in location.,1057,0,0,0,0,1,1
Since the s important feminist works have noted the way in which criminal transgressions by women occur in different contexts from those by men and how women experiences with the criminal justice system are influenced by gendered assumptions about appropriate male and female roles.,some of the differences between countries.,5987,0,0,0,0,1,1
ORGANIZATION has released several books based on the shows including ORGANIZATION Tipton Caper The ORGANIZATION ORGANIZATION and The ORGANIZATION Circle of Spies novels based on the television episode and the video game. A calendar for the show ORGANIZATION The Suite Life of PERSON and Cody NUMBER Calendar has been released.,the organization is a television series of the organization.,2723,0,0,1,0,1,2
A comparable LOCATION Century Series fighter was the F Super Sabre although it would primarily oppose the more modern F Phantom II and F Thunderchief over North LOCATION.,michael f. f. ii ii ii rrb,4336,0,0,0,0,0,0
Digital signatures cryptographically bind an electronic identity to an electronic document and the digital signature can not be copied to another document. Paper contracts often have the ink signature block on the last page and the previous pages may be replaced after a signature is applied.,a digital signature is a permanent digital signature.,355,0,0,1,0,1,2
The plot centers around a LOCATION PERSON who gets dognapped in LOCATION and has to escape from an evil PERSON PERSON with help from a lonely German Shepherd PERSON and a hyperactive male LOCATION PERSON who has a desperate crush on her.,person person person as person person.,3712,,,,,,
The Secret of NIMH LRB alternatively spelled The Secret of N.I.M.H. RRB is a animated film adaptation of the Newbery Medal winning book Mrs. Frisby and the Rats of NIMH LRB Mrs. Frisby s name is changed to Brisby in the film due to trademark concerns with Frisbee discs RRB written by author Robert C. O Brien.,cast cast cast members cast cast acting cast cast,823,0,0,0,0,1,1
Richard Feynman begins his Lectures with the atomic hypothesis as his most compact statement of all scientific knowledge If in some cataclysm all of scientific knowledge were to be destroyed and only one sentence passed on to the next generations... what statement would contain the most information in the fewest words ?,number physics physics physics the physics of physics.,6587,0,0,0,0,1,1
Originally all oscilloscopes used cathode ray tubes as their display element and linear amplifiers for signal processing LRB commonly referred to as CROs RRB however modern oscilloscopes have LCD or LED screens fast analog to digital converters and digital signal processors.,it was first recorded in british columbia.,1728,0,0,0,0,1,1
There is still disagreement on the subject of the classification ancestry and progeny of H. erectus with two major alternative hypotheses erectus may be another name for PERSON ergaster and therefore the direct ancestor of later hominids such as PERSON heidelbergensis PERSON neanderthalensis and PERSON sapiens or it may be an Asian species distinct from African ergaster.,person person person of sanctivus person personensis person.,4243,0,0,0,0,1,1
The Roman Catholic Church is the largest denomination with over. billion members comprising over half of all Christians worldwide making it the largest denomination for any religion worldwide LRB although the Church itself does not view itself as a denomination but as pre denominational RRB. Protestant denominations comprise roughly of Christians worldwide and together the Catholics Protestants Anglicans and other closely related denominations comprise Western Christianity.,some churches also have a separate church which is part of the larger christian churches.,4305,0,0,1,0,1,2
Laing expanded the view of the double bind hypothesis put forth by PERSON and other anthropologists and came up with a new concept to describe the highly complex situation that unfolds in the process of going mad an incompatible knot.,number location knots lrb number rrb,5176,0,0,0,0,1,1
The first newspaper in present day LOCATION The ORGANIZATION began publication in the city of LOCATION LOCATION in NUMBER and was joined by the only present newspaper The ORGANIZATION in September NUMBER. In NUMBER LOCATION became the capital of the newly created LOCATION.,location is a city of location in the location.,1870,0,0,1,0,1,2
John Grisham graduated from the University of Mississippi School of Law in and practiced criminal law for about a decade.,the o. lrb o o o rrb,2832,0,0,0,0,0,0
Pitch is a subjective sensation in which a listener assigns perceived tones to relative positions on a musical scale based primarily on the frequency of vibration.,music lrb music rrb lrb rrb,5039,0,0,0,0,1,1
PERSON PERSON LRB born NUMBER January NUMBER RRB is a British politician who is the Deputy Prime Minister of the LOCATION Lord President of the ORGANIZATION and Minister for Constitutional and Political Reform in the LOCATION coalition government of PERSON.,he was the prime minister of the united kingdom.,5740,0,0,0,0,1,1
PERSON rode the time trial using novel aero bars which gave him an aerodynamic advantage to beat PERSON by NUMBER seconds to claim his second yellow jersey with a final margin of eight seconds ndash the closest in the Tour s history.,number person person lrb d. number rrb,5178,0,0,0,0,1,1
Brawl issue RRB mini posters for then current games with the newsstand issues as well as occasional one page extras such as alternate game box cover art slips and calendars for such titles as Jade Empire and God of War.,brawler and rumble between brawled.,4003,0,0,0,0,1,1
Meanwhile the LDS Church has become a proponent of monogamy and patriotism has extended its reach internationally by a vigorous missionary program and has grown in size to nearly million members.,this is usually called monogamy.,2654,0,0,1,0,1,2
In general the chants were learned by the viva voce method that is by following the given example orally which took many years of experience in the Schola Cantorum.,sir person person p. p. pp.,1301,0,0,0,0,0,0
In the song Burdon mentions Monterey performers The Byrds Jefferson Airplane Ravi Shankar Jimi Hendrix The Who Hugh Masekela The Grateful Dead and The Rolling Stones Brian Jones LRB His Majesty Prince Jones smiled as he moved among the crowd RRB.,the dead are the last band from the dead.,5386,0,0,0,0,1,1
Medically assisted suicide LRB euthanasia or the right to die RRB is currently a controversial ethical issue involving people who are terminally ill in extreme pain or have LRB perceived or construed RRB minimal quality of life through injury or illness.,euthanasia is legal eu eu euthanthanasia.,3786,0,0,1,0,1,2
The album produced three singles on the Hot Country Songs charts Days Go By Making Memories of Us and Better Life as well as the hits You re My Better Half and Tonight I Wan Ona Cry Live to Love Another Day also peaked at on the country charts without being released to radio.,on december the city ends at the end of december.,5853,0,0,0,0,1,1
The second half of the th century saw election or succession of Republican presidents Dwight D. Eisenhower Richard Nixon Gerald Ford Ronald Reagan George H. W. Bush and George W. Bush.,david reagan lrb d. rrb lrb rrb,5134,0,0,0,0,1,1
The Korean War LRB RRB was a military conflict between the Republic of Korea supported by the United Nations and the Democratic People s Republic of Korea and People s Republic of China LRB PRC RRB with air support from the Soviet Union.,soviet union soviet union and soviet union.,2322,0,0,1,0,1,2
In his consumer guide for The ORGANIZATION critic PERSON gave the album an A rating PERSON PERSON.,person lrb d. rrb,5357,0,0,0,0,0,0
In June NUMBER the ORGANIZATION s managing organization the ORGANIZATION was investigated by the ORGANIZATION their office was searched and one board member was charged with having received HK NUMBER in bribes related to the renegotiation of a real estate management company s contract and sentenced to eight months imprisonment.,the district is divided into several subpolation areas.,1941,0,0,0,0,1,1
For most of their recording career The Clash consisted of PERSON LRB lead vocals rhythm guitar RRB PERSON LRB lead guitar vocals RRB PERSON LRB bass guitar backing vocals occasional lead vocals RRB and PERSON Topper PERSON LRB drums percussion RRB.,person bass player person plays bass guitar.,1671,0,0,1,0,1,2
In Australia where all federal and state and territory electoral systems combine compulsory turnout with some form of preferential voting a donkey vote refers to the practice of numbering the candidates boxes sequentially from top to bottom of the ballot paper rather than taking the time to number the candidates in the voter s own thought out order of preference.,voting system is preferred for citizens in the voting system.,5122,0,0,1,0,1,2
PERSON gave birth to her first child Prince PERSON on NUMBER November NUMBER less than one month after letters patent were issued by her father allowing her children to enjoy a royal and princely status to which they otherwise would not have been entitled.,person was born on june number number in location.,1575,0,0,0,0,1,1
February NUMBER ndash Travel financial and commercial transactions by LOCATION citizens to LOCATION are made illegal by the ORGANIZATION.,person lrb d. number rrb,350,0,0,0,0,0,0
Now considered a classic of English literature Wuthering Heights met with mixed reviews by critics when it first appeared mainly because of the narrative s stark depiction of mental and physical cruelty.,it is a classic of english literature.,6803,0,0,1,0,1,2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
