,source_sentence,simplified_sentence
193433,"The term double star may be used synonymously with binary star , but more generally , a double star may be either a binary star or an optical double star which consists of two stars with no physical connection but which appear close together in the sky as seen from the Earth .",Many stars are part of a system with two or more stars .
435204,on Wikisource .,"For example , PERSON@1 was changed from '' whosoever is angry with his brother shall be in danger of the judgment '' to '' whosoever is angry with his brother without a cause shall be in danger of the judgment . ''"
280436,"Between 1924 and 1991 , the city was known as Sverdlovsk -LRB- -RRB- , after the Bolshevik party leader Yakov Sverdlov .",Twin cities
447666,PERSON@1 -LRB- Italian for black coffee -RRB- or ORGANIZATION@1 is an Italian-style coffee shop chain primarily based in the LOCATION@1 .,PERSON@1 -LRB- Italian for black coffee -RRB- or ORGANIZATION@2 is a British coffee shop chain .
216039,"A second season was confirmed on September 17 , 2008 .","A second season aired on September 17 , 2008 ."
197033,"The hepatitis C virus is usually detectable in the blood within one to three weeks after infection by PCR , and antibodies to the virus are generally detectable within 3 to 15 weeks .",The hepatitis C virus is usually detectable in the blood within one to three weeks after infection .
119703,"According to German food laws , only products called '' Bavarian LeberkÃ se '' are allowed not to contain liver ; otherwise , there must be a minimum liver content of 4 % .","According to German food laws , only products called '' Bavarian LeberkÃ se '' are allowed not to have liver in them ; otherwise , there must be a minimum liver content of 4 % ."
497218,"With a population of over six billion , humans are among the most numerous of the large mammals .","Since NUMBER@1 the number of humans , or population , has increased by six billion ."
328255,"He named the area the LOCATION@1 after his superior the surveyor-general , PERSON@1 .","He named the area the LOCATION@1 after his boss , the surveyor-general , PERSON@1 ."
385009,"During his service , he won the ORGANIZATION@1 football championship in NUMBER@1 .",LOCATION@1 Golden Jubilee Awards : Haifa Best Defender -LRB- All Time -RRB-
139310,Tofu is made by coagulating soy milk and pressing the resulting curds .,"Tofu , sometimes also called doufu -LRB- usually used in Chinese recipes -RRB- or bean curd -LRB- literal translation -RRB- , is a food made by coagulating soy milk , and then pressing the resulting curds into blocks . The making of tofu from soy milk is similar to the technique of making cheese from milk ."
15068,The Province of Ferrara is a province in the Emilia-Romagna region of Italy .,Ferrara is a province in the region of Emilia-Romagna in Italy .
113679,"The three Gorgon sisters -- Medusa , Stheno , and Euryale -- were children of the ancient marine deities Phorcys -LRB- or Phorkys -RRB- and his sister Ceto -LRB- or Keto -RRB- , chthonic monsters from an archaic world .",The Gorgons were the daughters of Phorcys and Keto .
413619,"It was first released in LOCATION@1 on October NUMBER@1 , NUMBER@2 , and was later released in LOCATION@2 , PAL regions , and as one of eight Wii launch games in LOCATION@3 .",PERSON@1 & Wiki : Quest for ORGANIZATION@1 is a video game made by ORGANIZATION@2 in NUMBER@2 for the Wii game console .
3123,"It concerns the establishment of the first human colony on Avalon , fourth planet of Tau Ceti .",It is about a human space colony at the star Tau Ceti .
567743,"A string quartet similarly has parts for first and second violins , as well as a viola part , and a bass instrument , such as the cello or , rarely , the double bass .","The other instruments in the family are the viola , the cello and the double bass ."
211704,Ichthyophis is also found in South China and North Vietnam .,Ichthyophis is also found in South China and North-Vietnam .
230961,It is the color that is half way between the web color chartreuse and yellow on the color wheel .,It is the color that is half way between the color chartreuse green and yellow on the color wheel .
372167,"Late in NUMBER@1 , a ban on all auto racing led to the canceling of the 500-Mile Race for the rest of the war for a total of four years -LRB- NUMBER@1 â '' NUMBER@2 -RRB- .",In NUMBER@1 all auto racing was banned . The 500-Mile Race was canceled for the years NUMBER@1 â '' NUMBER@2 .
321845,"Biography Early career PERSON@1 , born in LOCATION@1 , LOCATION@2 , studied horn and composition at the ORGANIZATION@1 in LOCATION@1 , as well as conducting with PERSON@2 .","He studied at the ORGANIZATION@1 in LOCATION@1 , learning the French horn , composition and conducting ."
306192,In NUMBER@1 it became the Judicial Capital of LOCATION@1 .,LOCATION@2 became the judicial capital of LOCATION@1 in NUMBER@1 .
426757,"PERSON@1 , PERSON@2 -LRB- NUMBER@1 -RRB- Chinese , ORGANIZATION@1 , NUMBER@2 .","PERSON@1 , PERSON@2 -LRB- NUMBER@1 -RRB- Chinese , ORGANIZATION@1 , NUMBER@3 ."
382307,"Horseradish -LRB- Armoracia rusticana , syn .",International
17899,Construction of the Al-Hakim Mosque begins in Cairo .,"Conrad II , Holy Roman Emperor -LRB- approximate -RRB-"
494609,"PERSON@1 -LRB- PERSON@2 -RRB- PERSON@3 , -LRB- NUMBER@1 August NUMBER@2 NUMBER@3 March NUMBER@4 -RRB- was a German jurist and senior government official , who served during May NUMBER@5 in the historically unique position of Leading Minister of the German PERSON@4 , the equivalent of a Chancellorship in the short-lived LOCATION@1 government of PERSON@4 President PERSON@5 .",Early life
572111,"The first European settlement in the area later known as LOCATION@1 was established in October NUMBER@1 under Lieutenant-Governor PERSON@1 at LOCATION@2 , LOCATION@1 on LOCATION@3 .",PERSON@2
427086,"Dr. PERSON@1 , a British civil surgeon at LOCATION@1 , indicated over NUMBER@1 casualties .","Dr. PERSON@1 , a British civil surgeon at LOCATION@1 , said there were over NUMBER@2 casualties ."
510754,"The ORGANIZATION@1 , located in LOCATION@1 and LOCATION@2 , is associated with the university as a research and teaching hospital .","The ORGANIZATION@1 , in LOCATION@1 and LOCATION@2 , is the university 's research and teaching hospital ."
8997,"Oscar Wilde , Irish writer -LRB- d. 1900 -RRB-",October 16 - Oscar Wilde
462676,LOCATION@1 is a rural county located in the LOCATION@2 state of LOCATION@3 .,"LOCATION@1 is a county located in the LOCATION@2 state of LOCATION@3 , and was formed on December NUMBER@1 , NUMBER@2 ."
106958,"Spring Valley is a city in Jefferson County , Kentucky , United States .",Spring Valley is a city of Kentucky in the United States .
93310,Block ciphers operate on a fixed length string of bits .,"Few ciphers have unusual block sizes , for example the 3-Way block cipher have an unusual block size of 96 bits -LRB- 12 bytes -RRB- ."
444432,PERSON@1 was among the first to hypothesize that ORGANIZATION@1 's moon Titan might possess oceans of liquid compounds on its surface and that LOCATION@1 's moon LOCATION@2 might possess subsurface oceans of water .,"PERSON@1 was among the first to guess that Titan and LOCATION@1 's moon LOCATION@2 might have oceans or lakes , which means that life could be there ."
560196,The cars then return to their assigned grid spot for the standing race start .,The cars return to their assigned grid spot and stop . The start is called a standing start .
54709,"In 1994 , there were three serious accidents at Imola .",In there were three serious accidents at Imola .
293367,"A hug is a form of physical intimacy , not necessarily sexual , that usually involves closing or holding the arms around another person or group of persons .",Other pages
414619,"PERSON@1 signed a three year deal with newly promoted ORGANIZATION@1 club LOCATION@1 on NUMBER@1 August NUMBER@2 for an undisclosed fee , later confirmed by LOCATION@1 manager PERSON@2 to be close to Â # NUMBER@3 m.","PERSON@1 signed a three year deal with newly promoted ORGANIZATION@2 club LOCATION@1 on NUMBER@1 August NUMBER@2 for an undisclosed fee , thought to be around Â # NUMBER@4 million , but later confirmed by LOCATION@1 manager PERSON@2 to be closer to Â # NUMBER@3 m."
525210,AlÅ '' ksne is a town on the shores of LOCATION@1 AlÅ '' ksne in northeastern LOCATION@2 near the borders with LOCATION@3 and LOCATION@4 . It is the seat of AlÅ '' ksne municipality .,AlÅ '' ksne is a town in LOCATION@2 with town rights since NUMBER@1 .
442914,"The elongated jaws are lined with many interlocking , razor-sharp teeth - an adaptation to the diet -LRB- predominantly fish in adults -RRB- .","This is an adaptation to a diet of small fish . The long jaws are lined with many interlocking , razor-sharp teeth ."
233268,"As of August 2009 , it has over 100,000 articles , 530,000 pages , 210,000 registered users and 6400 files .","As of August 2008 , it has over 75,000 articles , 328,000 pages , 140,000 registered users and 3900 files ."
353398,"PERSON@1 is the initial protagonist , and the game is the character 's first appearance that allowed players to control him without PERSON@2 .",PERSON@1
72439,"Grenville received his education at Eton College and at Christ Church , Oxford , and was called to the bar in 1736 .","Grenville went to school at Eton College and at Christ Church College , Oxford ."
3310,Mercury -LRB- I -RRB- bromide is prepared by the oxidation of elemental mercury with elemental bromine or by adding sodium bromide to a solution of mercury -LRB- I -RRB- nitrate .,It is made by reacting a bromide like potassium bromide or sodium bromide with mercury -LRB- I -RRB- nitrate . It can also be made by reacting mercury and bromine .
573673,"For the bone in many mammals often called the penis bone , see baculum",The pubic bone is one of the bones that make up the pelvis .
468810,PERSON@1 -LRB- born NUMBER@1 August NUMBER@2 in LOCATION@1 -RRB- is an Argentine footballer who currently plays as a defensive midfielder for Italian Serie A club ORGANIZATION@1 and the Argentine national team .,"PERSON@2 -LRB- born NUMBER@1 August , NUMBER@2 -RRB- is an Argentine football player ."
554467,The Princess sends the Police and all the others away .,She sends PERSON@1 away .
155177,Charlie and the Chocolate Factory -LRB- 1964 -RRB- is a children 's book by Norwegian-British author Roald Dahl .,Charlie and the Chocolate Factory -LRB- 1964 -RRB- is a children 's book by British author Roald Dahl .
332013,"The watch was upgraded to a tropical storm warning the next day , while a separate watch was posted for the LOCATION@1 and LOCATION@2 peninsulas , though it was quickly discontinued .","This was upgraded the next day to a tropical storm warning , and a tropical storm watch was issued for the LOCATION@1 and ORGANIZATION@1 ."
47277,Its programs are primarily from MBC 's flagship AM station DZRH .,DZRH Television or RHTV is a 24-hour cable channel of Manila Broadcasting Company in the Philippines .
363473,Personal life PERSON@1 is Jewish and graduated from ORGANIZATION@1 in NUMBER@1 .,PERSON@1 graduated from ORGANIZATION@1 in NUMBER@1 .
248158,"Published every day except Sunday , it covers the towns and communities of the Fylde coast .",It covers the towns and communities of the Fylde coast .
313177,"He is noted for his development in NUMBER@1 of the modern system of classification of blood groups from his identification of the presence of agglutinins in the blood , and in NUMBER@2 he received the Nobel Prize in Physiology or Medicine .",He won the NUMBER@2 Nobel Prize in Physiology or Medicine for the discovery of human blood types .
560615,NUMBER@1 & ndash ; Battle of Jena-Auerst ädt LOCATION@1 defeats LOCATION@2,NUMBER@1 - Battle of Jena-Auerst ädt
299854,"There is also one of three ORGANIZATION@1 , an ice cream store fairly well known in the state of LOCATION@1 .",In the past decades LOCATION@2 has had a problem with drinking water .
361345,ORGANIZATION@1 link,PERSON@1 - Recording
286655,"The term chirality is derived from the Greek word for hand , Ï Î Î Ï -LRB- cheir -RRB- .","The word chiral is derived from the Greek word for hand , Ï Î Î Ï -LRB- \/O/ cheir \/O/ -RRB- ."
197189,"It was announced on October 14 in IAUC 3878 along with optical confirmation by Charles T. Kowal , who reported it to be asteroidal in appearance .","It was announced on October 14 in IAUC 3878 along with optical confirmation by Charles T. Kowal , who reported that it looks like an asteroid ."
434439,"Secondly , he wrote hundreds of songs just to make the world hear his voice .","Secondly , he wrote more than hundreds of songs just to make the world hear his voice ."
372102,"One strange but famous theme restaurant in LOCATION@1 , LOCATION@2 is called '' Das Klo '' -LRB- German for '' The toilet '' -RRB- it depicts the insides of a toilet .","One strange but famous theme restaurant in LOCATION@1 , LOCATION@2 is called '' das Klo '' -LRB- German for '' The toilet '' -RRB- . It shows the insides of a toilet ."
411587,Adrastea is one of the few moons in the Solar System known to orbit its planet in less than the length of that planet 's day .,Orbit
508517,Year NUMBER@1 -LRB- XXIX -RRB- was a common year starting on Saturday -LRB- link will display the full calendar -RRB- of the Julian calendar .,NUMBER@1 is a year in the 1st century .
